"parent_id"	"miRNA_cluster"	"target_name"	"query_name"	"mfe"	"pval"	"gene_id"	"cmp_ref_gene"
"35"	"ptg000031l:12124709-12124928"	"Cluster_1826"	"ptg000031l:12124708-12124928"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.1	0.026663	"MSTRG.54221"	NA
"36"	"ptg000031l:15120239-15121285"	"Cluster_1826"	"ptg000031l:15121238-15121285"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-21.9	0.004928	"MSTRG.54651"	NA
"37"	"ptg000031l:15124513-15127566"	"Cluster_1826"	"ptg000031l:15127512-15127566"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-21.9	0.006877	"MSTRG.54653"	NA
"38"	"ptg000036l:5343848-5349032"	"Cluster_1826"	"ptg000036l:5348847-5349032"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.011604	"MSTRG.57526"	NA
"39"	"ptg000036l:5478127-5480166"	"Cluster_1826"	"ptg000036l:5480126-5480166"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.000302	"MSTRG.57540"	NA
"40"	"ptg000036l:5534735-5541981"	"Cluster_1826"	"ptg000036l:5541734-5541981"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.019903	"MSTRG.57540"	NA
"41"	"ptg000036l:5529665-5532067"	"Cluster_1826"	"ptg000036l:5531664-5532067"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.04559	"MSTRG.57548"	NA
"42"	"ptg000036l:5641006-5647390"	"Cluster_1826"	"ptg000036l:5647005-5647390"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.042377	"MSTRG.57558"	NA
"43"	"ptg000036l:5597981-5599136"	"Cluster_1826"	"ptg000036l:5598980-5599136"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-22.3	0.045596	"MSTRG.57560"	NA
"44"	"ptg000036l:5847341-5851677"	"Cluster_1826"	"ptg000036l:5851340-5851677"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.034081	"MSTRG.57593"	NA
"45"	"ptg000036l:6216674-6225081"	"Cluster_1826"	"ptg000036l:6224673-6225081"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.046491	"MSTRG.57642"	NA
"46"	"ptg000036l:6216674-6267790"	"Cluster_1826"	"ptg000036l:6267673-6267790"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.004531	"MSTRG.57642"	NA
"47"	"ptg000036l:6251383-6267790"	"Cluster_1826"	"ptg000036l:6267382-6267790"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.046491	"MSTRG.57642"	NA
"48"	"ptg000036l:5390165-5396411"	"Cluster_1826"	"ptg000036l:5396164-5396411"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.019903	"MSTRG.57533"	NA
"49"	"ptg000036l:5527506-5532810"	"Cluster_1826"	"ptg000036l:5532505-5532810"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.028806	"MSTRG.57547"	NA
"50"	"ptg000036l:5595416-5597775"	"Cluster_1826"	"ptg000036l:5597415-5597775"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.038004	"MSTRG.57559"	NA
"51"	"ptg000036l:5761939-5769337"	"Cluster_1826"	"ptg000036l:5768938-5769337"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.044872	"MSTRG.57581"	NA
"52"	"ptg000036l:6225649-6240985"	"Cluster_1826"	"ptg000036l:6240648-6240985"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.034081	"MSTRG.57643"	NA
"53"	"ptg000036l:3598975-3601135"	"Cluster_1826"	"ptg000036l:3600974-3601135"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-23.1	0.028703	"MSTRG.57288"	NA
"54"	"ptg000036l:5601204-5601592"	"Cluster_1826"	"ptg000036l:5601203-5601592"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.043087	"MSTRG.57561"	NA
"55"	"ptg000036l:6284955-6286270"	"Cluster_1826"	"ptg000036l:6285954-6286270"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.030593	"MSTRG.57652"	NA
"56"	"ntLink_6:18759406-18760214"	"Cluster_1832"	"ntLink_6:18759405-18760214"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.011127	"MSTRG.2317"	NA
"57"	"ntLink_6:4125056-4128349"	"Cluster_1832"	"ntLink_6:4126055-4127056"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.571"	NA
"58"	"ntLink_6:4125285-4128349"	"Cluster_1832"	"ntLink_6:4125284-4126285"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.571"	NA
"59"	"ntLink_6:4125285-4128349"	"Cluster_1832"	"ntLink_6:4125284-4126285"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.571"	NA
"60"	"ntLink_6:8374435-8378990"	"Cluster_1832"	"ntLink_6:8375434-8376435"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.5	0.030998	"MSTRG.1083"	NA
"61"	"ntLink_6:8374669-8378990"	"Cluster_1832"	"ntLink_6:8374668-8375669"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.5	0.030998	"MSTRG.1083"	NA
"62"	"ntLink_6:5900649-5901088"	"Cluster_1832"	"ntLink_6:5900648-5901088"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.8	0.012037	"MSTRG.798"	NA
"63"	"ntLink_8:33599802-33600081"	"Cluster_1832"	"ntLink_8:33599801-33600081"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.4	0.040682	"MSTRG.6911"	NA
"64"	"ntLink_8:1665084-1668141"	"Cluster_1832"	"ntLink_8:1668083-1668141"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-20	0.03992	"MSTRG.3119"	NA
"65"	"ntLink_8:19474921-19476558"	"Cluster_1832"	"ntLink_8:19474920-19475921"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.038192	"MSTRG.5217"	NA
"66"	"ptg000001l:15977454-15979833"	"Cluster_1832"	"ptg000001l:15978453-15979454"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.4	0.032661	"MSTRG.8962"	NA
"67"	"ptg000001l:15977454-15979833"	"Cluster_1832"	"ptg000001l:15978453-15979454"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.4	0.032661	"MSTRG.8962"	NA
"68"	"ptg000002l:1805406-1807658"	"Cluster_1832"	"ptg000002l:1807405-1807658"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-25.7	0.015519	"MSTRG.9817"	NA
"69"	"ptg000002l:5161303-5162400"	"Cluster_1832"	"ptg000002l:5162302-5162400"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-22.4	0.021258	"MSTRG.10229"	NA
"70"	"ptg000004l:13328130-13329209"	"Cluster_1832"	"ptg000004l:13329129-13329209"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-20.9	0.040066	"MSTRG.13336"	NA
"71"	"ptg000004l:10925221-10926342"	"Cluster_1832"	"ptg000004l:10926220-10926342"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-23.4	0.016756	"MSTRG.13016"	NA
"72"	"ptg000006l:1822323-1823576"	"Cluster_1832"	"ptg000006l:1823322-1823576"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.1	0.00663	"MSTRG.13732"	NA
"73"	"ptg000006l:5030-5871"	"Cluster_1832"	"ptg000006l:5029-5871"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.02951	"MSTRG.13595"	NA
"74"	"ptg000007l:6372573-6372795"	"Cluster_1832"	"ptg000007l:6372572-6372795"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24	0.035115	"MSTRG.14497"	NA
"75"	"ptg000008l:11332289-11332689"	"Cluster_1832"	"ptg000008l:11332288-11332689"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.3	0.013658	"MSTRG.16655"	NA
"76"	"ptg000008l:17250326-17251316"	"Cluster_1832"	"ptg000008l:17250325-17251316"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.015442	"MSTRG.17084"	NA
"77"	"ptg000008l:17250326-17251316"	"Cluster_1832"	"ptg000008l:17250325-17251316"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.5	0.018088	"MSTRG.17084"	NA
"78"	"ptg000008l:21790704-21791280"	"Cluster_1832"	"ptg000008l:21790703-21791280"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.006238	"MSTRG.17576"	NA
"79"	"ptg000008l:29958491-29959616"	"Cluster_1832"	"ptg000008l:29959490-29959616"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-23	0.023293	"MSTRG.18560"	NA
"80"	"ptg000008l:30790684-30790935"	"Cluster_1832"	"ptg000008l:30790683-30790935"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.8	0.026678	"MSTRG.18702"	NA
"81"	"ptg000009l:4703778-4722368"	"Cluster_1832"	"ptg000009l:4720777-4721778"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.6	0.017404	"MSTRG.20413"	"FUN_014953"
"82"	"ptg000009l:9383458-9383800"	"Cluster_1832"	"ptg000009l:9383457-9383800"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.4	0.009738	"MSTRG.21027"	NA
"83"	"ptg000011l:441591-442658"	"Cluster_1832"	"ptg000011l:442590-442658"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-20.5	0.03846	"MSTRG.22060"	NA
"84"	"ptg000015l:3487977-3489544"	"Cluster_1832"	"ptg000015l:3487976-3488977"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.015665	"MSTRG.26203"	NA
"85"	"ptg000015l:3487977-3489544"	"Cluster_1832"	"ptg000015l:3487976-3488977"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.5	0.018345	"MSTRG.26203"	NA
"86"	"ptg000015l:4832732-4834699"	"Cluster_1832"	"ptg000015l:4832731-4833732"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.26412"	"FUN_019647"
"87"	"ptg000015l:868851-869182"	"Cluster_1832"	"ptg000015l:868850-869182"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.4	0.002787	"MSTRG.25857"	NA
"88"	"ptg000015l:5296215-5296422"	"Cluster_1832"	"ptg000015l:5296214-5296422"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.8	0.005385	"MSTRG.26481"	NA
"89"	"ptg000015l:5695761-5696345"	"Cluster_1832"	"ptg000015l:5695760-5696345"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.2	0.015618	"MSTRG.26555"	NA
"90"	"ptg000015l:8259779-8260177"	"Cluster_1832"	"ptg000015l:8259778-8260177"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.7	0.019177	"MSTRG.26852"	NA
"91"	"ptg000015l:10812054-10812329"	"Cluster_1832"	"ptg000015l:10812053-10812329"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.7	0.033182	"MSTRG.27200"	NA
"92"	"ptg000016l:12076778-12092727"	"Cluster_1832"	"ptg000016l:12077777-12078778"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.5	0.030998	"MSTRG.28742"	NA
"93"	"ptg000016l:973819-974697"	"Cluster_1832"	"ptg000016l:973818-974697"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.012745	"MSTRG.27458"	NA
"94"	"ptg000016l:1209600-1210924"	"Cluster_1832"	"ptg000016l:1209599-1210600"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-30.4	0.011415	"MSTRG.27478"	NA
"95"	"ptg000017l:3941731-3942168"	"Cluster_1832"	"ptg000017l:3941730-3942168"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.5	0.014191	"MSTRG.29408"	NA
"96"	"ptg000020l:11340918-11341236"	"Cluster_1832"	"ptg000020l:11340917-11341236"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-25.5	0.026395	"MSTRG.34483"	NA
"97"	"ptg000021l:12754855-12756463"	"Cluster_1832"	"ptg000021l:12755854-12756463"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.3	0.047523	"MSTRG.36781"	NA
"98"	"ptg000021l:20876303-20890830"	"Cluster_1832"	"ptg000021l:20890302-20890830"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.040304	"MSTRG.37704"	NA
"99"	"ptg000021l:20876303-20890830"	"Cluster_1832"	"ptg000021l:20890302-20890830"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.040304	"MSTRG.37704"	NA
"100"	"ptg000021l:20889674-20904083"	"Cluster_1832"	"ptg000021l:20903673-20904083"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.026799	"MSTRG.37705"	NA
"101"	"ptg000021l:7643280-7643680"	"Cluster_1832"	"ptg000021l:7643279-7643680"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.9	0.017226	"MSTRG.36374"	NA
"102"	"ptg000021l:14828472-14829489"	"Cluster_1832"	"ptg000021l:14829471-14829489"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-20.4	0.001518	"MSTRG.37009"	NA
"103"	"ptg000023l:16701455-16701671"	"Cluster_1832"	"ptg000023l:16701454-16701671"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.6	0.023099	"MSTRG.41035"	NA
"104"	"ptg000023l:23958795-23958997"	"Cluster_1832"	"ptg000023l:23958794-23958997"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.5	0.021771	"MSTRG.41855"	NA
"105"	"ptg000023l:42351704-42352597"	"Cluster_1832"	"ptg000023l:42351703-42352597"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.8	0.013099	"MSTRG.44299"	NA
"106"	"ptg000023l:43431881-43432126"	"Cluster_1832"	"ptg000023l:43431880-43432126"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-23.8	0.046921	"MSTRG.44421"	NA
"107"	"ptg000024l:7511178-7514366"	"Cluster_1832"	"ptg000024l:7512177-7513178"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.038192	"MSTRG.45585"	NA
"108"	"ptg000024l:11132213-11132707"	"Cluster_1832"	"ptg000024l:11132212-11132707"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-32.7	0.000904	"MSTRG.46025"	NA
"109"	"ptg000025l:2306673-2307927"	"Cluster_1832"	"ptg000025l:2306672-2307673"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.46503"	NA
"110"	"ptg000025l:13688601-13688807"	"Cluster_1832"	"ptg000025l:13688600-13688807"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.3	0.003893	"MSTRG.47857"	NA
"111"	"ptg000025l:13908663-13909731"	"Cluster_1832"	"ptg000025l:13908662-13909663"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-29.2	0.021479	"MSTRG.47874"	NA
"112"	"ptg000026l:3562740-3564881"	"Cluster_1832"	"ptg000026l:3564739-3564881"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-23.6	0.019768	"MSTRG.49012"	NA
"113"	"ptg000027l:7976546-7984461"	"Cluster_1832"	"ptg000027l:7980545-7981546"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.8	0.044639	"MSTRG.51085"	NA
"114"	"ptg000027l:12241556-12242902"	"Cluster_1832"	"ptg000027l:12241555-12242556"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.049515	"MSTRG.51563"	NA
"115"	"ptg000027l:13603198-13603574"	"Cluster_1832"	"ptg000027l:13603197-13603574"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.3	0.021957	"MSTRG.51733"	NA
"116"	"ptg000027l:15648907-15649554"	"Cluster_1832"	"ptg000027l:15648906-15649554"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.019531	"MSTRG.51980"	NA
"117"	"ptg000027l:15700330-15701384"	"Cluster_1832"	"ptg000027l:15701329-15701384"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-24.6	0.001158	"MSTRG.51990"	NA
"118"	"ptg000027l:15875307-15876360"	"Cluster_1832"	"ptg000027l:15876306-15876360"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-20.1	0.031967	"MSTRG.52012"	NA
"119"	"ptg000027l:15924694-15925482"	"Cluster_1832"	"ptg000027l:15924693-15925482"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.026697	"MSTRG.52020"	NA
"120"	"ptg000030l:364145-365198"	"Cluster_1832"	"ptg000030l:365144-365198"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-22.2	0.006683	"MSTRG.52451"	NA
"121"	"ptg000031l:12814550-12815250"	"Cluster_1832"	"ptg000031l:12814549-12815250"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-27.6	0.029087	"MSTRG.54304"	NA
"122"	"ptg000036l:3896778-3897897"	"Cluster_1832"	"ptg000036l:3896777-3897778"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-28.1	0.038192	"MSTRG.57335"	NA
"123"	"ptg000047l:2775600-2776025"	"Cluster_1832"	"ptg000047l:2775599-2776025"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.028553	"MSTRG.58137"	NA
"124"	"ptg000076l:12352-44882"	"Cluster_1832"	"ptg000076l:44351-44882"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.040662	"MSTRG.59722"	NA
"125"	"ptg000076l:100034-114559"	"Cluster_1832"	"ptg000076l:114033-114559"	"Cluster_1832.mature::ntLink_6:5157559-5157579(+)"	-26.2	0.040065	"MSTRG.59725"	NA
"126"	"ntLink_6:14554348-14554696"	"Cluster_1862"	"ntLink_6:14554347-14554696"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-26.1	0.034067	"MSTRG.1835"	NA
"127"	"ntLink_8:5455405-5455619"	"Cluster_1862"	"ntLink_8:5455404-5455619"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-29.4	0.001996	"MSTRG.3476"	NA
"128"	"ntLink_8:6582878-6583194"	"Cluster_1862"	"ntLink_8:6582877-6583194"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-25.6	0.038666	"MSTRG.3620"	NA
"129"	"ptg000001l:21119443-21120469"	"Cluster_1862"	"ptg000001l:21119442-21120443"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-29	0.036594	"MSTRG.9601"	NA
"130"	"ptg000001l:17169122-17170622"	"Cluster_1862"	"ptg000001l:17170121-17170622"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-27.5	0.02808	"MSTRG.9116"	NA
"131"	"ptg000001l:8927000-8928348"	"Cluster_1862"	"ptg000001l:8926999-8928000"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-29.2	0.033075	"MSTRG.8212"	NA
"132"	"ptg000002l:3617991-3636020"	"Cluster_1862"	"ptg000002l:3634990-3635991"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-29.9	0.023188	"MSTRG.10020"	NA
"133"	"ptg000002l:3630232-3636020"	"Cluster_1862"	"ptg000002l:3634231-3635232"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-29.9	0.023188	"MSTRG.10020"	NA
"134"	"ptg000002l:4810448-4813856"	"Cluster_1862"	"ptg000002l:4813447-4813856"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-26.1	0.043906	"MSTRG.10180"	NA
"135"	"ptg000007l:9126726-9128373"	"Cluster_1862"	"ptg000007l:9127725-9128373"	"Cluster_1862.mature::ntLink_6:7263537-7263560(-)"	-30.3	0.00943	"MSTRG.14900"	NA
