,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
27,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;146 170,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268,predicted binding + coexpression
28,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;586 610,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268,predicted binding + coexpression
29,peve-mir-100,Peve_00029393,3UTR,Peve_00029393;2 20;154 174,-22.43,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
30,peve-mir-novel-39,Peve_00039724,3UTR,Peve_00039724;2 19;175 197,-22.45,18,72.22%,88.89%,-0.999918519895221,0.999918519895221,-1,0.0081268802250093,predicted binding + coexpression
31,peve-mir-novel-35,Peve_00007613,3UTR,Peve_00007613;2 15;292 315,-20.89,15,86.67%,86.67%,0.999883443510219,0.999883443510219,1,0.00972002918842882,predicted binding + coexpression
32,peve-mir-novel-3,Peve_00023049,3UTR,Peve_00023049;2 21;271 297,-21.71,24,62.50%,70.83%,0.9999733342158,0.9999733342158,1,0.00464914686852433,predicted binding + coexpression
33,peve-mir-novel-24,Peve_00021224,3UTR,Peve_00021224;2 18;333 357,-21.08,19,68.42%,68.42%,1,1,1,0,predicted binding + coexpression
34,peve-mir-novel-22,Peve_00025328,3UTR,Peve_00025328;2 20;922 939,-22.08,18,77.78%,83.33%,0.999964597582385,0.999964597582385,1,0.00535689165213977,predicted binding + coexpression
35,peve-mir-novel-24,Peve_00026910,3UTR,Peve_00026910;2 19;663 685,-22,18,83.33%,83.33%,1,1,1,0,predicted binding + coexpression
36,peve-mir-novel-24,Peve_00012722,3UTR,Peve_00012722;2 15;768 788,-25.13,13,84.62%,92.31%,1,1,1,0,predicted binding + coexpression
37,peve-mir-novel-38,Peve_00011733,3UTR,Peve_00011733;2 21;10 31,-20.57,20,80.00%,90.00%,0.99999477106698,0.99999477106698,1,0.00205874164373314,predicted binding + coexpression
38,peve-mir-novel-24,Peve_00004871,3UTR,Peve_00004871;2 12;622 643,-21.53,10,80.00%,100.00%,1,1,1,0,predicted binding + coexpression
39,peve-mir-novel-35,Peve_00014069,3UTR,Peve_00014069;2 20;861 888,-23.14,24,66.67%,70.83%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
40,peve-mir-novel-40,Peve_00013531,3UTR,Peve_00013531;2 21;596 617,-25.43,19,84.21%,84.21%,-0.999994747981342,0.999994747981342,-1,0.00206328129499564,predicted binding + coexpression
41,peve-mir-2036,Peve_00029721,3UTR,Peve_00029721;2 21;925 945,-22.23,19,84.21%,89.47%,0.999970783906393,0.999970783906393,1,0.00486639381889994,predicted binding + coexpression
42,peve-mir-novel-36,Peve_00032829,3UTR,Peve_00032829;2 21;284 304,-22.12,19,73.68%,84.21%,-0.999967287119389,0.999967287119389,-1,0.00514938897746555,predicted binding + coexpression
43,peve-mir-100,Peve_00043521,3UTR,Peve_00043521;2 21;190 214,-23.91,22,63.64%,72.73%,0.999909606796706,0.999909606796706,1,0.00855985249202504,predicted binding + coexpression
44,peve-mir-novel-40,Peve_00001444,3UTR,Peve_00001444;2 21;203 228,-21.78,23,69.57%,78.26%,0.999962776498024,0.999962776498024,1,0.00549294287464855,predicted binding + coexpression
45,peve-mir-novel-24,Peve_00040370,3UTR,Peve_00040370;2 19;356 380,-25.16,20,75.00%,80.00%,1,1,1,0,predicted binding + coexpression
46,peve-mir-novel-24,Peve_00000334,3UTR,Peve_00000334;2 21;482 502,-28.39,19,73.68%,84.21%,1,1,1,0,predicted binding + coexpression
47,peve-mir-100,Peve_00008498,3UTR,Peve_00008498;2 21;811 830,-22.35,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
48,peve-mir-novel-11,Peve_00037304,3UTR,Peve_00037304;2 18;62 87,-24.43,20,70.00%,80.00%,0.99999940598563,0.99999940598563,1,0.000693894776259953,predicted binding + coexpression
49,peve-mir-2023,Peve_00007832,3UTR,Peve_00007832;2 20;603 625,-25.93,20,80.00%,85.00%,-0.999985569263183,0.999985569263183,-1,0.00342010859677409,predicted binding + coexpression
50,peve-mir-novel-30,Peve_00002105,3UTR,Peve_00002105;2 19;607 630,-20.4,19,68.42%,78.95%,0.999968584764073,0.999968584764073,1,0.00504622278903583,predicted binding + coexpression
51,peve-mir-100,Peve_00000213,3UTR,Peve_00000213;2 21;370 395,-21.79,23,60.87%,65.22%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
52,peve-mir-novel-3,Peve_00038927,3UTR,Peve_00038927;2 20;939 958,-21.21,18,83.33%,83.33%,0.999994129428633,0.999994129428633,1,0.00218140105711895,predicted binding + coexpression
53,peve-mir-novel-24,Peve_00020364,3UTR,Peve_00020364;2 14;333 355,-20.73,13,76.92%,92.31%,1,1,1,0,predicted binding + coexpression
54,peve-mir-100,Peve_00006941,3UTR,Peve_00006941;2 21;29 48,-20.61,19,63.16%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
55,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00016785,3UTR,Peve_00016785;2 17;770 790,-24.85,15,86.67%,93.33%,-0.99999862897499,0.99999862897499,-1,0.0010541874922422,predicted binding + coexpression
56,peve-mir-novel-40,Peve_00038025,3UTR,Peve_00038025;2 21;561 583,-20.06,21,76.19%,76.19%,0.999962448044095,0.999962448044095,1,0.00551712420276166,predicted binding + coexpression
57,peve-mir-100,Peve_00028838,3UTR,Peve_00028838;2 20;439 461,-24.63,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
58,peve-mir-novel-7,Peve_00044680,3UTR,Peve_00044680;2 21;269 291,-20.12,20,60.00%,85.00%,0.999969908751759,0.999969908751759,1,0.00493874168584727,predicted binding + coexpression
59,peve-mir-novel-2,Peve_00026462,3UTR,Peve_00026462;2 21;265 286,-21.22,19,68.42%,73.68%,-0.999999797342096,0.999999797342096,-1,0.00040530027750834,predicted binding + coexpression
60,peve-mir-novel-24,Peve_00038441,3UTR,Peve_00038441;2 12;945 966,-23.7,10,80.00%,90.00%,1,1,1,0,predicted binding + coexpression
61,peve-mir-100,Peve_00042442,3UTR,Peve_00042442;2 14;426 447,-21.05,12,83.33%,83.33%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
62,peve-mir-novel-24,Peve_00014601,3UTR,Peve_00014601;2 21;899 920,-22.38,19,63.16%,78.95%,1,1,1,0,predicted binding + coexpression
63,peve-mir-novel-35,Peve_00034555,3UTR,Peve_00034555;2 20;598 619,-20.04,18,83.33%,83.33%,0.999999835926399,0.999999835926399,1,0.000364682128698326,predicted binding + coexpression
64,peve-mir-novel-36,Peve_00027583,3UTR,Peve_00027583;2 21;702 726,-22.27,22,77.27%,81.82%,-0.999998513833777,0.999998513833777,-1,0.00109756150847525,predicted binding + coexpression
65,peve-mir-novel-24,Peve_00032177,3UTR,Peve_00032177;2 18;853 876,-22.28,18,77.78%,77.78%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
66,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00039844,3UTR,Peve_00039844;2 21;24 48,-23.05,22,63.64%,77.27%,0.999999795128444,0.999999795128444,1,0.000407507833291957,predicted binding + coexpression
67,peve-mir-novel-42,Peve_00010457,3UTR,Peve_00010457;2 21;323 343,-23.26,19,73.68%,89.47%,0.999924418203837,0.999924418203837,1,0.00782720053096207,predicted binding + coexpression
68,peve-mir-novel-21,Peve_00003756,3UTR,Peve_00003756;2 20;549 570,-21.23,19,68.42%,78.95%,-0.999888656727405,0.999888656727405,-1,0.00950016485251684,predicted binding + coexpression
69,peve-mir-novel-35,Peve_00033678,3UTR,Peve_00033678;2 18;144 166,-20.13,17,88.24%,88.24%,0.999904013014523,0.999904013014523,1,0.0088207349235263,predicted binding + coexpression
70,peve-mir-novel-24,Peve_00041933,3UTR,Peve_00041933;2 16;888 909,-21.67,14,71.43%,71.43%,1,1,1,0,predicted binding + coexpression
71,peve-mir-novel-11,Peve_00026202,3UTR,Peve_00026202;2 21;946 968,-23.8,20,70.00%,80.00%,0.99999940598563,0.99999940598563,1,0.000693894776195108,predicted binding + coexpression
72,peve-mir-100,Peve_00000226,CDS,Peve_00000226;2 17;25698 25722,-21.83,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
73,peve-mir-100,Peve_00000536,CDS,Peve_00000536;2 21;16316 16341,-24.9,23,65.22%,73.91%,0.999910457964593,0.999910457964593,1,0.0085194555748794,predicted binding + coexpression
74,peve-mir-100,Peve_00001544,CDS,Peve_00001544;2 21;3282 3302,-23.08,19,63.16%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
75,peve-mir-100,Peve_00001636,CDS,Peve_00001636;2 21;3989 4014,-23.57,23,69.57%,69.57%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
76,peve-mir-100,Peve_00001859,CDS,Peve_00001859;2 19;14629 14648,-20.48,17,76.47%,82.35%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
77,peve-mir-100,Peve_00002111,CDS,Peve_00002111;2 12;6428 6449,-22.64,10,80.00%,90.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
78,peve-mir-100,Peve_00002130,CDS,Peve_00002130;2 20;18683 18702,-24.16,18,72.22%,83.33%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
79,peve-mir-100,Peve_00002245,CDS,Peve_00002245;2 21;15594 15618,-20.32,23,69.57%,69.57%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
80,peve-mir-100,Peve_00003793,CDS,Peve_00003793;2 20;1942 1962,-25.62,18,77.78%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
81,peve-mir-100,Peve_00004232,CDS,Peve_00004232;2 20;1398 1421,-22.27,20,65.00%,70.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
82,peve-mir-100,Peve_00005112,CDS,Peve_00005112;2 14;7167 7188,-22.16,12,75.00%,75.00%,0.999914846341146,0.999914846341146,1,0.00830806449585902,predicted binding + coexpression
83,peve-mir-100,Peve_00004764,CDS,Peve_00004764;2 21;8716 8738,-25.08,20,70.00%,80.00%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
84,peve-mir-100,Peve_00005214,CDS,Peve_00005214;2 19;1775 1795,-22.04,17,76.47%,76.47%,0.999909726776791,0.999909726776791,1,0.00855416971792863,predicted binding + coexpression
85,peve-mir-100,Peve_00005214,CDS,Peve_00005214;2 19;2214 2241,-25.71,23,73.91%,73.91%,0.999909726776791,0.999909726776791,1,0.00855416971792863,predicted binding + coexpression
86,peve-mir-100,Peve_00005941,CDS,Peve_00005941;2 13;41063 41084,-23.21,11,90.91%,90.91%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
87,peve-mir-100,Peve_00007688,CDS,Peve_00007688;2 19;212 233,-25.62,17,64.71%,76.47%,0.99996576416501,0.99996576416501,1,0.0052678915078678,predicted binding + coexpression
88,peve-mir-100,Peve_00008195,CDS,Peve_00008195;2 16;8765 8788,-20.57,16,75.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
89,peve-mir-100,Peve_00008266,CDS,Peve_00008266;2 21;1551 1571,-25.93,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
90,peve-mir-100,Peve_00008387,CDS,Peve_00008387;2 20;493 511,-22.99,18,72.22%,72.22%,0.999946883222669,0.999946883222669,1,0.0065616475953019,predicted binding + coexpression
91,peve-mir-100,Peve_00009220,CDS,Peve_00009220;2 21;2547 2569,-20.44,20,60.00%,70.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
92,peve-mir-100,Peve_00008801,CDS,Peve_00008801;2 19;934 957,-24.83,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
93,peve-mir-100,Peve_00009822,CDS,Peve_00009822;2 21;136 156,-25.12,19,68.42%,73.68%,0.999955273448146,0.999955273448146,1,0.00602115002709614,predicted binding + coexpression
94,peve-mir-100,Peve_00009873,CDS,Peve_00009873;2 15;5838 5858,-23.48,13,76.92%,84.62%,0.999959878657719,0.999959878657719,1,0.00570274956330863,predicted binding + coexpression
95,peve-mir-100,Peve_00010154,CDS,Peve_00010154;2 11;20439 20460,-20.58,9,88.89%,88.89%,0.999910964622944,0.999910964622944,1,0.00849531807985483,predicted binding + coexpression
96,peve-mir-100,Peve_00010305,CDS,Peve_00010305;2 21;1565 1586,-27.48,19,78.95%,89.47%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
97,peve-mir-100,Peve_00010307,CDS,Peve_00010307;2 21;1565 1586,-27.48,19,78.95%,89.47%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
98,peve-mir-100,Peve_00010322,CDS,Peve_00010322;2 20;257 277,-20.84,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
99,peve-mir-100,Peve_00010717,CDS,Peve_00010717;2 11;5807 5828,-21.85,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
100,peve-mir-100,Peve_00010778,CDS,Peve_00010778;2 21;10393 10411,-20.65,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
101,peve-mir-100,Peve_00011363,CDS,Peve_00011363;2 10;6629 6650,-20.49,8,100.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
102,peve-mir-100,Peve_00011528,CDS,Peve_00011528;2 21;11134 11153,-21.52,19,73.68%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
103,peve-mir-100,Peve_00011528,CDS,Peve_00011528;2 21;7917 7941,-22.48,22,72.73%,72.73%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
104,peve-mir-100,Peve_00011946,CDS,Peve_00011946;2 21;6951 6976,-24.37,23,65.22%,65.22%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
105,peve-mir-100,Peve_00012115,CDS,Peve_00012115;2 20;2452 2474,-20.65,19,63.16%,78.95%,0.999910871663019,0.999910871663019,1,0.00849975187831585,predicted binding + coexpression
106,peve-mir-100,Peve_00013085,CDS,Peve_00013085;2 21;8369 8388,-22.38,19,73.68%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
107,peve-mir-100,Peve_00013573,CDS,Peve_00013573;2 21;7606 7627,-20.7,19,57.89%,68.42%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
108,peve-mir-100,Peve_00014007,CDS,Peve_00014007;2 12;3520 3541,-24.38,10,90.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
109,peve-mir-100,Peve_00015040,CDS,Peve_00015040;2 21;3322 3348,-25.18,24,75.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
110,peve-mir-100,Peve_00016327,CDS,Peve_00016327;2 20;3532 3554,-23.86,21,66.67%,71.43%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
111,peve-mir-100,Peve_00016327,CDS,Peve_00016327;2 20;825 847,-23.86,21,66.67%,71.43%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
112,peve-mir-100,Peve_00016655,CDS,Peve_00016655;2 20;10152 10173,-20.36,18,66.67%,66.67%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
113,peve-mir-100,Peve_00017013,CDS,Peve_00017013;2 13;3299 3320,-22.28,11,81.82%,81.82%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
114,peve-mir-100,Peve_00017537,CDS,Peve_00017537;2 16;6556 6577,-21.34,14,78.57%,85.71%,0.99996273202871,0.99996273202871,1,0.00549622300675805,predicted binding + coexpression
115,peve-mir-100,Peve_00017537,CDS,Peve_00017537;2 16;7507 7528,-21.34,14,78.57%,85.71%,0.99996273202871,0.99996273202871,1,0.00549622300675805,predicted binding + coexpression
116,peve-mir-100,Peve_00017626,CDS,Peve_00017626;2 19;7281 7302,-22.16,17,70.59%,76.47%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
117,peve-mir-100,Peve_00018050,CDS,Peve_00018050;2 21;5382 5402,-26.85,19,84.21%,89.47%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
118,peve-mir-100,Peve_00018512,CDS,Peve_00018512;2 21;3123 3145,-24.92,20,65.00%,70.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
119,peve-mir-100,Peve_00018567,CDS,Peve_00018567;2 14;1584 1605,-21.88,12,75.00%,91.67%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
120,peve-mir-100,Peve_00019043,CDS,Peve_00019043;2 21;1411 1429,-21.04,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
121,peve-mir-100,Peve_00019304,CDS,Peve_00019304;2 13;19920 19941,-23.69,11,90.91%,90.91%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
122,peve-mir-100,Peve_00019304,CDS,Peve_00019304;2 19;18500 18521,-21.17,17,70.59%,76.47%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
123,peve-mir-100,Peve_00019304,CDS,Peve_00019304;2 20;16534 16554,-24.7,19,78.95%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
124,peve-mir-100,Peve_00019614,CDS,Peve_00019614;2 19;21890 21911,-22.16,17,70.59%,76.47%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
125,peve-mir-100,Peve_00020003,CDS,Peve_00020003;2 18;4141 4165,-23.86,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
126,peve-mir-100,Peve_00020149,CDS,Peve_00020149;2 11;1212 1233,-20.6,9,88.89%,88.89%,0.99989178672184,0.99989178672184,1,0.00936567997820576,predicted binding + coexpression
127,peve-mir-100,Peve_00020151,CDS,Peve_00020151;2 21;2151 2179,-23.56,26,65.38%,69.23%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
128,peve-mir-100,Peve_00020080,CDS,Peve_00020080;2 21;6446 6471,-23.49,23,60.87%,73.91%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
129,peve-mir-100,Peve_00013358,CDS,Peve_00013358;2 17;2104 2126,-20.85,16,75.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
130,peve-mir-100,Peve_00020314,CDS,Peve_00020314;2 9;781 802,-23,7,100.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
131,peve-mir-100,Peve_00020723,CDS,Peve_00020723;2 19;4394 4416,-20.42,18,66.67%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
132,peve-mir-100,Peve_00020864,CDS,Peve_00020864;2 16;1489 1512,-20.1,16,75.00%,81.25%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
133,peve-mir-100,Peve_00020874,CDS,Peve_00020874;2 10;27661 27682,-21.21,8,100.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
134,peve-mir-100,Peve_00021597,CDS,Peve_00021597;2 21;6330 6349,-27.14,19,84.21%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
135,peve-mir-100,Peve_00021762,CDS,Peve_00021762;2 21;8046 8065,-20.91,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
136,peve-mir-100,Peve_00021789,CDS,Peve_00021789;2 12;7110 7130,-21.54,10,90.00%,90.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
137,peve-mir-100,Peve_00021789,CDS,Peve_00021789;2 16;7658 7683,-24.06,18,66.67%,77.78%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
138,peve-mir-100,Peve_00021681,CDS,Peve_00021681;2 18;217 236,-21.33,16,75.00%,81.25%,0.999909726776791,0.999909726776791,1,0.00855416971794441,predicted binding + coexpression
139,peve-mir-100,Peve_00022627,CDS,Peve_00022627;2 21;8324 8341,-22.89,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
140,peve-mir-100,Peve_00022730,CDS,Peve_00022730;2 11;113 134,-20.73,9,88.89%,100.00%,0.999983602976637,0.999983602976637,1,0.00364567728204132,predicted binding + coexpression
141,peve-mir-100,Peve_00022785,CDS,Peve_00022785;2 20;7079 7100,-23.63,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
142,peve-mir-100,Peve_00022766,CDS,Peve_00022766;2 10;6290 6311,-20.14,8,100.00%,100.00%,0.999975210971309,0.999975210971309,1,0.00448255650740406,predicted binding + coexpression
143,peve-mir-100,Peve_00022891,CDS,Peve_00022891;2 13;2238 2259,-20.8,11,90.91%,90.91%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
144,peve-mir-100,Peve_00023166,CDS,Peve_00023166;2 21;1356 1381,-21.38,24,62.50%,66.67%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
145,peve-mir-100,Peve_00024385,CDS,Peve_00024385;2 11;1576 1597,-21.4,9,100.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
146,peve-mir-100,Peve_00024625,CDS,Peve_00024625;2 18;6312 6334,-22.04,17,76.47%,82.35%,0.999909726776791,0.999909726776791,1,0.00855416971792863,predicted binding + coexpression
147,peve-mir-100,Peve_00025704,CDS,Peve_00025704;2 20;532 554,-24.01,19,73.68%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
