# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/07-Peve-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/07-Peve-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Peve-Hisat/RNA-POR-71.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-73.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-76.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-79.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Peve-Hisat/RNA-POR-71.sorted.bam	../output/06-Peve-Hisat/RNA-POR-73.sorted.bam	../output/06-Peve-Hisat/RNA-POR-76.sorted.bam	../output/06-Peve-Hisat/RNA-POR-79.sorted.bam	../output/06-Peve-Hisat/RNA-POR-82.sorted.bam
lncRNA_122	Porites_evermani_scaffold_11;Porites_evermani_scaffold_1141	413265;85872	413874;86425	+;+	1164	0	0	0	0	0
lncRNA_123	Porites_evermani_scaffold_11	489115	489356	+	242	0	0	0	0	0
lncRNA_124	Porites_evermani_scaffold_11;Porites_evermani_scaffold_1143	538146;16512	538387;16719	+;+	450	11	2	61	3	11
lncRNA_125	Porites_evermani_scaffold_11;Porites_evermani_scaffold_1143	1181562;116259	1182214;116573	+;+	968	0	0	0	0	0
lncRNA_126	Porites_evermani_scaffold_11;Porites_evermani_scaffold_1144	1183264;5764	1183548;6111	+;+	633	13	0	0	9	0
lncRNA_127	Porites_evermani_scaffold_11;Porites_evermani_scaffold_1145	1195311;6786	1195548;7136	+;+	589	39	3	31	12	94
lncRNA_128	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1145	74375;35172	74611;35347	+;+	413	0	2	0	0	8
lncRNA_129	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1146	413926;141171	414221;141357	+;+	483	1	0	0	0	0
lncRNA_131	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1111;Porites_evermani_scaffold_1146;Porites_evermani_scaffold_1146	465895;164;32313;137141	466521;4794;32697;139652	+;+;+;+	8155	33	19	51	10	12
lncRNA_132	Porites_evermani_scaffold_1112;Porites_evermani_scaffold_1147	115126;131725	115779;132117	+;+	1047	37	1	30	0	47
lncRNA_133	Porites_evermani_scaffold_1113;Porites_evermani_scaffold_1148	61269;83846	61535;84156	+;+	578	0	1	0	0	0
lncRNA_134	Porites_evermani_scaffold_1114;Porites_evermani_scaffold_115	128398;76483	129179;76961	+;+	1261	0	0	0	0	0
lncRNA_135	Porites_evermani_scaffold_1116;Porites_evermani_scaffold_115	53781;371945	54468;373181	+;+	1925	16	5	35	39	35
lncRNA_136	Porites_evermani_scaffold_1116;Porites_evermani_scaffold_115	55977;414198	56257;414355	+;+	439	87	38	186	50	146
lncRNA_137	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1151	68343;53159	71415;53457	+;+	3372	0	0	0	0	0
lncRNA_138	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1151	68342;71111	83813;71311	+;+	15673	0	0	0	0	0
lncRNA_139	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1151	68342;76627	83813;77119	+;+	15965	0	4	0	0	0
lncRNA_141	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1151;Porites_evermani_scaffold_1151	68347;68366;97197;97389	83813;83813;98418;98418	+;+;+;+	16689	0	0	0	0	0
lncRNA_142	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1152	161271;25349	162216;28157	+;+	3755	12	0	0	0	0
lncRNA_143	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1152	84294;87185	84863;88359	+;+	1745	2	0	0	5	10
lncRNA_144	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1152	141311;94152	141511;95454	+;+	1504	2	0	0	3	2
lncRNA_145	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1152	144684;37927	146427;38211	+;+	2029	12	7	1	8	22
lncRNA_146	Porites_evermani_scaffold_1119;Porites_evermani_scaffold_1152	66693;47531	71857;47946	+;+	5581	1	0	0	2	32
lncRNA_147	Porites_evermani_scaffold_1119;Porites_evermani_scaffold_1155	35933;156741	37276;158428	+;+	3032	50	0	0	0	39
lncRNA_148	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1156	21;86543	966;86837	+;+	1241	0	0	0	0	0
lncRNA_149	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1157	318511;156848	319179;158113	+;+	1935	0	3	0	0	0
lncRNA_151	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1157;Porites_evermani_scaffold_1159	311157;81647;5388	311492;81918;12187	+;+;+	7408	751	229	346	252	727
lncRNA_152	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1159	488997;1267	489315;1571	+;+	624	2	0	0	0	0
lncRNA_153	Porites_evermani_scaffold_111;Porites_evermani_scaffold_1159	516814;18442	517149;18792	+;+	687	0	0	0	0	0
lncRNA_154	Porites_evermani_scaffold_1111;Porites_evermani_scaffold_116	121751;341314	122198;342893	+;+	2028	0	0	0	0	0
lncRNA_155	Porites_evermani_scaffold_1111;Porites_evermani_scaffold_116	88194;341419	89259;342893	+;+	2541	1	3	0	2	11
lncRNA_156	Porites_evermani_scaffold_1111;Porites_evermani_scaffold_116	155449;128443	155947;134948	+;+	7005	0	2	0	0	0
lncRNA_157	Porites_evermani_scaffold_1113;Porites_evermani_scaffold_116	148822;143314	153134;151344	+;+	12344	11	0	55	7	9
lncRNA_158	Porites_evermani_scaffold_1114;Porites_evermani_scaffold_116	115571;152432	116141;154284	+;+	2424	0	0	0	0	0
lncRNA_159	Porites_evermani_scaffold_1114	116185	119731	+	3547	4	0	2	4	4
lncRNA_161	Porites_evermani_scaffold_1114;Porites_evermani_scaffold_1114;Porites_evermani_scaffold_116;Porites_evermani_scaffold_116	161339;161339;459712;518939	162433;162433;461146;519182	+;+;+;+	2774	509	159	459	378	561
lncRNA_162	Porites_evermani_scaffold_1114;Porites_evermani_scaffold_1161	161339;131476	162433;141911	+;+	11531	0	0	0	0	0
lncRNA_163	Porites_evermani_scaffold_1114;Porites_evermani_scaffold_1161	1256;131484	1727;142386	+;+	11375	0	0	46	0	0
lncRNA_164	Porites_evermani_scaffold_1116	8861	9119	+	259	0	0	0	0	0
lncRNA_165	Porites_evermani_scaffold_1116;Porites_evermani_scaffold_1163	61682;111451	62166;111591	+;+	626	36	11	62	6	84
lncRNA_166	Porites_evermani_scaffold_1117;Porites_evermani_scaffold_1165	156793;155684	161692;156849	+;+	6066	0	0	0	0	0
lncRNA_167	Porites_evermani_scaffold_1118;Porites_evermani_scaffold_1169	118712;116183	118925;117386	+;+	1418	21	0	2	2	4
lncRNA_168	Porites_evermani_scaffold_1119;Porites_evermani_scaffold_1169	4698;1128	6651;1819	+;+	2646	93	44	80	18	132
lncRNA_169	Porites_evermani_scaffold_112	24898	29182	+	4285	9	2	0	16	22
lncRNA_171	Porites_evermani_scaffold_112;Porites_evermani_scaffold_112;Porites_evermani_scaffold_1169;Porites_evermani_scaffold_1169	29595;46183;76671;117414	41269;46681;76875;119734	+;+;+;+	14700	41	41	106	12	80
lncRNA_173	Porites_evermani_scaffold_112;Porites_evermani_scaffold_117	267979;1	268446;3351	+;+	3819	7	14	79	28	25
lncRNA_174	Porites_evermani_scaffold_112;Porites_evermani_scaffold_117	315938;496554	316192;517485	+;+	21187	0	0	0	0	0
lncRNA_175	Porites_evermani_scaffold_1121;Porites_evermani_scaffold_117	34653;495629	36616;495974	+;+	2310	0	0	0	0	0
lncRNA_176	Porites_evermani_scaffold_1121;Porites_evermani_scaffold_1171	34653;154218	36616;155318	+;+	3065	0	0	0	0	0
lncRNA_177	Porites_evermani_scaffold_1121;Porites_evermani_scaffold_1171	72181;26683	75121;27321	+;+	3580	967	266	681	382	1471
lncRNA_178	Porites_evermani_scaffold_1121;Porites_evermani_scaffold_1172	92574;21414	96114;22284	+;+	4412	408	206	518	229	714
lncRNA_179	Porites_evermani_scaffold_1121;Porites_evermani_scaffold_1172	36872;9121	37778;14533	+;+	6320	144	266	277	67	131
lncRNA_181	Porites_evermani_scaffold_1122;Porites_evermani_scaffold_1123;Porites_evermani_scaffold_1172;Porites_evermani_scaffold_1172	87823;1512;116897;156218	88135;9131;117217;156757	+;+;+;+	8794	0	1	30	6	1
lncRNA_182	Porites_evermani_scaffold_1123	3277	8132	+	4856	0	0	0	0	0
lncRNA_183	Porites_evermani_scaffold_1123;Porites_evermani_scaffold_1174	138958;52511	139194;53257	+;+	984	70	53	333	57	65
lncRNA_184	Porites_evermani_scaffold_1123;Porites_evermani_scaffold_1175	139421;33346	139784;36582	+;+	3601	0	0	0	0	0
lncRNA_185	Porites_evermani_scaffold_1124;Porites_evermani_scaffold_1175	11366;33346	11737;36582	+;+	3609	0	0	0	0	0
lncRNA_186	Porites_evermani_scaffold_1124;Porites_evermani_scaffold_1175	132914;61534	133221;62979	+;+	1754	1	0	34	0	16
lncRNA_187	Porites_evermani_scaffold_1124;Porites_evermani_scaffold_1176	141927;66623	142148;66895	+;+	495	1	5	0	0	0
lncRNA_188	Porites_evermani_scaffold_1124;Porites_evermani_scaffold_1177	144353;5653	144641;5881	+;+	518	0	0	0	0	0
lncRNA_189	Porites_evermani_scaffold_1125;Porites_evermani_scaffold_1179	7154;124711	7555;132926	+;+	8618	0	0	0	0	2
lncRNA_191	Porites_evermani_scaffold_1125;Porites_evermani_scaffold_1125;Porites_evermani_scaffold_1179;Porites_evermani_scaffold_1179	3985;88616;124776;128313	7543;93158;133614;132926	+;+;+;+	16941	197	64	136	85	232
lncRNA_192	Porites_evermani_scaffold_1127;Porites_evermani_scaffold_118	25565;64614	26215;65121	+;+	1159	20	35	0	0	60
lncRNA_193	Porites_evermani_scaffold_1128;Porites_evermani_scaffold_118	19713;167685	19934;168147	+;+	685	27	7	22	13	4
lncRNA_194	Porites_evermani_scaffold_113;Porites_evermani_scaffold_1181	44432;15179	54616;15414	+;+	10421	23	8	28	27	29
lncRNA_195	Porites_evermani_scaffold_113;Porites_evermani_scaffold_1181	511947;62841	514139;69366	+;+	8719	159	46	334	158	192
lncRNA_196	Porites_evermani_scaffold_113;Porites_evermani_scaffold_1181	71;629	291;4387	+;+	3980	0	3	0	0	8
lncRNA_197	Porites_evermani_scaffold_113;Porites_evermani_scaffold_1181	469871;629	471194;4387	+;+	5083	482	383	592	490	1048
lncRNA_198	Porites_evermani_scaffold_113;Porites_evermani_scaffold_1181	494416;71116	494719;76859	+;+	6048	2	0	0	0	1
lncRNA_199	Porites_evermani_scaffold_1131;Porites_evermani_scaffold_1181	87882;71513	88772;84599	+;+	13978	3	0	3	0	3
lncRNA_172	Porites_evermani_scaffold_1169	142729	143111	+	383	0	0	0	0	0
lncRNA_211	Porites_evermani_scaffold_1181;Porites_evermani_scaffold_1183;Porites_evermani_scaffold_1188;Porites_evermani_scaffold_1188	112111;147941;83585;99115	112589;151929;84265;99215	+;+;+;+	5250	0	1	0	0	3
lncRNA_212	Porites_evermani_scaffold_1183;Porites_evermani_scaffold_1188	153457;119611	154871;119877	+;+	1682	0	0	0	0	0
lncRNA_213	Porites_evermani_scaffold_1183;Porites_evermani_scaffold_1188	44718;136865	44914;137174	+;+	507	0	0	0	0	0
lncRNA_214	Porites_evermani_scaffold_1185;Porites_evermani_scaffold_119	116487;169166	116756;186431	+;+	17536	28	4	63	0	44
lncRNA_215	Porites_evermani_scaffold_1186;Porites_evermani_scaffold_119	129827;339836	131462;341346	+;+	3147	87	12	0	38	6
lncRNA_216	Porites_evermani_scaffold_1187;Porites_evermani_scaffold_119	131514;9893	131976;16224	+;+	6795	0	0	0	0	0
lncRNA_217	Porites_evermani_scaffold_1188;Porites_evermani_scaffold_119	46696;185556	46998;186365	+;+	1113	0	2	18	6	10
lncRNA_218	Porites_evermani_scaffold_1188;Porites_evermani_scaffold_119	79311;411416	79654;411631	+;+	560	0	0	0	0	0
lncRNA_219	Porites_evermani_scaffold_1188;Porites_evermani_scaffold_119	81523;511873	81914;512125	+;+	645	0	0	0	0	3
lncRNA_221	Porites_evermani_scaffold_1191;Porites_evermani_scaffold_1191	18418;85192	19374;85296	+;+	1062	0	0	0	13	0
lncRNA_222	Porites_evermani_scaffold_1191	16831	18133	+	1303	0	0	0	13	0
lncRNA_223	Porites_evermani_scaffold_1192	34855	36164	+	1310	0	0	0	0	0
lncRNA_224	Porites_evermani_scaffold_1192	67271	68126	+	856	63	55	132	53	64
lncRNA_225	Porites_evermani_scaffold_1193	5795	7511	+	1717	314	109	28	1	9
lncRNA_226	Porites_evermani_scaffold_1193	135386	138713	+	3328	11	18	17	36	22
lncRNA_227	Porites_evermani_scaffold_1194	11	3253	+	3243	1244	661	704	1083	1691
lncRNA_228	Porites_evermani_scaffold_1194	112691	112946	+	256	0	0	0	0	0
lncRNA_229	Porites_evermani_scaffold_1194	154146	154415	+	270	0	0	0	0	0
lncRNA_231	Porites_evermani_scaffold_1195;Porites_evermani_scaffold_1195	15693;91326	15917;92811	+;+	1711	73	12	66	25	65
lncRNA_232	Porites_evermani_scaffold_1196	71467	81146	+	9680	0	0	0	0	0
lncRNA_233	Porites_evermani_scaffold_1196	71477	81146	+	9670	0	0	0	0	0
lncRNA_234	Porites_evermani_scaffold_1198	25982	27276	+	1295	229	58	250	74	280
lncRNA_235	Porites_evermani_scaffold_1199	9847	11447	+	1601	0	0	0	0	0
lncRNA_236	Porites_evermani_scaffold_1199	56689	56972	+	284	0	0	0	0	0
lncRNA_237	Porites_evermani_scaffold_1199	115528	115811	+	284	0	0	0	0	0
lncRNA_238	Porites_evermani_scaffold_11	316264	318167	+	1904	0	2	0	0	0
lncRNA_239	Porites_evermani_scaffold_11	221831	225141	+	3311	333	18	54	33	120
lncRNA_241	Porites_evermani_scaffold_11;Porites_evermani_scaffold_11	518715;642354	519171;648546	+;+	6650	2692	167	651	774	298
lncRNA_242	Porites_evermani_scaffold_11	583999	584691	+	693	8	5	97	2	13
lncRNA_243	Porites_evermani_scaffold_11	599545	599872	+	328	0	0	28	0	0
lncRNA_244	Porites_evermani_scaffold_11	616351	616614	+	264	0	0	0	0	0
lncRNA_245	Porites_evermani_scaffold_11	788868	789171	+	304	0	0	30	0	0
lncRNA_246	Porites_evermani_scaffold_11	859212	859491	+	280	10	2	34	0	4
lncRNA_247	Porites_evermani_scaffold_11	1144331	1144615	+	285	0	8	0	0	0
lncRNA_248	Porites_evermani_scaffold_11	1155354	1155618	+	265	0	0	0	0	0
lncRNA_249	Porites_evermani_scaffold_111	129872	135582	+	5711	4	2	30	1	12
lncRNA_251	Porites_evermani_scaffold_111;Porites_evermani_scaffold_111	131224;473385	138728;475115	+;+	9236	10	18	14	4	7
lncRNA_252	Porites_evermani_scaffold_111	475377	475642	+	266	6	0	0	0	0
lncRNA_253	Porites_evermani_scaffold_111	314999	315288	+	290	0	0	0	0	2
lncRNA_254	Porites_evermani_scaffold_111	359356	359614	+	259	14	0	14	1	30
lncRNA_255	Porites_evermani_scaffold_1111	144331	145143	+	813	0	4	0	0	0
lncRNA_256	Porites_evermani_scaffold_1111	146149	146413	+	265	0	0	0	0	0
lncRNA_257	Porites_evermani_scaffold_1111	11726	14211	+	2486	27	16	47	11	24
lncRNA_258	Porites_evermani_scaffold_1111	12735	13837	+	1103	0	0	0	0	0
lncRNA_259	Porites_evermani_scaffold_1112	84151	86417	+	2267	2	0	57	11	20
lncRNA_261	Porites_evermani_scaffold_1113;Porites_evermani_scaffold_1113	321;78521	1199;78883	+;+	1242	0	6	0	0	0
lncRNA_262	Porites_evermani_scaffold_1114	46121	47446	+	1326	0	0	0	0	0
lncRNA_263	Porites_evermani_scaffold_1114	55793	56853	+	1061	0	0	0	0	0
lncRNA_264	Porites_evermani_scaffold_1114	14275	14624	+	350	20	3	0	6	40
lncRNA_265	Porites_evermani_scaffold_1114	29651	29892	+	242	0	0	0	0	0
lncRNA_266	Porites_evermani_scaffold_1115	61151	64335	+	3185	0	0	0	0	0
lncRNA_267	Porites_evermani_scaffold_1115	61151	64335	+	3185	0	0	0	0	0
lncRNA_268	Porites_evermani_scaffold_1115	138285	141843	+	3559	29	3	26	0	10
lncRNA_269	Porites_evermani_scaffold_1115	61151	64335	+	3185	0	0	0	0	0
lncRNA_271	Porites_evermani_scaffold_1116;Porites_evermani_scaffold_1115	149849;66269	152119;66771	+;+	2774	62	15	38	7	32
lncRNA_272	Porites_evermani_scaffold_1117	51725	51993	+	269	0	0	0	0	0
lncRNA_273	Porites_evermani_scaffold_1117	55924	56212	+	289	0	0	0	0	4
lncRNA_274	Porites_evermani_scaffold_1118	151117	151615	+	499	4	0	0	18	32
lncRNA_275	Porites_evermani_scaffold_1119	126399	127649	+	1251	10	10	2	0	26
lncRNA_276	Porites_evermani_scaffold_1119	69851	71713	+	1863	0	0	0	0	0
lncRNA_277	Porites_evermani_scaffold_111	73251	73642	+	392	0	0	40	4	0
lncRNA_278	Porites_evermani_scaffold_1111	146112	146366	+	255	0	0	0	0	0
lncRNA_279	Porites_evermani_scaffold_1112	145211	147116	+	1906	0	0	0	0	0
lncRNA_281	Porites_evermani_scaffold_1112;Porites_evermani_scaffold_1112	145211;145211	147116;147116	+;+	1906	0	0	0	0	0
lncRNA_282	Porites_evermani_scaffold_1112	148148	149931	+	1784	113	72	29	26	165
lncRNA_283	Porites_evermani_scaffold_1112	23272	23557	+	286	9	0	30	2	0
lncRNA_284	Porites_evermani_scaffold_1115	1	836	+	836	33	118	223	21	355
lncRNA_285	Porites_evermani_scaffold_1115	19399	21138	+	1740	71	60	107	14	15
lncRNA_286	Porites_evermani_scaffold_1115	24564	24955	+	392	5	22	62	10	16
lncRNA_287	Porites_evermani_scaffold_1115	85946	86183	+	238	22	18	24	2	8
lncRNA_288	Porites_evermani_scaffold_1115	88177	88361	+	185	27	24	1	0	28
lncRNA_289	Porites_evermani_scaffold_1115	96865	97135	+	271	14	3	69	2	0
lncRNA_291	Porites_evermani_scaffold_1116;Porites_evermani_scaffold_1115	65;123559	1921;124253	+;+	2552	61	323	107	848	2287
lncRNA_292	Porites_evermani_scaffold_1116	111441	111742	+	302	0	0	0	0	0
lncRNA_293	Porites_evermani_scaffold_1118	58548	58765	+	218	55	4	19	0	0
lncRNA_294	Porites_evermani_scaffold_1119	18388	19893	+	1506	0	0	0	0	0
lncRNA_295	Porites_evermani_scaffold_1119	18388	19893	+	1506	0	0	0	0	0
lncRNA_296	Porites_evermani_scaffold_1119	1191	1458	+	268	3	1	30	2	7
lncRNA_297	Porites_evermani_scaffold_1119	9121	11129	+	2009	229	8	0	0	147
lncRNA_298	Porites_evermani_scaffold_1119	38462	38717	+	256	6	1	0	0	3
lncRNA_299	Porites_evermani_scaffold_112	52388	54262	+	1875	0	0	0	0	0
lncRNA_311	Porites_evermani_scaffold_112;Porites_evermani_scaffold_112;Porites_evermani_scaffold_1121;Porites_evermani_scaffold_1121	52471;434141;91651;95639	54262;436337;93167;97482	+;+;+;+	7350	51	24	34	4	71
lncRNA_312	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1121	434145;135364	439197;136297	+;+	5987	778	98	384	236	1050
lncRNA_313	Porites_evermani_scaffold_112	434177	436337	+	2161	0	0	0	0	0
lncRNA_314	Porites_evermani_scaffold_112	22412	24668	+	2257	409	14	384	80	221
lncRNA_315	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1122	362399;151243	362717;151532	+;+	609	44	15	73	10	57
lncRNA_316	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1123	363375;1396	363611;2565	+;+	1407	4	0	24	1	0
lncRNA_317	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1123	461563;1396	461819;6427	+;+	5289	0	0	38	0	0
lncRNA_318	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1123	484921;1396	485415;6427	+;+	5527	67	25	58	35	45
lncRNA_319	Porites_evermani_scaffold_112;Porites_evermani_scaffold_1123	486546;1396	487163;6427	+;+	5650	140	59	169	38	77
lncRNA_321	Porites_evermani_scaffold_1123;Porites_evermani_scaffold_1125	11567;38225	11861;39322	+;+	1393	22	26	66	58	33
lncRNA_322	Porites_evermani_scaffold_1126	146951	151113	+	4163	319	312	401	181	535
lncRNA_323	Porites_evermani_scaffold_1127	117183	117519	+	337	25	2	76	18	25
lncRNA_324	Porites_evermani_scaffold_1127	117996	118628	+	633	50	13	121	0	49
lncRNA_325	Porites_evermani_scaffold_1129	2	4653	+	4652	161	80	232	64	399
lncRNA_326	Porites_evermani_scaffold_1129	121123	123281	+	2159	182	18	2	7	357
lncRNA_327	Porites_evermani_scaffold_113	3533	3872	+	340	13	8	13	12	140
lncRNA_328	Porites_evermani_scaffold_1131	52154	54518	+	2365	0	6	0	0	6
lncRNA_329	Porites_evermani_scaffold_1131	114471	114765	+	295	1	0	0	32	35
lncRNA_331	Porites_evermani_scaffold_1131;Porites_evermani_scaffold_1132	118681;77682	119648;87254	+;+	10541	2	5	22	14	310
lncRNA_332	Porites_evermani_scaffold_1132	77682	87254	+	9573	0	0	0	0	0
lncRNA_333	Porites_evermani_scaffold_1132	89453	92127	+	2675	45	32	109	27	35
lncRNA_334	Porites_evermani_scaffold_1132	98193	111915	+	13723	22	4	181	101	83
lncRNA_335	Porites_evermani_scaffold_1132	112116	113141	+	1026	0	0	0	0	0
lncRNA_337	Porites_evermani_scaffold_1132	55471	55835	+	365	1	0	19	0	2
lncRNA_338	Porites_evermani_scaffold_1132	73668	73971	+	304	0	0	28	5	0
lncRNA_339	Porites_evermani_scaffold_1132	126142	126942	+	801	9	15	152	63	29
lncRNA_341	Porites_evermani_scaffold_1133;Porites_evermani_scaffold_1133	37342;81727	39121;84515	+;+	4569	1562	379	2388	838	1788
lncRNA_342	Porites_evermani_scaffold_1133	142916	147911	+	4996	9	2	39	20	12
lncRNA_343	Porites_evermani_scaffold_1133	35164	39121	+	3958	0	0	0	0	0
lncRNA_344	Porites_evermani_scaffold_1133	35164	39121	+	3958	0	0	0	0	0
lncRNA_345	Porites_evermani_scaffold_1135	141745	142119	+	375	1	0	28	1	0
lncRNA_346	Porites_evermani_scaffold_1137	124529	127186	+	2658	42	77	0	0	0
lncRNA_347	Porites_evermani_scaffold_1137	39965	41278	+	1314	14	5	60	5	9
lncRNA_348	Porites_evermani_scaffold_1138	23547	27313	+	3767	16	2	163	6	84
lncRNA_349	Porites_evermani_scaffold_1138	22755	23292	+	538	20	10	108	25	124
lncRNA_351	Porites_evermani_scaffold_1138;Porites_evermani_scaffold_1138	62259;116217	62562;116442	+;+	530	0	0	36	3	0
lncRNA_352	Porites_evermani_scaffold_1139	134851	135613	+	763	4	26	30	4	81
lncRNA_353	Porites_evermani_scaffold_114	381354	381865	+	512	0	0	57	0	9
lncRNA_354	Porites_evermani_scaffold_114	2331	2559	+	229	0	0	24	0	0
lncRNA_355	Porites_evermani_scaffold_114	91913	92185	+	273	28	9	68	0	22
lncRNA_356	Porites_evermani_scaffold_114	92589	92831	+	243	10	9	28	19	33
lncRNA_357	Porites_evermani_scaffold_114	266119	266332	+	214	6	0	32	0	0
lncRNA_358	Porites_evermani_scaffold_114	271352	271637	+	286	2	2	26	9	4
lncRNA_359	Porites_evermani_scaffold_114	322419	322636	+	218	0	0	34	8	1
lncRNA_361	Porites_evermani_scaffold_1141;Porites_evermani_scaffold_1141	122885;122885	129186;129186	+;+	6302	0	0	0	0	0
lncRNA_362	Porites_evermani_scaffold_1141	122937	129186	+	6250	0	0	0	0	0
lncRNA_363	Porites_evermani_scaffold_1141	122937	129186	+	6250	0	0	0	0	0
lncRNA_364	Porites_evermani_scaffold_1141	122937	129186	+	6250	0	0	0	0	0
lncRNA_365	Porites_evermani_scaffold_1141	122941	129186	+	6246	0	0	0	0	0
lncRNA_366	Porites_evermani_scaffold_1141	122941	129186	+	6246	0	0	0	0	0
lncRNA_367	Porites_evermani_scaffold_1141	122941	129186	+	6246	0	0	0	0	0
lncRNA_368	Porites_evermani_scaffold_1141	14421	14743	+	323	0	2	0	8	4
lncRNA_369	Porites_evermani_scaffold_1141	21273	21481	+	209	3	0	0	0	0
