gene_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
STRG.14888,79,38,0,29,87
Peve_00023680,0,0,0,3,3
Peve_00023682,0,0,0,0,0
Peve_00024654,0,0,0,0,0
Peve_00023688,0,0,0,0,45
Peve_00024658,0,0,0,0,0
STRG.18289,18971,511,3521,9835,16598
STRG.18288,568,92,1330,475,1122
STRG.18283,13,15,0,0,40
STRG.18282,75,45,1655,369,112
STRG.18281,142,69,304,138,234
STRG.18280,1,0,0,0,5
STRG.18287,511,101,481,397,346
STRG.18286,39,15,101,46,62
STRG.18285,205,113,236,29,130
STRG.18284,12,2,0,0,24
STRG.22389,4,0,0,6,0
STRG.22388,9,11,0,5,0
STRG.22387,318,243,772,232,546
STRG.22386,662,345,1042,292,838
STRG.22385,10,23,0,11,2
STRG.22384,67,100,64,277,400
STRG.22383,27,172,335,393,1063
STRG.22382,880,303,929,274,694
STRG.22381,268,19,142,18,23
STRG.22380,81,0,89,2,1
STRG.16762,1309,1102,729,761,1317
STRG.8663,45,53,79,19,92
STRG.16760,17,0,42,0,0
STRG.16761,324,416,129,179,330
STRG.16766,7,8,5,8,31
STRG.16767,10,0,0,4,8
STRG.16764,92,32,305,28,93
STRG.16765,14,35,104,30,33
STRG.16768,41,41,105,49,18
STRG.16769,382,252,514,364,176
STRG.8661,5349,2239,2059,2476,6018
STRG.19415,594,101,704,141,511
Peve_00020596,0,0,0,0,0
STRG.8660,3144,1130,1805,1213,3492
STRG.19414,1,0,0,0,1
STRG.8667,421,222,1711,471,542
STRG.8666,30,25,104,0,49
Peve_00041415,0,0,0,0,0
Peve_00026492,0,0,45,0,4
STRG.8664,55,184,0,25,92
STRG.19410,17,0,0,0,38
STRG.8669,9,0,0,4,38
STRG.19486,4,0,0,0,0
STRG.19487,4,3,11,2,3
STRG.19484,1541,522,2465,899,1915
STRG.19485,137,21,60,92,139
STRG.19482,628,578,892,429,680
STRG.19483,20530,13487,23451,13088,23372
STRG.19480,104,32,142,29,79
STRG.19481,34,0,45,7,32
STRG.19488,3,0,0,0,5
STRG.19489,10,0,0,0,17
STRG.19203,240,18,123,149,54
STRG.26268,36,16,104,24,0
STRG.26269,374,66,28,136,217
STRG.26260,5,0,0,0,12
STRG.26261,47,0,0,3,9
STRG.26262,31,22,69,15,26
STRG.26263,411,69,2150,677,1468
STRG.26264,815,825,1288,810,1688
STRG.26265,62,10,0,0,21
STRG.26266,111,37,10,294,42
STRG.26267,3,3,0,0,4
STRG.19158,64,28,58,24,71
STRG.19159,41,0,106,105,32
STRG.19150,15,14,3,20,2
STRG.19151,431,207,461,279,505
STRG.19152,4,0,0,31,4
STRG.19153,4,3,10,9,56
STRG.19154,5,3,0,1,24
STRG.19155,19,18,0,0,14
STRG.19156,156,0,0,0,0
STRG.19157,332,162,872,282,385
STRG.6841,2285,940,4351,271,2614
STRG.6840,310,238,1266,296,567
STRG.6843,2156,1516,4263,1532,3917
STRG.6842,508,467,1649,172,874
STRG.6845,500,141,1262,333,575
STRG.6844,119,254,1018,22,672
STRG.6847,1369,540,780,1053,4247
STRG.6846,156,11,70,24,254
STRG.15864,374,140,880,233,364
STRG.15865,14,0,23,10,0
STRG.15866,2,14,25,9,5
STRG.15867,123,74,0,43,280
STRG.15860,100,0,66,75,258
STRG.15861,114,18,180,139,278
STRG.15862,143,20,54,141,297
STRG.15863,5709,803,6122,3033,9181
STRG.4991,78,25,60,24,99
STRG.4990,102,47,1150,23,140
STRG.4993,499,221,163,1107,854
STRG.4992,67,10,8,40,38
STRG.4995,61,38,0,36,56
STRG.4994,15,14,0,11,0
Peve_00010634,0,0,0,0,0
Peve_00010635,0,0,0,0,0
STRG.4999,4,2,2,28,4
Peve_00025211,0,0,0,0,0
Peve_00025212,0,0,0,0,35
Peve_00010639,0,0,0,0,0
Peve_00025214,0,0,0,0,0
Peve_00025215,0,0,0,0,0
STRG.257,17,0,122,0,0
STRG.256,5,0,0,0,0
Peve_00015578,0,0,0,5,23
STRG.254,74,0,108,71,167
STRG.253,534,377,1351,283,640
STRG.252,3,0,0,0,9
STRG.251,8,0,0,0,0
STRG.250,374,16,0,0,358
STRG.6548,245,5,442,167,49
STRG.259,6579,1737,4113,1075,5315
STRG.258,257,35,590,78,195
STRG.21126,29,11,40,12,7
STRG.21127,908,788,2454,464,978
STRG.21124,75,251,182,20,328
STRG.21125,5,0,0,0,0
STRG.21122,51,152,0,689,864
STRG.21123,16,170,119,83,302
STRG.21120,9972,6969,7709,160,6415
STRG.2435,1330,648,1275,428,157
STRG.10333,194,21,215,141,73
STRG.10332,14,4,0,0,29
STRG.10331,308,33,363,173,126
STRG.10330,164,19,79,0,0
STRG.10337,2486,910,1790,1436,3107
STRG.10336,3157,1054,2622,1753,3280
STRG.21128,63,14,9,21,12
STRG.21129,6,0,0,12,20
STRG.16294,3,0,0,4,3
STRG.20838,32,6,92,4,35
Peve_00018440,0,0,0,0,0
STRG.20833,75,177,603,92,107
STRG.20832,1060,308,4757,250,1319
STRG.20831,94,19,115,37,37
STRG.20830,520,232,167,439,72
STRG.20837,242,0,14,0,17
STRG.20836,17,0,0,0,12
STRG.20835,3106,893,4331,2759,3474
STRG.20834,37,81,145,0,30
Peve_00041353,0,0,0,0,0
Peve_00044180,0,0,0,0,0
Peve_00044183,0,0,0,0,0
Peve_00041350,0,0,0,6,0
STRG.2432,69,0,155,93,73
STRG.17573,58,40,143,83,166
Peve_00018832,0,0,0,0,0
Peve_00021444,0,0,0,0,0
Peve_00021447,0,170,22,1950,15
Peve_00021446,0,0,0,6,0
STRG.7217,20,0,0,0,3
STRG.3509,2,0,13,0,5
STRG.3508,161,6788,39,23,21
STRG.3507,54,109,75,16,10
STRG.3506,74,84,0,26,40
STRG.3505,827,186,2098,489,801
STRG.3504,52,62,249,24,44
STRG.3503,1590,615,2402,832,1391
STRG.3502,48,14,55,13,11
STRG.3501,2097,901,1955,1626,2833
STRG.3500,40,11,0,0,0
Peve_00017368,0,6,0,12,0
Peve_00017365,0,0,0,0,0
Peve_00017364,0,0,0,0,0
Peve_00017367,0,3,0,32,14
Peve_00017366,0,0,0,0,44
Peve_00017361,0,0,0,0,0
Peve_00017360,0,0,0,0,0
STRG.25711,489,87,341,175,569
STRG.25710,30,0,114,0,29
STRG.25713,19,27,63,20,19
STRG.25712,13,0,0,62,14
STRG.25715,448,26,353,328,344
STRG.25714,107,13,45,17,63
STRG.25717,69,4,12,0,8
STRG.25716,174,11,146,31,69
STRG.25719,20,24,60,19,37
STRG.25718,4,0,0,0,0
Peve_00014625,0,0,0,0,0
Peve_00014624,0,0,10,17,4
STRG.7084,35,0,155,0,0
STRG.7085,55,0,57,24,46
STRG.7082,133,55,274,114,216
STRG.7083,306,228,673,211,607
STRG.7080,207,0,691,161,328
STRG.7081,19,0,24,6,19
Peve_00003133,0,0,0,0,0
Peve_00003135,0,0,0,0,0
Peve_00003134,0,0,0,0,0
STRG.7088,220,544,690,186,428
Peve_00003136,0,0,0,0,0
STRG.18899,25,0,74,13,48
STRG.1866,3072,910,678,843,2809
STRG.1867,333,161,751,387,514
STRG.1864,27,0,0,16,0
STRG.14059,2,0,0,2,6
STRG.1862,44,21,101,71,71
STRG.1863,702,123,683,361,789
STRG.1860,2921,1462,4061,1500,6725
STRG.1861,66,16,9,7,11
STRG.14052,14,14,0,14,0
STRG.14053,150,14,110,182,130
STRG.14050,433,118,723,142,314
STRG.14051,15,0,0,18,0
STRG.14056,138,103,794,173,125
STRG.14057,67,55,182,65,121
STRG.14054,110,211,610,348,584
STRG.14055,43882,13325,38863,27218,55516
STRG.16995,33,3,72,0,11
STRG.8508,137,9,2117,53,48
STRG.8509,656,251,2211,963,2331
STRG.7338,368,151,623,214,320
STRG.7339,209,175,757,313,378
STRG.16994,1103,536,1249,752,1504
STRG.7334,285,0,386,107,34
STRG.7335,58,0,0,20,126
STRG.7336,566,232,1748,751,607
STRG.7337,8791,3420,7800,4430,9753
STRG.7330,11,0,64,12,0
STRG.8507,163,403,521,116,215
STRG.8504,25,0,0,14,23
STRG.7333,6,0,106,23,0
STRG.9775,45,0,0,0,0
Peve_00016708,0,0,0,0,0
Peve_00038244,0,0,0,0,0
STRG.16991,1097,253,2408,1515,1464
STRG.16990,13,0,0,3,0
Peve_00037214,0,0,0,0,0
STRG.9770,148,21,92,14,165
STRG.9771,7,0,0,0,0
Peve_00037212,0,0,0,0,0
Peve_00044458,0,0,0,0,0
STRG.21647,243,129,509,287,483
Peve_00045325,0,0,0,0,0
STRG.21646,84,90,250,145,118
STRG.21645,6,2,1,1,6
STRG.15429,97,58,110,44,158
STRG.21644,36,0,117,13,35
Peve_00004489,0,0,0,0,49
STRG.23719,21,36,254,61,15
STRG.23718,87,22,82,32,24
Peve_00043863,0,0,0,0,0
Peve_00043860,0,0,0,0,0
STRG.23713,864,263,899,519,711
STRG.23712,5438,2238,6223,2479,6815
Peve_00004482,0,0,0,0,0
STRG.23710,4,0,0,0,0
STRG.23717,4,0,0,0,9
STRG.23716,352,126,198,60,80
STRG.23715,431,46,757,312,273
STRG.23714,9,0,0,0,0
Peve_00039628,0,0,0,6,0
STRG.6069,363,210,301,189,303
STRG.6068,539,0,0,14,27
STRG.6067,3168,1542,1455,1521,4774
STRG.6066,180,54,396,140,138
STRG.6065,205,95,484,110,169
STRG.6064,52,0,0,11,56
STRG.6063,401,212,1153,413,452
STRG.6062,342,110,469,185,423
STRG.6061,553,337,943,240,562
STRG.6060,91,7,391,45,33
Peve_00018629,0,13,0,0,7
STRG.12063,8,0,11,12,0
Peve_00018621,0,0,67,38,47
STRG.12062,683,207,432,122,869
Peve_00040022,0,0,34,18,21
Peve_00010688,0,0,0,0,0
Peve_00040020,0,0,0,0,0
STRG.12069,1241,194,785,569,780
STRG.12068,1815,460,2904,1516,1600
Peve_00043249,0,0,0,0,0
Peve_00039165,0,0,0,0,0
Peve_00039163,0,0,0,0,0
Peve_00039162,0,6,25,3,3
Peve_00043244,0,0,21,0,0
STRG.25928,6,6,2,7,19
STRG.10718,1567,341,573,824,4040
STRG.25929,430,60,475,32,122
Peve_00022489,0,0,0,0,0
Peve_00038411,0,0,0,0,0
Peve_00038412,0,25,0,0,0
Peve_00038414,0,0,0,3,0
Peve_00038415,0,0,0,0,0
Peve_00038416,0,0,0,0,0
Peve_00038417,0,0,0,0,0
Peve_00038418,0,0,0,0,0
Peve_00018257,0,0,0,0,0
Peve_00034700,0,0,0,0,0
STRG.25922,641,0,1573,813,615
Peve_00034706,0,7,9,0,0
Peve_00034707,0,0,0,0,0
Peve_00041638,0,0,0,0,0
STRG.21823,37,28,87,0,25
STRG.21822,55,29,0,59,80
STRG.21821,120,26,93,68,186
STRG.21820,34,29,0,18,58
STRG.21827,926,667,1562,878,1438
STRG.21826,7,5,104,14,0
STRG.21825,18,21,38,10,23
Peve_00003918,0,0,0,0,0
STRG.21829,15,37,166,71,83
STRG.21828,2,5,0,0,0
STRG.2921,2446,1213,4790,2387,3919
Peve_00003910,0,0,0,0,5
Peve_00042675,0,0,95,0,45
Peve_00040746,0,0,0,0,0
Peve_00040744,0,0,0,0,0
Peve_00040742,0,24,0,0,48
Peve_00040749,0,0,0,13,0
Peve_00038671,0,15,0,0,0
Peve_00006244,0,3,0,0,0
STRG.13523,366,13,109,185,213
STRG.13522,7,10,0,0,1744
STRG.13521,17,58,34,12,1620
STRG.13520,36,31,3,69,286
STRG.13527,340,64,484,196,468
STRG.13526,3113,735,1278,944,2672
STRG.13525,29,98,29,27,48
STRG.13524,53,24,0,4,86
STRG.13529,82,0,73,68,272
STRG.13528,62,3,64,35,147
Peve_00008150,0,0,0,0,0
Peve_00042671,0,0,0,0,31
STRG.9482,10,0,28,36,14
STRG.24038,121,36,208,63,84
Peve_00042589,0,0,0,0,0
Peve_00041836,0,0,0,0,0
STRG.24427,11,0,0,14,86
Peve_00041835,0,0,0,0,0
Peve_00041832,0,3,53,0,0
Peve_00041833,0,0,0,0,0
Peve_00041830,0,0,0,0,0
Peve_00008158,0,0,0,0,0
Peve_00008159,0,0,0,0,4
Peve_00043670,0,0,0,0,0
Peve_00009983,0,0,0,0,0
STRG.23569,96,16,35,11,25
Peve_00041657,0,0,0,0,0
Peve_00007116,0,0,0,0,0
Peve_00007115,0,0,0,0,0
Peve_00009688,0,0,0,0,0
STRG.23566,1119,321,815,892,1240
STRG.18751,5334,583,821,967,1967
STRG.18750,852,166,44,223,577
STRG.18753,447,163,614,220,421
Peve_00035897,0,0,0,0,0
Peve_00035896,0,0,0,0,0
Peve_00035895,0,0,31,0,0
STRG.18752,765,134,295,422,923
Peve_00035890,0,0,0,0,0
STRG.18755,2733,1996,1738,982,2600
STRG.18754,522,271,307,282,798
STRG.18757,595,372,435,817,145
STRG.2802,444,356,785,167,2048
STRG.18756,25,18,8,24,19
STRG.18758,4,0,12,1,0
Peve_00042879,0,0,0,0,0
Peve_00042878,0,9,0,0,0
Peve_00042870,0,0,0,0,0
STRG.1018,12533,4646,5548,4617,15596
Peve_00007806,0,4,0,0,0
Peve_00035279,0,0,0,5,0
Peve_00035278,0,0,0,19,0
Peve_00035273,0,0,0,0,0
Peve_00008351,0,0,0,0,14
Peve_00008352,0,0,0,0,15
Peve_00008353,0,0,0,0,20
Peve_00008354,0,0,0,0,0
Peve_00008355,0,0,0,8,0
Peve_00035275,0,0,0,0,0
Peve_00019230,0,0,0,0,0
Peve_00019235,0,0,0,0,0
Peve_00019239,0,0,0,0,0
Peve_00019238,0,0,0,0,0
STRG.24429,8,0,0,0,9
STRG.11775,629,235,215,203,779
Peve_00000259,0,0,0,0,0
STRG.11776,566,122,578,302,552
Peve_00003457,0,6,32,0,0
Peve_00028181,0,0,0,0,0
Peve_00023462,0,0,0,0,0
STRG.3597,1742,384,687,204,1980
Peve_00005539,0,0,6,0,0
Peve_00005538,0,0,0,0,0
Peve_00023467,0,0,0,0,0
Peve_00013861,0,0,0,0,0
Peve_00005537,0,0,0,0,0
Peve_00005535,0,0,0,0,26
Peve_00005534,0,0,0,3,0
Peve_00036166,0,0,57,22,25
Peve_00009409,0,0,0,0,0
Peve_00009408,0,0,0,0,0
Peve_00009403,0,0,0,0,0
Peve_00009402,0,0,0,0,0
Peve_00009401,0,0,0,0,6
Peve_00009400,0,0,0,7,0
Peve_00009407,0,0,0,0,0
Peve_00009406,0,0,0,0,0
STRG.11771,355,683,1436,282,905
STRG.5592,919,388,526,383,795
STRG.5593,93,0,146,46,50
STRG.9077,2,0,0,0,0
STRG.5591,82,32,79,43,62
STRG.5596,20,0,102,14,63
STRG.9070,196,65,159,17,197
STRG.9073,1610,1108,714,810,3890
STRG.9072,840,181,611,358,1175
STRG.5598,1149,554,840,502,1778
STRG.5599,617,307,1346,451,704
STRG.9079,74,73,117,51,108
STRG.9078,2,0,0,0,0
STRG.1593,2818,511,7734,517,3261
STRG.14659,2041,1655,5637,1783,2615
STRG.11772,12,2,0,5,5
Peve_00012275,0,0,0,0,0
Peve_00012277,0,0,0,0,0
Peve_00028305,0,0,0,0,0
Peve_00030581,0,0,0,0,0
Peve_00037125,0,0,0,0,0
Peve_00037124,0,30,133,23,34
Peve_00037127,0,0,6,235,0
Peve_00037120,0,0,0,4,0
Peve_00037123,0,0,0,0,0
Peve_00029279,0,17,66,0,36
Peve_00037128,0,0,0,0,0
Peve_00031985,0,0,0,37,0
Peve_00031989,0,0,0,0,0
Peve_00031988,0,0,0,0,0
Peve_00030634,0,0,0,0,0
Peve_00030631,0,0,0,0,0
STRG.4245,81,82,80,41,138
STRG.4244,11,0,0,0,0
STRG.4247,2,1,9,5,6
STRG.4246,613,196,729,178,358
STRG.4241,388,121,72,541,595
STRG.4240,976,408,225,523,4189
STRG.4243,139,138,291,127,252
STRG.4242,343,144,369,67,614
Peve_00033588,0,0,0,0,0
STRG.4249,28,0,0,0,0
STRG.4248,20,0,4,3,27
STRG.14298,22,4,0,14,149
STRG.14299,25,0,0,0,0
STRG.14290,572,296,852,304,494
STRG.14291,3,2,5,0,0
STRG.14292,2465,194,1629,1158,2380
STRG.14293,12617,11302,36324,12439,15477
STRG.14294,8582,6266,22247,9570,10370
STRG.14295,121,125,691,109,152
STRG.14296,75,18,33,21,119
STRG.14297,9,0,0,0,0
STRG.7538,4163,1686,4655,1709,4374
STRG.16763,152,52,138,28,212
STRG.7536,84,27,56,35,36
STRG.7537,165,93,250,149,99
STRG.7534,331,424,607,203,615
STRG.7535,256,143,270,96,149
STRG.7532,6,0,0,9,38
STRG.7533,66,22,88,14,27
STRG.7530,7,217,124,208,344
STRG.7531,26,7,67,0,27
STRG.3628,333,43,565,244,644
STRG.3629,4,0,37,0,49
STRG.3626,416,0,997,67,301
STRG.3627,85,4,0,57,11
STRG.3624,675,35,1176,107,281
STRG.3625,160,9,165,15,47
STRG.3622,1901,1449,4775,1283,3338
STRG.3623,94,0,151,15,41
Peve_00023531,0,0,0,0,0
Peve_00023530,0,0,0,0,0
Peve_00036291,0,0,0,0,0
Peve_00036293,0,0,0,0,0
Peve_00036298,0,0,0,0,0
Peve_00032984,0,0,0,0,0
Peve_00032980,0,0,0,0,0
STRG.15653,8644,8254,7528,3852,12355
STRG.15652,1422,1143,231,584,3840
STRG.15651,6293,2716,6870,2886,9803
STRG.15650,495,157,1052,462,725
STRG.15657,783,704,1106,431,915
STRG.15656,750,317,959,534,785
STRG.15655,7654,1395,7965,4168,7561
STRG.15654,4226,772,9248,3042,5274
STRG.15659,10,7,57,0,12
STRG.15658,17,11,20,9,13
STRG.3194,11,0,0,0,0
STRG.3195,7,0,0,0,112
STRG.3196,115,176,603,186,172
STRG.3197,1061,1466,908,574,1587
STRG.3190,218,80,351,197,322
STRG.3191,402,274,1603,547,577
STRG.3192,103,61,603,0,57
STRG.3193,4961,3280,9605,1289,19580
STRG.3198,397,201,1259,332,402
STRG.3199,5,4,0,0,0
Peve_00036742,0,2,0,0,52
Peve_00036743,0,0,37,0,25
STRG.12926,87,12,120,0,63
STRG.12927,41,9,52,0,49
STRG.12920,16,0,1146,0,0
STRG.12921,82,71,143,26,44
STRG.12922,79,45,63,92,227
STRG.12923,130,36,165,30,163
STRG.12928,1249,307,2638,1769,1943
STRG.12929,1178,568,1210,354,1384
Peve_00032672,0,0,0,0,0
Peve_00032671,0,13,72,117,567
Peve_00032676,0,30,51,6,0
STRG.6661,94,49,264,71,37
STRG.6660,107,70,235,104,163
STRG.6663,3496,1531,8699,2568,4229
STRG.6662,109,135,11,111,228
STRG.6665,293,88,621,131,437
STRG.6664,169,0,218,155,84
STRG.6667,28,2,32,21,18
STRG.6666,84,4,527,65,163
STRG.6669,581,242,667,300,702
STRG.6668,2856,213,2139,1538,1750
STRG.2571,16,11,0,0,16
STRG.2570,121,25,197,27,76
STRG.2573,9,0,0,0,0
STRG.2572,7,0,0,10,4
STRG.2575,7,4,0,0,0
STRG.2574,58,0,42,0,4
STRG.2577,10,9,27,20,17
STRG.2576,26,4,37,4,71
STRG.2579,5,0,0,0,0
STRG.2578,22,0,0,0,0
Peve_00021640,0,0,0,0,0
STRG.17725,282,38,73,44,344
STRG.17724,79,42,198,53,122
STRG.17727,95,65,76,33,103
Peve_00012916,0,0,0,0,2
STRG.17721,2841,1103,1807,899,2588
Peve_00031218,0,0,0,0,0
STRG.17723,129,95,635,117,172
STRG.17722,1994,1038,2574,656,3262
STRG.17729,357,18,212,112,308
STRG.17728,875,297,1381,436,1175
Peve_00027537,0,0,0,5,0
STRG.11075,112,37,404,114,300
Peve_00021267,0,0,0,0,0
Peve_00021266,0,0,0,0,0
Peve_00025978,0,0,0,0,0
Peve_00025970,0,6,0,0,0
Peve_00025975,0,0,0,0,0
Peve_00017988,0,0,0,0,0
Peve_00017985,0,0,0,0,0
Peve_00017987,0,0,0,0,0
Peve_00017986,0,0,0,3,0
Peve_00017980,0,0,0,0,0
Peve_00017983,0,0,0,0,0
Peve_00017982,0,0,0,0,0
Peve_00037910,0,0,0,0,18
Peve_00037912,0,0,0,0,0
STRG.5794,216,155,797,161,243
STRG.23991,14,163,335,175,12
STRG.23990,67,0,118,66,139
STRG.23993,120,13,102,86,302
STRG.23992,250,113,389,95,326
STRG.23995,304,172,483,261,301
STRG.23994,41,0,71,11,105
STRG.23997,32,14,91,9,35
STRG.23996,31,0,209,0,37
STRG.23999,180,35,730,194,186
STRG.23998,17,0,0,3,13
STRG.860,24,37,406,218,219
STRG.861,92,0,232,61,91
STRG.18124,370,430,178,126,640
STRG.18125,2263,832,1423,500,2004
STRG.18122,7291,3733,2542,2647,7280
STRG.18123,838,1023,970,390,2003
STRG.18120,1443,651,1904,1458,1704
STRG.18121,49,38,269,21,43
STRG.868,2561,702,3954,1620,3679
STRG.869,1154,267,1575,492,1497
STRG.5795,199,60,0,163,81
STRG.18128,640,274,1310,395,754
STRG.18129,25,1,0,0,21
STRG.19839,796,12,515,20,243
STRG.19838,1093,82,1542,92,724
STRG.19833,3,0,50,33,0
STRG.19832,27,0,0,0,0
STRG.19831,76,22,296,34,53
STRG.19830,53,0,114,23,68
STRG.19837,139,116,347,140,114
STRG.19836,2819,17,2070,1010,72
STRG.19835,36,0,399,0,3
STRG.19834,376,12,269,468,170
Peve_00025398,0,0,0,0,0
Peve_00025397,0,0,23,0,0
Peve_00025396,0,0,0,0,0
Peve_00025391,0,0,0,0,0
Peve_00016161,0,0,0,0,0
Peve_00025393,0,0,0,0,0
Peve_00025392,0,0,0,0,0
STRG.5797,7,19,215,4,50
STRG.15579,551,124,199,328,1024
Peve_00014980,0,0,3,17,7
Peve_00014983,0,0,0,0,0
Peve_00024378,0,0,0,0,0
Peve_00011753,0,0,0,0,0
STRG.13723,21,44,208,23,32
Peve_00011751,0,0,0,0,0
STRG.13725,5747,1190,2030,3020,4128
Peve_00011757,0,0,0,0,0
Peve_00011754,0,0,0,0,14
STRG.13726,236,34,85,57,413
STRG.13729,12,0,0,0,21
Peve_00024371,0,0,0,0,0
Peve_00024373,0,0,0,0,0
Peve_00024376,0,0,0,0,0
Peve_00016298,0,0,0,0,0
STRG.5790,126,38,118,40,68
Peve_00016293,0,0,0,0,0
Peve_00016290,0,0,0,0,0
Peve_00025020,0,0,0,0,0
Peve_00016296,0,0,0,0,0
Peve_00016294,0,0,0,0,0
Peve_00016295,0,0,0,0,0
Peve_00026287,0,0,0,0,1
Peve_00026284,0,58,0,958,0
Peve_00026285,0,0,0,0,0
Peve_00026280,0,0,0,0,0
Peve_00026281,0,0,0,0,0
STRG.11763,425,79,722,322,732
STRG.11762,2122,27,19,197,86
STRG.11761,42,0,0,0,0
STRG.11760,52,22,51,2,53
STRG.11767,90,0,3,0,55
STRG.11766,101,0,263,79,150
Peve_00026288,0,0,0,0,0
STRG.11764,28,4902,305,15,2867
STRG.22646,129,125,466,38,186
STRG.22647,1191,472,1348,565,1174
STRG.13899,1608,789,678,747,1211
STRG.22645,852,514,2321,789,2118
STRG.22642,1076,0,0,417,1479
STRG.22643,11,0,0,0,0
STRG.22640,31,56,948,344,51
Peve_00020614,0,8,215,25,24
STRG.13893,7,0,0,0,0
STRG.13892,33,0,304,33,6
STRG.13891,16,0,0,7,7
STRG.13890,7733,1902,4920,2961,10366
STRG.13897,31,34,50,4,0
STRG.13896,4,0,0,0,23
STRG.13895,4,6,6,6,11
STRG.13894,5,0,0,0,0
STRG.21599,4,174,0,52,0
STRG.21598,3,3,0,71,4
STRG.21593,187,79,86,165,195
STRG.21592,618,348,1664,622,484
STRG.21591,311,86,377,115,731
STRG.21590,46,0,0,0,0
STRG.21597,44,0,0,0,10
STRG.21596,825,41,375,50,1642
STRG.21595,64,39,56,22,75
STRG.21594,219,97,78,241,370
STRG.20648,253,78,62,4,377
STRG.20649,143,231,328,161,479
STRG.5792,77,12,331,94,76
STRG.20640,779,179,443,13,363
STRG.20641,695,156,368,8,278
STRG.20642,257,116,307,3,102
STRG.20643,737,152,549,31,504
STRG.20644,2,0,0,0,0
STRG.20645,173,223,525,5,214
STRG.20646,5658,2238,2012,828,9325
