Orthogroup	Species	Porites_evermanni_v1.annot.pep	Orthologs
OG0000017	Apulchra-genome.pep	Peve_00038450	FUN_003947-T1, FUN_003954-T1, FUN_003949-T1, FUN_003908-T1, FUN_003575-T1, FUN_003973-T1, FUN_003808-T1, FUN_003826-T1, FUN_003819-T1, FUN_003912-T1, FUN_003959-T1, FUN_003909-T1, FUN_003958-T1, FUN_003976-T1, FUN_003805-T1, FUN_003825-T1, FUN_003972-T1, FUN_003906-T1, FUN_003828-T1, FUN_003824-T1, FUN_003813-T1, FUN_003822-T1, FUN_003803-T1, FUN_003968-T1, FUN_003811-T1, FUN_003815-T1, FUN_003814-T1, FUN_003941-T1, FUN_003942-T1, FUN_003950-T1, FUN_003945-T2, FUN_003945-T1, FUN_003943-T1, FUN_003946-T1, FUN_003948-T1, FUN_003951-T1, FUN_003957-T1, FUN_003809-T1, FUN_003820-T1, FUN_003827-T1, FUN_003804-T1, FUN_003821-T1, FUN_003810-T1, FUN_003802-T1, FUN_003970-T1, FUN_003966-T1, FUN_003975-T1, FUN_003974-T1, FUN_003801-T1, FUN_003907-T1, FUN_003914-T1, FUN_003910-T1, FUN_003911-T1, FUN_003955-T1, FUN_003964-T1, FUN_003961-T1, FUN_003963-T1, FUN_003816-T1, FUN_003832-T1, FUN_003823-T1, FUN_003812-T1, FUN_003831-T1, FUN_003830-T1, FUN_003817-T1, FUN_003836-T1, FUN_003834-T1
OG0000018	Apulchra-genome.pep	Peve_00010904, Peve_00031614, Peve_00005551, Peve_00035950, Peve_00031812, Peve_00036756, Peve_00033166, Peve_00028291, Peve_00027737, Peve_00043408, Peve_00042298, Peve_00036749, Peve_00017357, Peve_00033167, Peve_00028290, Peve_00017356, Peve_00007571, Peve_00017359, Peve_00026031, Peve_00033072, Peve_00040626, Peve_00032598, Peve_00039908, Peve_00027565, Peve_00045242, Peve_00028375, Peve_00028374, Peve_00028376, Peve_00039906, Peve_00039907, Peve_00027566, Peve_00045253, Peve_00022760, Peve_00022769, Peve_00024073, Peve_00024055, Peve_00007563, Peve_00007564, Peve_00035677, Peve_00017358, Peve_00036750, Peve_00018537, Peve_00027386, Peve_00024491, Peve_00017854, Peve_00001260, Peve_00026228, Peve_00026230, Peve_00026229, Peve_00039992, Peve_00039993, Peve_00026792, Peve_00014121, Peve_00030005, Peve_00036905, Peve_00036906, Peve_00021487, Peve_00036903, Peve_00039998, Peve_00040000, Peve_00039985, Peve_00014122, Peve_00039988, Peve_00014127, Peve_00026788, Peve_00015521, Peve_00039999, Peve_00039996, Peve_00026888	FUN_039823-T1
OG0000022	Pocillopora_meandrina_HIv1.genes.pep	Peve_00040221, Peve_00044816, Peve_00014095, Peve_00013489, Peve_00013975, Peve_00018922, Peve_00029864, Peve_00024126, Peve_00037441, Peve_00042823, Peve_00040224, Peve_00016794, Peve_00025371, Peve_00041337, Peve_00035875, Peve_00020021, Peve_00027448, Peve_00013976, Peve_00030519, Peve_00030798, Peve_00032363, Peve_00033178, Peve_00020281, Peve_00012883, Peve_00002980, Peve_00027923, Peve_00020740, Peve_00039367, Peve_00039365, Peve_00035850, Peve_00020905, Peve_00035127, Peve_00011206, Peve_00019207, Peve_00044759, Peve_00022942, Peve_00015874, Peve_00005641, Peve_00041336, Peve_00044817, Peve_00026410, Peve_00023027, Peve_00043263, Peve_00028640, Peve_00016388, Peve_00045120, Peve_00024271, Peve_00019189, Peve_00034727, Peve_00042630, Peve_00030871, Peve_00041665, Peve_00004430, Peve_00040491, Peve_00008572, Peve_00022213, Peve_00004225, Peve_00007021, Peve_00035243, Peve_00006599, Peve_00001419	Pocillopora_meandrina_HIv1___RNAseq.g23298.t1
OG0000026	Apulchra-genome.pep	Peve_00043097	FUN_002843-T1, FUN_010226-T1, FUN_002949-T1, FUN_002876-T1, FUN_039015-T1, FUN_002652-T1, FUN_019355-T1, FUN_028529-T1, FUN_019348-T1, FUN_019374-T1, FUN_019253-T1, FUN_006020-T1, FUN_006344-T1, FUN_019819-T1, FUN_027793-T1, FUN_019265-T1, FUN_020922-T1, FUN_020926-T1, FUN_006309-T1, FUN_020026-T1, FUN_028707-T1, FUN_027769-T1, FUN_019320-T1, FUN_020962-T1, FUN_019866-T1, FUN_020953-T1, FUN_028605-T1, FUN_019268-T1, FUN_020987-T1, FUN_028675-T1, FUN_028569-T1, FUN_019576-T1, FUN_006024-T1, FUN_019643-T1, FUN_019766-T1, FUN_019590-T1, FUN_028673-T1, FUN_020964-T1, FUN_028603-T1, FUN_028542-T1, FUN_019867-T1, FUN_020954-T1, FUN_020988-T1, FUN_019277-T1, FUN_020936-T1, FUN_019618-T1, FUN_019734-T1, FUN_019686-T1, FUN_028741-T1, FUN_028627-T1, FUN_020025-T1, FUN_028674-T1, FUN_028604-T1, FUN_028708-T1, FUN_028774-T1, FUN_002925-T1, FUN_020612-T1, FUN_019578-T1
OG0000027	Apulchra-genome.pep	Peve_00013205	FUN_029680-T1, FUN_029707-T1, FUN_029707-T2, FUN_029674-T1
OG0000027	Pocillopora_meandrina_HIv1.genes.pep	Peve_00013211	Pocillopora_meandrina_HIv1___RNAseq.g26191.t1
OG0000027	Apulchra-genome.pep	Peve_00013211	FUN_029591-T1, FUN_029666-T1
OG0000027	Apulchra-genome.pep	Peve_00028951	FUN_001559-T1
OG0000027	Apulchra-genome.pep	Peve_00013206, Peve_00012798	FUN_029705-T1, FUN_029681-T1
OG0000027	Pocillopora_meandrina_HIv1.genes.pep	Peve_00013206, Peve_00012798	Pocillopora_meandrina_HIv1___RNAseq.g2270.t1a
OG0000027	Apulchra-genome.pep	Peve_00028932	FUN_029565-T1, FUN_029565-T2
OG0000027	Apulchra-genome.pep	Peve_00028950, Peve_00023396	FUN_029566-T1
OG0000027	Apulchra-genome.pep	Peve_00012803, Peve_00012799	FUN_029678-T1, FUN_029676-T1, FUN_029559-T1, FUN_029609-T1, FUN_029604-T1, FUN_029575-T1, FUN_029582-T1, FUN_029611-T1, FUN_029592-T1, FUN_029655-T1, FUN_029589-T1, FUN_029602-T1, FUN_029596-T1, FUN_029652-T1, FUN_029646-T1, FUN_029607-T1, FUN_029598-T1, FUN_029594-T1, FUN_029564-T1, FUN_029560-T1, FUN_029578-T1, FUN_029600-T1
OG0000040	Apulchra-genome.pep	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183	FUN_044850-T1
OG0000040	Pocillopora_meandrina_HIv1.genes.pep	Peve_00002262, Peve_00009119, Peve_00017947, Peve_00016251, Peve_00021721, Peve_00041785, Peve_00017670, Peve_00016779, Peve_00004851, Peve_00043535, Peve_00004582, Peve_00034220, Peve_00032487, Peve_00030513, Peve_00026883, Peve_00039539, Peve_00044435, Peve_00026859, Peve_00028892, Peve_00041543, Peve_00038591, Peve_00040815, Peve_00040293, Peve_00023212, Peve_00040294, Peve_00011998, Peve_00000363, Peve_00005518, Peve_00024018, Peve_00029889, Peve_00020815, Peve_00010455, Peve_00004852, Peve_00012472, Peve_00012589, Peve_00003500, Peve_00026775, Peve_00030512, Peve_00039767, Peve_00028123, Peve_00001017, Peve_00040590, Peve_00044183	Pocillopora_meandrina_HIv1___RNAseq.g3379.t1, Pocillopora_meandrina_HIv1___TS.g9288.t1, Pocillopora_meandrina_HIv1___RNAseq.g25327.t1
OG0000041	Pocillopora_meandrina_HIv1.genes.pep	Peve_00037851, Peve_00022350, Peve_00030829, Peve_00044466, Peve_00039493, Peve_00039491, Peve_00039483, Peve_00039492, Peve_00037865, Peve_00037874, Peve_00039488, Peve_00037121, Peve_00037842, Peve_00037848, Peve_00002481, Peve_00037850, Peve_00039485, Peve_00037880, Peve_00037124, Peve_00019078, Peve_00039490, Peve_00039480, Peve_00037861, Peve_00037870, Peve_00037875, Peve_00019081, Peve_00037127, Peve_00037877, Peve_00037879, Peve_00024703, Peve_00008309, Peve_00007718, Peve_00037881, Peve_00037873, Peve_00037126, Peve_00022352, Peve_00039498, Peve_00026693, Peve_00039495, Peve_00026692, Peve_00037844, Peve_00026696, Peve_00002479, Peve_00030073, Peve_00037678, Peve_00034869	Pocillopora_meandrina_HIv1___TS.g25175.t1
OG0000042	Apulchra-genome.pep	Peve_00042810	FUN_039489-T1
OG0000042	Apulchra-genome.pep	Peve_00014060, Peve_00039409	FUN_042079-T1
OG0000043	Apulchra-genome.pep	Peve_00032816	FUN_011106-T1, FUN_018687-T1, FUN_040887-T1, FUN_037033-T1, FUN_020930-T1, FUN_011071-T1, FUN_039762-T1, FUN_036534-T1, FUN_026606-T1, FUN_036776-T1, FUN_015676-T1, FUN_019857-T1, FUN_019675-T1, FUN_001931-T1, FUN_019679-T1, FUN_002839-T1, FUN_018895-T1, FUN_007595-T1, FUN_040459-T1, FUN_024920-T1, FUN_019861-T1, FUN_015717-T1, FUN_040981-T1, FUN_040355-T1, FUN_006347-T1, FUN_011152-T1, FUN_039103-T1, FUN_011494-T1, FUN_009912-T1, FUN_002398-T1, FUN_015877-T1, FUN_015617-T1, FUN_015681-T1, FUN_005702-T1, FUN_037816-T1, FUN_030637-T1, FUN_006355-T1, FUN_027642-T1, FUN_027639-T1, FUN_039998-T1, FUN_027649-T1, FUN_009596-T1, FUN_027641-T1, FUN_019569-T1, FUN_013816-T1
OG0000045	Pocillopora_meandrina_HIv1.genes.pep	Peve_00037385, Peve_00042827, Peve_00043198, Peve_00015851, Peve_00024265, Peve_00016392, Peve_00016787, Peve_00025366, Peve_00023629, Peve_00042613, Peve_00019280, Peve_00028636, Peve_00020910, Peve_00039344, Peve_00008142, Peve_00030948, Peve_00041626, Peve_00035825, Peve_00021153, Peve_00012200, Peve_00004138, Peve_00004427, Peve_00007023, Peve_00030796, Peve_00009456, Peve_00027926, Peve_00027450	Pocillopora_meandrina_HIv1___TS.g5095.t1c
OG0000045	Pocillopora_meandrina_HIv1.genes.pep	Peve_00020882, Peve_00043458, Peve_00011943, Peve_00039441, Peve_00036220, Peve_00042446, Peve_00042957, Peve_00042207, Peve_00029830, Peve_00003095, Peve_00033011, Peve_00033014, Peve_00000306, Peve_00044253, Peve_00034653, Peve_00004999, Peve_00044800	Pocillopora_meandrina_HIv1___TS.g28748.t1
OG0000047	Apulchra-genome.pep	Peve_00031178, Peve_00016346, Peve_00031176, Peve_00016344, Peve_00028682	FUN_024298-T1, FUN_024294-T1, FUN_024318-T1, FUN_024283-T1, FUN_024266-T1, FUN_024229-T1, FUN_026907-T1, FUN_024256-T1, FUN_024302-T1, FUN_024311-T1, FUN_024275-T1, FUN_024263-T1, FUN_024291-T1, FUN_024326-T1, FUN_024253-T3, FUN_024253-T2, FUN_024253-T1, FUN_024305-T1, FUN_024259-T1, FUN_024231-T1, FUN_024309-T1, FUN_024273-T1, FUN_024241-T1, FUN_024271-T1, FUN_024307-T1, FUN_024236-T1, FUN_024293-T1, FUN_024262-T1, FUN_024238-T1, FUN_024269-T1, FUN_024225-T1, FUN_024228-T1, FUN_024292-T1, FUN_024240-T1, FUN_024235-T1, FUN_024261-T1, FUN_024304-T1, FUN_024258-T1
OG0000047	Pocillopora_meandrina_HIv1.genes.pep	Peve_00031178, Peve_00016346, Peve_00031176, Peve_00016344, Peve_00028682	Pocillopora_meandrina_HIv1___RNAseq.g18919.t1b
OG0000048	Apulchra-genome.pep	Peve_00042660, Peve_00003020, Peve_00040289, Peve_00041364, Peve_00018343, Peve_00028151, Peve_00008813, Peve_00010969, Peve_00028156, Peve_00010970, Peve_00001802, Peve_00022693, Peve_00040250, Peve_00036119, Peve_00031127, Peve_00017170, Peve_00029971, Peve_00008161, Peve_00023441, Peve_00019057, Peve_00045274, Peve_00023700, Peve_00011290, Peve_00020249, Peve_00028281, Peve_00043084, Peve_00029100, Peve_00031722, Peve_00029061, Peve_00041184, Peve_00045110, Peve_00027740, Peve_00023061, Peve_00010357, Peve_00000310, Peve_00043132, Peve_00000916, Peve_00028278, Peve_00029058	FUN_002140-T1, FUN_044743-T1, FUN_045370-T1, FUN_014083-T1
OG0000049	Apulchra-genome.pep	Peve_00034526, Peve_00034520	FUN_003890-T1
OG0000049	Apulchra-genome.pep	Peve_00030897, Peve_00005436, Peve_00031806, Peve_00005437, Peve_00013651, Peve_00013676, Peve_00015471, Peve_00018441, Peve_00013650, Peve_00013684, Peve_00013682, Peve_00005443, Peve_00005442, Peve_00031807, Peve_00028097, Peve_00013681, Peve_00005438, Peve_00013674, Peve_00013683, Peve_00013679, Peve_00005444, Peve_00005439, Peve_00028099, Peve_00005440, Peve_00028098, Peve_00005441, Peve_00028100	FUN_009417-T1, FUN_031228-T1, FUN_009400-T1, FUN_009397-T3, FUN_009397-T2
OG0000049	Pocillopora_meandrina_HIv1.genes.pep	Peve_00030897, Peve_00005436, Peve_00031806, Peve_00005437, Peve_00013651, Peve_00013676, Peve_00015471, Peve_00018441, Peve_00013650, Peve_00013684, Peve_00013682, Peve_00005443, Peve_00005442, Peve_00031807, Peve_00028097, Peve_00013681, Peve_00005438, Peve_00013674, Peve_00013683, Peve_00013679, Peve_00005444, Peve_00005439, Peve_00028099, Peve_00005440, Peve_00028098, Peve_00005441, Peve_00028100	Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a
OG0000049	Apulchra-genome.pep	Peve_00013545, Peve_00032405, Peve_00017756, Peve_00026525	FUN_009397-T1
OG0000051	Apulchra-genome.pep	Peve_00015352, Peve_00004880, Peve_00021451, Peve_00045252, Peve_00037971, Peve_00030318, Peve_00043355, Peve_00042503, Peve_00013561, Peve_00044415, Peve_00018277, Peve_00003736, Peve_00043765, Peve_00038221, Peve_00045349, Peve_00032455, Peve_00020866, Peve_00021350, Peve_00043766, Peve_00011537, Peve_00039425, Peve_00008678, Peve_00017793, Peve_00029655, Peve_00026765, Peve_00004050, Peve_00022062, Peve_00039390, Peve_00012639, Peve_00024941, Peve_00009324, Peve_00005532, Peve_00028938, Peve_00028226, Peve_00033294, Peve_00003351, Peve_00036909, Peve_00013756, Peve_00002293, Peve_00000198, Peve_00026053, Peve_00002233	FUN_029836-T1
OG0000054	Pocillopora_meandrina_HIv1.genes.pep	Peve_00017319, Peve_00042028, Peve_00042766, Peve_00038267, Peve_00027934, Peve_00036858, Peve_00017328, Peve_00013061, Peve_00024089, Peve_00013060, Peve_00017311, Peve_00036857, Peve_00017317, Peve_00017312, Peve_00002754, Peve_00035260, Peve_00017316, Peve_00017322, Peve_00017320, Peve_00017324, Peve_00017323, Peve_00042026, Peve_00025828, Peve_00042038, Peve_00042027, Peve_00042031, Peve_00024500, Peve_00028876, Peve_00024082, Peve_00024080, Peve_00024087, Peve_00024086, Peve_00017129, Peve_00017128, Peve_00024765, Peve_00024767, Peve_00017127, Peve_00013059, Peve_00024083, Peve_00013062	Pocillopora_meandrina_HIv1___RNAseq.g3228.t1, Pocillopora_meandrina_HIv1___RNAseq.g3234.t1
OG0000059	Apulchra-genome.pep	Peve_00013972, Peve_00043468, Peve_00023750	FUN_019875-T1, FUN_019362-T1, FUN_006031-T1, FUN_019620-T1, FUN_019347-T1, FUN_006021-T1, FUN_019693-T1, FUN_006298-T1, FUN_006290-T1, FUN_006315-T1, FUN_019739-T1, FUN_020968-T1, FUN_028773-T1, FUN_028538-T1, FUN_026439-T3, FUN_002935-T1, FUN_002878-T1, FUN_019367-T1, FUN_019354-T1, FUN_019371-T1, FUN_002838-T1, FUN_019768-T1, FUN_019831-T1, FUN_006027-T1, FUN_028735-T1, FUN_028599-T1, FUN_028532-T1, FUN_020992-T1, FUN_020615-T1, FUN_019315-T1, FUN_028705-T1, FUN_028567-T1, FUN_026436-T1, FUN_019650-T1, FUN_026430-T1, FUN_019381-T1, FUN_002889-T1, FUN_002889-T2
OG0000063	Apulchra-genome.pep	Peve_00042888, Peve_00035225, Peve_00035704, Peve_00016793, Peve_00016786, Peve_00039018, Peve_00010949, Peve_00028253, Peve_00025169, Peve_00035707, Peve_00035714, Peve_00017178, Peve_00035702, Peve_00010284, Peve_00026440, Peve_00010291, Peve_00010286, Peve_00013004, Peve_00010285, Peve_00026439, Peve_00029240, Peve_00026063, Peve_00017908, Peve_00008307, Peve_00042621, Peve_00038342, Peve_00038344, Peve_00042892, Peve_00017177, Peve_00029952, Peve_00035425, Peve_00006282, Peve_00015330, Peve_00034250, Peve_00025172, Peve_00035706, Peve_00035718, Peve_00035695, Peve_00039372	FUN_033107-T1
OG0000064	Pocillopora_meandrina_HIv1.genes.pep	Peve_00040264, Peve_00035586, Peve_00000299, Peve_00014962	Pocillopora_meandrina_HIv1___RNAseq.g6222.t1, Pocillopora_meandrina_HIv1___RNAseq.g12945.t1
OG0000064	Apulchra-genome.pep	Peve_00040264, Peve_00035586, Peve_00000299, Peve_00014962	FUN_045432-T1
OG0000064	Apulchra-genome.pep	Peve_00039318, Peve_00023879, Peve_00005546, Peve_00025238, Peve_00033176, Peve_00006354, Peve_00008258, Peve_00015673, Peve_00014919, Peve_00041846, Peve_00040894, Peve_00018659, Peve_00028057, Peve_00007748, Peve_00015707, Peve_00001836, Peve_00042540, Peve_00018511, Peve_00012167, Peve_00033000, Peve_00027911, Peve_00037273, Peve_00029552, Peve_00042547, Peve_00025561, Peve_00025529, Peve_00043647, Peve_00038236, Peve_00004093, Peve_00030659, Peve_00024519	FUN_044428-T1
OG0000064	Pocillopora_meandrina_HIv1.genes.pep	Peve_00039318, Peve_00023879, Peve_00005546, Peve_00025238, Peve_00033176, Peve_00006354, Peve_00008258, Peve_00015673, Peve_00014919, Peve_00041846, Peve_00040894, Peve_00018659, Peve_00028057, Peve_00007748, Peve_00015707, Peve_00001836, Peve_00042540, Peve_00018511, Peve_00012167, Peve_00033000, Peve_00027911, Peve_00037273, Peve_00029552, Peve_00042547, Peve_00025561, Peve_00025529, Peve_00043647, Peve_00038236, Peve_00004093, Peve_00030659, Peve_00024519	Pocillopora_meandrina_HIv1___TS.g23490.t1
