"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X.1","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"13","FUN_013145","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",4058,1151208,"Cluster_2859",0.632142392471795,0.252524380299076,0.998649612991003,156,-23.1,"2 22","929 952",21,"66.67%","76.19%"
"14","FUN_014822","GO:0005539","glycosaminoglycan binding",5,2,0.36,0.045,"Molecular Functions",3160,887063,"Cluster_3366",0.888310868864341,0.0440491206471639,0.96546924320845,170,-22.31,"2 23","30 53",21,"71.43%","80.95%"
"15","FUN_015032","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3407,970111,"Cluster_15316",0.0294843246850672,0.96246483173802,0.998649612991003,162,-20.37,"2 20","681 703",19,"73.68%","84.21%"
"16","FUN_016304","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3481,986711,"Cluster_4220",0.181228265155267,0.770522399968349,0.998649612991003,173,-21.09,"2 18","977 998",16,"87.50%","93.75%"
"17","FUN_016350","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3983,1133733,"Cluster_1862",0.366543049688481,0.543974745838731,0.998649612991003,162,-20.66,"2 21","534 556",19,"73.68%","84.21%"
"18","FUN_022873","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3310,937329,"Cluster_1862",0.900403409925386,0.0371623981684278,0.96546924320845,172,-21.74,"2 21","202 225",19,"68.42%","94.74%"
"19","FUN_023215","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",757,215126,"Cluster_1832",0.487130691167911,0.405252844398226,0.998649612991003,153,-20.47,"2 20","510 532",21,"71.43%","76.19%"
"20","FUN_032573","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",1237,353352,"Cluster_4254",0.00810320550174973,0.989682791226394,0.998929520526841,165,-20.76,"2 19","693 716",19,"78.95%","84.21%"
"21","FUN_032653","GO:0005539","glycosaminoglycan binding",5,2,0.36,0.045,"Molecular Functions",4638,1307092,"Cluster_3250",0.947230938750294,0.0144356099915736,0.79284365320448,154,-21.61,"2 17","838 858",15,"80.00%","86.67%"
"22","FUN_032988","GO:0005539","glycosaminoglycan binding",5,2,0.36,0.045,"Molecular Functions",1006,287208,"Cluster_4254",0.141080926687775,0.820967863787205,0.998649612991003,156,-21.24,"2 21","824 843",19,"73.68%","84.21%"
"23","FUN_033933","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",1276,363960,"Cluster_4254",0.0778059596305987,0.901034419717278,0.998649612991003,159,-22.13,"2 21","395 417",20,"65.00%","85.00%"
"24","FUN_034314","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",1546,445835,"Cluster_15340",0.507957121753828,0.382251673805456,0.998649612991003,142,-20.53,"2 21","582 602",19,"52.63%","78.95%"
"25","FUN_034598","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",3914,1113526,"Cluster_18728",0.402893716954453,0.501257105040433,0.998649612991003,146,-20.91,"2 11","439 460",9,"88.89%","100.00%"
"26","FUN_037804","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",2480,705078,"Cluster_18723",0.438632966302458,0.459979898062071,0.998649612991003,169,-20.04,"2 20","595 618",20,"85.00%","85.00%"
"27","FUN_038041","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",2957,830196,"Cluster_1862",0.306006822246975,0.616549096776605,0.998649612991003,172,-24.12,"2 23","381 403",21,"76.19%","85.71%"
"28","FUN_038401","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",300,85592,"Cluster_15340",0.129381568709941,0.83572702718921,0.998649612991003,146,-20.99,"2 20","794 816",19,"63.16%","73.68%"
"29","FUN_040711","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",208,63596,"Cluster_15340",0.393472558108251,0.512260491910034,0.998649612991003,170,-23.59,"2 21","484 507",21,"80.95%","85.71%"
"30","FUN_041481","GO:0000978","RNA polymerase II cis-regulatory region sequence-sp...",101,13,7.32,0.028,"Molecular Functions",233,69063,"Cluster_17776",0.891068009656766,0.0424463563461438,0.96546924320845,142,-22.29,"2 17","675 695",15,"66.67%","80.00%"
