"lncRNA_id" "lncRNA_coord"
"85" "lncRNA_085" "ntLink_6:4940807-4943404"
"86" "lncRNA_086" "ntLink_6:4983266-4986098"
"87" "lncRNA_087" "ntLink_6:5056296-5057086"
"88" "lncRNA_088" "ntLink_6:5264579-5268941"
"89" "lncRNA_089" "ntLink_6:5512045-5516297"
"90" "lncRNA_090" "ntLink_6:5539145-5539663"
"91" "lncRNA_091" "ntLink_6:5544081-5548619"
"92" "lncRNA_092" "ntLink_6:5544118-5548619"
"93" "lncRNA_093" "ntLink_6:5946509-5949059"
"94" "lncRNA_094" "ntLink_6:6012591-6015271"
"95" "lncRNA_095" "ntLink_6:6082989-6085635"
"96" "lncRNA_096" "ntLink_6:6095080-6098561"
"97" "lncRNA_097" "ntLink_6:6118657-6120984"
"98" "lncRNA_098" "ntLink_6:6139204-6139693"
"99" "lncRNA_099" "ntLink_6:6259250-6276061"
"100" "lncRNA_100" "ntLink_6:6261771-6278023"
"101" "lncRNA_101" "ntLink_6:6296499-6324890"
"102" "lncRNA_102" "ntLink_6:6401129-6401909"
"103" "lncRNA_103" "ntLink_6:6405654-6415929"
"104" "lncRNA_104" "ntLink_6:6407319-6415929"
"105" "lncRNA_105" "ntLink_6:6976270-6985119"
"106" "lncRNA_106" "ntLink_6:7051258-7060082"
"107" "lncRNA_107" "ntLink_6:7084724-7086726"
"108" "lncRNA_108" "ntLink_6:7095666-7097165"
"109" "lncRNA_109" "ntLink_6:7121592-7126840"
"110" "lncRNA_110" "ntLink_6:7160481-7162069"
"111" "lncRNA_111" "ntLink_6:7183060-7184097"
"112" "lncRNA_112" "ntLink_6:7352372-7354751"
"113" "lncRNA_113" "ntLink_6:7404645-7406757"
"114" "lncRNA_114" "ntLink_6:7432118-7432653"
"115" "lncRNA_115" "ntLink_6:7465724-7467150"
"116" "lncRNA_116" "ntLink_6:7465724-7467150"
"117" "lncRNA_117" "ntLink_6:7490732-7509930"
"118" "lncRNA_118" "ntLink_6:7490784-7509930"
"119" "lncRNA_119" "ntLink_6:7491249-7493377"
"120" "lncRNA_120" "ntLink_6:7531737-7551215"
"121" "lncRNA_121" "ntLink_6:7534721-7551215"
"122" "lncRNA_122" "ntLink_6:7543813-7551215"
"123" "lncRNA_123" "ntLink_6:7543970-7551215"
"124" "lncRNA_124" "ntLink_6:7544216-7551215"
"125" "lncRNA_125" "ntLink_6:7548693-7551215"
"126" "lncRNA_126" "ntLink_6:7548693-7551215"
"127" "lncRNA_127" "ntLink_6:7982428-7985761"
"128" "lncRNA_128" "ntLink_6:7958933-7960033"
"129" "lncRNA_129" "ntLink_6:7985981-7989110"
"130" "lncRNA_130" "ntLink_6:7994841-7998012"
"131" "lncRNA_131" "ntLink_6:8000055-8009818"
"132" "lncRNA_132" "ntLink_6:8000055-8009818"
"133" "lncRNA_133" "ntLink_6:8000055-8009818"
"134" "lncRNA_134" "ntLink_6:8003503-8009818"
"135" "lncRNA_135" "ntLink_6:8094359-8095011"
"136" "lncRNA_136" "ntLink_6:8098091-8098434"
"137" "lncRNA_137" "ntLink_6:8500544-8501080"
"138" "lncRNA_138" "ntLink_6:8611530-8612434"
"139" "lncRNA_139" "ntLink_6:8849749-8907898"
"140" "lncRNA_140" "ntLink_6:8861091-8886766"
"141" "lncRNA_141" "ntLink_6:8926294-8927205"
"142" "lncRNA_142" "ntLink_6:8959738-8961696"
"143" "lncRNA_143" "ntLink_6:9216475-9218591"
"144" "lncRNA_144" "ntLink_6:9216490-9218591"
"145" "lncRNA_145" "ntLink_6:9484842-9488677"
"146" "lncRNA_146" "ntLink_6:9521333-9521586"
"147" "lncRNA_147" "ntLink_6:9559780-9563720"
"148" "lncRNA_148" "ntLink_6:9559786-9569239"
"149" "lncRNA_149" "ntLink_6:9559993-9569239"
"150" "lncRNA_150" "ntLink_6:9559993-9569239"
"151" "lncRNA_151" "ntLink_6:9559995-9569239"
"152" "lncRNA_152" "ntLink_6:9559995-9569239"
"153" "lncRNA_153" "ntLink_6:9560006-9563720"
"154" "lncRNA_154" "ntLink_6:9560006-9569239"
"155" "lncRNA_155" "ntLink_6:9839227-9841578"
"156" "lncRNA_156" "ntLink_6:9985185-9989293"
"157" "lncRNA_157" "ntLink_6:10039343-10049354"
"158" "lncRNA_158" "ntLink_6:10039366-10042229"
"159" "lncRNA_159" "ntLink_6:10064176-10064619"
"160" "lncRNA_160" "ntLink_6:10142568-10147427"
"161" "lncRNA_161" "ntLink_6:10142633-10147427"
"162" "lncRNA_162" "ntLink_6:10506805-10535691"
"163" "lncRNA_163" "ntLink_6:10651513-10652269"
"164" "lncRNA_164" "ntLink_6:10735655-10741359"
"165" "lncRNA_165" "ntLink_6:10735655-10741359"
"166" "lncRNA_166" "ntLink_6:10708836-10711352"
"167" "lncRNA_167" "ntLink_6:10780627-10782361"
"168" "lncRNA_168" "ntLink_6:10920284-10922529"
"169" "lncRNA_169" "ntLink_6:11233986-11234566"
"170" "lncRNA_170" "ntLink_6:11454911-11456928"
"171" "lncRNA_171" "ntLink_6:11631177-11633058"
"172" "lncRNA_172" "ntLink_6:11728563-11752725"
"173" "lncRNA_173" "ntLink_6:11895485-11896639"
"174" "lncRNA_174" "ntLink_6:11895485-11896639"
"175" "lncRNA_175" "ntLink_6:11895490-11896639"
"176" "lncRNA_176" "ntLink_6:11946427-11947900"
"177" "lncRNA_177" "ntLink_6:11988815-11990396"
"178" "lncRNA_178" "ntLink_6:12012397-12012819"
"179" "lncRNA_179" "ntLink_6:12032304-12032781"
"180" "lncRNA_180" "ntLink_6:12560496-12564333"
"181" "lncRNA_181" "ntLink_6:12560665-12564333"
"182" "lncRNA_182" "ntLink_6:12568699-12572957"
"183" "lncRNA_183" "ntLink_6:12568699-12572957"
"184" "lncRNA_184" "ntLink_6:12568699-12572957"
"185" "lncRNA_185" "ntLink_6:12568705-12572957"
"186" "lncRNA_186" "ntLink_6:12568705-12572957"
"187" "lncRNA_187" "ntLink_6:12654169-12654858"
"188" "lncRNA_188" "ntLink_6:12836178-12836488"
"189" "lncRNA_189" "ntLink_6:12848918-12855297"
"190" "lncRNA_190" "ntLink_6:12856883-12857939"
"191" "lncRNA_191" "ntLink_6:13210103-13212000"
"192" "lncRNA_192" "ntLink_6:13210123-13212000"
"193" "lncRNA_193" "ntLink_6:13210130-13212000"
"194" "lncRNA_194" "ntLink_6:13308022-13309106"
"195" "lncRNA_195" "ntLink_6:13449454-13449981"
"196" "lncRNA_196" "ntLink_6:13511068-13522621"
"197" "lncRNA_197" "ntLink_6:13511114-13522621"
"198" "lncRNA_198" "ntLink_6:13521108-13522621"
"199" "lncRNA_199" "ntLink_6:13645334-13645657"
"200" "lncRNA_200" "ntLink_6:13942265-13943741"
"201" "lncRNA_201" "ntLink_6:13982980-13983717"
"202" "lncRNA_202" "ntLink_6:14461665-14467392"
"203" "lncRNA_203" "ntLink_6:14558510-14559061"
"204" "lncRNA_204" "ntLink_6:14691603-14692099"
"205" "lncRNA_205" "ntLink_6:14818647-14848482"
"206" "lncRNA_206" "ntLink_6:14841265-14855165"
"207" "lncRNA_207" "ntLink_6:14885581-14890572"
"208" "lncRNA_208" "ntLink_6:14885581-14890669"
"209" "lncRNA_209" "ntLink_6:14988334-14992963"
"210" "lncRNA_210" "ntLink_6:15045133-15050576"
"211" "lncRNA_211" "ntLink_6:15536308-15557096"
"212" "lncRNA_212" "ntLink_6:15909523-15914301"
"213" "lncRNA_213" "ntLink_6:15952503-15957830"
"214" "lncRNA_214" "ntLink_6:16207399-16208948"
"215" "lncRNA_215" "ntLink_6:16220687-16225331"
"216" "lncRNA_216" "ntLink_6:16220741-16223795"
"217" "lncRNA_217" "ntLink_6:16532707-16533430"
"218" "lncRNA_218" "ntLink_6:16811288-16813623"
"219" "lncRNA_219" "ntLink_6:17127323-17131818"
"220" "lncRNA_220" "ntLink_6:17680047-17682401"
"221" "lncRNA_221" "ntLink_6:17729691-17730076"
"222" "lncRNA_222" "ntLink_6:17848439-17850943"
"223" "lncRNA_223" "ntLink_6:17857966-17864025"
"224" "lncRNA_224" "ntLink_6:17884072-17884474"
"225" "lncRNA_225" "ntLink_6:17938316-17939000"
"226" "lncRNA_226" "ntLink_6:17938622-17939000"
"227" "lncRNA_227" "ntLink_6:18053353-18054963"
"228" "lncRNA_228" "ntLink_6:18058699-18059448"
"229" "lncRNA_229" "ntLink_6:18092269-18094787"
"230" "lncRNA_230" "ntLink_6:18138864-18140836"
"231" "lncRNA_231" "ntLink_6:18408209-18420020"
"232" "lncRNA_232" "ntLink_6:18419169-18420020"
"233" "lncRNA_233" "ntLink_6:18459329-18464663"
"234" "lncRNA_234" "ntLink_6:18459329-18464663"
"235" "lncRNA_235" "ntLink_6:18459349-18464663"
"236" "lncRNA_236" "ntLink_6:18643775-18645905"
"237" "lncRNA_237" "ntLink_6:18724499-18726687"
"238" "lncRNA_238" "ntLink_6:18759406-18760214"
"239" "lncRNA_239" "ntLink_6:18945949-18949634"
"240" "lncRNA_240" "ntLink_6:19118252-19118572"
"241" "lncRNA_241" "ntLink_6:19358305-19358728"
"242" "lncRNA_242" "ntLink_6:19600275-19601778"
"243" "lncRNA_243" "ntLink_6:19855316-19857585"
"244" "lncRNA_244" "ntLink_6:20075418-20077151"
"245" "lncRNA_245" "ntLink_6:20075418-20078167"
"246" "lncRNA_246" "ntLink_6:20075434-20078167"
"247" "lncRNA_247" "ntLink_6:20227810-20228721"
"248" "lncRNA_248" "ntLink_6:20263021-20263665"
"249" "lncRNA_249" "ntLink_6:20264618-20271250"
"250" "lncRNA_250" "ntLink_6:20264721-20267793"
"251" "lncRNA_251" "ntLink_6:20265432-20267793"
"252" "lncRNA_252" "ntLink_6:20500806-20501934"
"253" "lncRNA_253" "ntLink_6:20549056-20570141"
"254" "lncRNA_254" "ntLink_6:20555624-20566870"
"255" "lncRNA_255" "ntLink_6:20626873-20690022"
"256" "lncRNA_256" "ntLink_6:20658329-20672920"
"257" "lncRNA_257" "ntLink_6:20680419-20688829"
"258" "lncRNA_258" "ntLink_6:20680419-20689281"
"259" "lncRNA_259" "ntLink_6:20681599-20687216"
"260" "lncRNA_260" "ntLink_6:20701503-20714070"
"261" "lncRNA_261" "ntLink_6:20724559-20726639"
"262" "lncRNA_262" "ntLink_6:20730930-20734063"
"263" "lncRNA_263" "ntLink_6:20752669-20791504"
"264" "lncRNA_264" "ntLink_6:20791766-20800365"
"265" "lncRNA_265" "ntLink_6:20832028-20849389"
"266" "lncRNA_266" "ntLink_6:20865850-20873900"
"267" "lncRNA_267" "ntLink_6:20884336-20890598"
"268" "lncRNA_268" "ntLink_6:21013309-21017463"
"269" "lncRNA_269" "ntLink_6:21019303-21021532"
"270" "lncRNA_270" "ntLink_6:21072770-21075917"
"271" "lncRNA_271" "ntLink_6:21083920-21092259"
"272" "lncRNA_272" "ntLink_6:21085054-21090619"
"273" "lncRNA_273" "ntLink_6:21099636-21118753"
"274" "lncRNA_274" "ntLink_6:21102366-21110038"
"275" "lncRNA_275" "ntLink_6:21104253-21105928"
"276" "lncRNA_276" "ntLink_6:21143450-21144570"
"277" "lncRNA_277" "ntLink_6:21162589-21162832"
"278" "lncRNA_278" "ntLink_6:21163683-21171004"
"279" "lncRNA_279" "ntLink_6:21169192-21171004"
"280" "lncRNA_280" "ntLink_6:21179380-21188290"
"281" "lncRNA_281" "ntLink_6:21181932-21188290"
"282" "lncRNA_282" "ntLink_6:21326356-21362590"
"283" "lncRNA_283" "ntLink_6:21470304-21475905"
"284" "lncRNA_284" "ntLink_6:21525145-21540749"
"285" "lncRNA_285" "ntLink_6:21551337-21551991"
"286" "lncRNA_286" "ntLink_6:21562140-21567248"
"287" "lncRNA_287" "ntLink_6:21576757-21591588"
"288" "lncRNA_288" "ntLink_6:21609914-21612972"
"289" "lncRNA_289" "ntLink_6:21614399-21619852"
"290" "lncRNA_290" "ntLink_6:21623803-21626100"
"291" "lncRNA_291" "ntLink_6:21770717-21781753"
"292" "lncRNA_292" "ntLink_6:21772977-21779943"
"293" "lncRNA_293" "ntLink_6:21777720-21781753"
"294" "lncRNA_294" "ntLink_6:21832901-21841283"
"295" "lncRNA_295" "ntLink_6:21832901-21841283"
"296" "lncRNA_296" "ntLink_6:21854442-21856515"
"297" "lncRNA_297" "ntLink_6:21936946-21940258"
"298" "lncRNA_298" "ntLink_6:21963853-21965704"
"299" "lncRNA_299" "ntLink_6:21993179-21993454"
"300" "lncRNA_300" "ntLink_6:22014449-22018312"
"301" "lncRNA_301" "ntLink_6:22299510-22299859"
"302" "lncRNA_302" "ntLink_6:22628431-22629525"
"303" "lncRNA_303" "ntLink_6:22687532-22691706"
"304" "lncRNA_304" "ntLink_6:22724961-22729379"
"305" "lncRNA_305" "ntLink_6:22724961-22729379"
"306" "lncRNA_306" "ntLink_6:22777125-22778219"
"307" "lncRNA_307" "ntLink_6:23050054-23050414"
"308" "lncRNA_308" "ntLink_6:62485-68696"
"309" "lncRNA_309" "ntLink_6:179026-180196"
"310" "lncRNA_310" "ntLink_6:211588-213346"
"311" "lncRNA_311" "ntLink_6:211767-213346"
"312" "lncRNA_312" "ntLink_6:387497-391446"
"313" "lncRNA_313" "ntLink_6:418708-421686"
"314" "lncRNA_314" "ntLink_6:419475-421686"
"315" "lncRNA_315" "ntLink_6:487117-505393"
"316" "lncRNA_316" "ntLink_6:487117-505393"
"317" "lncRNA_317" "ntLink_6:612733-616073"
"318" "lncRNA_318" "ntLink_6:714917-717069"
"319" "lncRNA_319" "ntLink_6:715046-717069"
"320" "lncRNA_320" "ntLink_6:715049-715446"
"321" "lncRNA_321" "ntLink_6:715049-715824"
"322" "lncRNA_322" "ntLink_6:795761-798261"
"323" "lncRNA_323" "ntLink_6:1014353-1022123"
"324" "lncRNA_324" "ntLink_6:1014929-1022123"
"325" "lncRNA_325" "ntLink_6:1040329-1047453"
"326" "lncRNA_326" "ntLink_6:1052934-1055543"
"327" "lncRNA_327" "ntLink_6:1114082-1115667"
"328" "lncRNA_328" "ntLink_6:1169879-1171714"
"329" "lncRNA_329" "ntLink_6:1200627-1202658"
"330" "lncRNA_330" "ntLink_6:1313207-1314730"
"331" "lncRNA_331" "ntLink_6:1824170-1825059"
"332" "lncRNA_332" "ntLink_6:1997637-1999817"
"333" "lncRNA_333" "ntLink_6:2206414-2213936"
"334" "lncRNA_334" "ntLink_6:2206427-2213936"
"335" "lncRNA_335" "ntLink_6:2206469-2213936"
"336" "lncRNA_336" "ntLink_6:2234263-2235786"
"337" "lncRNA_337" "ntLink_6:2412720-2417035"
"338" "lncRNA_338" "ntLink_6:2550018-2554402"
"339" "lncRNA_339" "ntLink_6:2570682-2572329"
"340" "lncRNA_340" "ntLink_6:2636501-2637976"
"341" "lncRNA_341" "ntLink_6:3130448-3134779"
"342" "lncRNA_342" "ntLink_6:3187678-3189158"
"343" "lncRNA_343" "ntLink_6:3186640-3187273"
"344" "lncRNA_344" "ntLink_6:3196080-3196545"
"345" "lncRNA_345" "ntLink_6:3441750-3442132"
"346" "lncRNA_346" "ntLink_6:3521297-3521650"
"347" "lncRNA_347" "ntLink_6:3659589-3660666"
"348" "lncRNA_348" "ntLink_6:3659275-3659487"
"349" "lncRNA_349" "ntLink_6:3746840-3753060"
"350" "lncRNA_350" "ntLink_6:3881128-3886225"
"351" "lncRNA_351" "ntLink_6:3943588-3950386"
"352" "lncRNA_352" "ntLink_6:3943588-3950386"
"353" "lncRNA_353" "ntLink_6:3959490-3963322"
"354" "lncRNA_354" "ntLink_6:3961352-3968968"
"355" "lncRNA_355" "ntLink_6:4123995-4124867"
"356" "lncRNA_356" "ntLink_6:4125056-4128349"
"357" "lncRNA_357" "ntLink_6:4125285-4128349"
"358" "lncRNA_358" "ntLink_6:4125285-4128349"
"359" "lncRNA_359" "ntLink_6:4185207-4188304"
"360" "lncRNA_360" "ntLink_6:4319726-4322638"
"361" "lncRNA_361" "ntLink_6:4436800-4446793"
"362" "lncRNA_362" "ntLink_6:4439936-4441749"
"363" "lncRNA_363" "ntLink_6:4449182-4452297"
"364" "lncRNA_364" "ntLink_6:4770940-4772948"
"365" "lncRNA_365" "ntLink_6:4770990-4772948"
"366" "lncRNA_366" "ntLink_6:4819435-4828281"
"367" "lncRNA_367" "ntLink_6:5173472-5195767"
"368" "lncRNA_368" "ntLink_6:5179006-5195767"
"369" "lncRNA_369" "ntLink_6:5192312-5195767"
"370" "lncRNA_370" "ntLink_6:5215387-5216698"
"371" "lncRNA_371" "ntLink_6:5215563-5216698"
"372" "lncRNA_372" "ntLink_6:5215563-5216698"
"373" "lncRNA_373" "ntLink_6:5237764-5241013"
"374" "lncRNA_374" "ntLink_6:5512073-5516194"
"375" "lncRNA_375" "ntLink_6:5540756-5543995"
"376" "lncRNA_376" "ntLink_6:5544099-5548623"
"377" "lncRNA_377" "ntLink_6:5544117-5546695"
"378" "lncRNA_378" "ntLink_6:5547594-5548623"
"379" "lncRNA_379" "ntLink_6:5625222-5625803"
"380" "lncRNA_380" "ntLink_6:5821531-5821846"
"381" "lncRNA_381" "ntLink_6:5871096-5872621"
"382" "lncRNA_382" "ntLink_6:5983949-5986895"
"383" "lncRNA_383" "ntLink_6:5983962-5986895"
"384" "lncRNA_384" "ntLink_6:6070006-6070857"
"385" "lncRNA_385" "ntLink_6:6085209-6086396"
"386" "lncRNA_386" "ntLink_6:6355668-6356624"
"387" "lncRNA_387" "ntLink_6:6367949-6369046"
"388" "lncRNA_388" "ntLink_6:6373514-6381752"
"389" "lncRNA_389" "ntLink_6:6374748-6381808"
"390" "lncRNA_390" "ntLink_6:6406960-6414629"
"391" "lncRNA_391" "ntLink_6:6552998-6554514"
"392" "lncRNA_392" "ntLink_6:6557115-6558709"
"393" "lncRNA_393" "ntLink_6:6571010-6572963"
"394" "lncRNA_394" "ntLink_6:6760381-6764204"
"395" "lncRNA_395" "ntLink_6:6784798-6789504"
"396" "lncRNA_396" "ntLink_6:6853031-6856852"
"397" "lncRNA_397" "ntLink_6:6868781-6869996"
"398" "lncRNA_398" "ntLink_6:7064149-7066946"
"399" "lncRNA_399" "ntLink_6:7064149-7066946"
"400" "lncRNA_400" "ntLink_6:7064172-7066946"
"401" "lncRNA_401" "ntLink_6:7067777-7068762"
"402" "lncRNA_402" "ntLink_6:7139992-7140474"
"403" "lncRNA_403" "ntLink_6:7295831-7303960"
"404" "lncRNA_404" "ntLink_6:7377424-7385976"
"405" "lncRNA_405" "ntLink_6:7445853-7450813"
"406" "lncRNA_406" "ntLink_6:7443119-7444395"
"407" "lncRNA_407" "ntLink_6:7455864-7460137"
"408" "lncRNA_408" "ntLink_6:7534533-7542035"
"409" "lncRNA_409" "ntLink_6:7534771-7538869"
"410" "lncRNA_410" "ntLink_6:7535048-7546880"
"411" "lncRNA_411" "ntLink_6:7583790-7585685"
"412" "lncRNA_412" "ntLink_6:7958523-7958987"
"413" "lncRNA_413" "ntLink_6:7983631-7986000"
"414" "lncRNA_414" "ntLink_6:7984591-7985882"
"415" "lncRNA_415" "ntLink_6:8245017-8245411"
"416" "lncRNA_416" "ntLink_6:8374435-8378990"
"417" "lncRNA_417" "ntLink_6:8374669-8378990"
"418" "lncRNA_418" "ntLink_6:8408139-8408548"
"419" "lncRNA_419" "ntLink_6:8460309-8460999"
"420" "lncRNA_420" "ntLink_6:8460412-8460999"
"421" "lncRNA_421" "ntLink_6:8526979-8528160"
"422" "lncRNA_422" "ntLink_6:8729525-8735888"
"423" "lncRNA_423" "ntLink_6:8841634-8842326"
"424" "lncRNA_424" "ntLink_6:8890049-8891695"
"425" "lncRNA_425" "ntLink_6:9058989-9061014"
"426" "lncRNA_426" "ntLink_6:9109356-9111108"
"427" "lncRNA_427" "ntLink_6:9109443-9111108"
"428" "lncRNA_428" "ntLink_6:9250081-9255801"
"429" "lncRNA_429" "ntLink_6:9560025-9565104"
"430" "lncRNA_430" "ntLink_6:9634516-9634777"
"431" "lncRNA_431" "ntLink_6:9690135-9691942"
"432" "lncRNA_432" "ntLink_6:10132147-10133422"
"433" "lncRNA_433" "ntLink_6:10166565-10167095"
"434" "lncRNA_434" "ntLink_6:10329075-10344947"
"435" "lncRNA_435" "ntLink_6:10571042-10572769"
"436" "lncRNA_436" "ntLink_6:10591728-10593885"
"437" "lncRNA_437" "ntLink_6:10649909-10655824"
"438" "lncRNA_438" "ntLink_6:10886996-10899520"
"439" "lncRNA_439" "ntLink_6:10953329-10956664"
"440" "lncRNA_440" "ntLink_6:11308808-11309278"
"441" "lncRNA_441" "ntLink_6:11472978-11478391"
"442" "lncRNA_442" "ntLink_6:11546401-11548361"
"443" "lncRNA_443" "ntLink_6:11547169-11548361"
"444" "lncRNA_444" "ntLink_6:11578667-11579913"
"445" "lncRNA_445" "ntLink_6:11927332-11929812"
"446" "lncRNA_446" "ntLink_6:11952391-11954501"
"447" "lncRNA_447" "ntLink_6:11966293-11966616"
"448" "lncRNA_448" "ntLink_6:12028871-12031657"
"449" "lncRNA_449" "ntLink_6:12062593-12065075"
"450" "lncRNA_450" "ntLink_6:12062687-12064263"
"451" "lncRNA_451" "ntLink_6:12211653-12213889"
"452" "lncRNA_452" "ntLink_6:12636093-12638506"
"453" "lncRNA_453" "ntLink_6:12704172-12705614"
"454" "lncRNA_454" "ntLink_6:12868460-12871518"
"455" "lncRNA_455" "ntLink_6:12871924-12872967"
"456" "lncRNA_456" "ntLink_6:12880628-12881212"
"457" "lncRNA_457" "ntLink_6:13712182-13713100"
"458" "lncRNA_458" "ntLink_6:13783562-13784715"
"459" "lncRNA_459" "ntLink_6:13814395-13827232"
"460" "lncRNA_460" "ntLink_6:13990679-13993005"
"461" "lncRNA_461" "ntLink_6:13990720-13993778"
"462" "lncRNA_462" "ntLink_6:14615731-14618534"
"463" "lncRNA_463" "ntLink_6:14818413-14849053"
"464" "lncRNA_464" "ntLink_6:14885367-14886473"
"465" "lncRNA_465" "ntLink_6:15115394-15116083"
"466" "lncRNA_466" "ntLink_6:15257144-15272932"
"467" "lncRNA_467" "ntLink_6:15257886-15272932"
"468" "lncRNA_468" "ntLink_6:15257886-15272932"
"469" "lncRNA_469" "ntLink_6:15306521-15306855"
"470" "lncRNA_470" "ntLink_6:15577565-15578258"
"471" "lncRNA_471" "ntLink_6:15720776-15721238"
"472" "lncRNA_472" "ntLink_6:15726132-15727010"
"473" "lncRNA_473" "ntLink_6:15933420-15934003"
"474" "lncRNA_474" "ntLink_6:15940615-15941014"
"475" "lncRNA_475" "ntLink_6:16149179-16157537"
"476" "lncRNA_476" "ntLink_6:16155889-16157537"
"477" "lncRNA_477" "ntLink_6:16218608-16219845"
"478" "lncRNA_478" "ntLink_6:16224133-16227555"
"479" "lncRNA_479" "ntLink_6:16635637-16636402"
"480" "lncRNA_480" "ntLink_6:16831335-16839676"
"481" "lncRNA_481" "ntLink_6:16837452-16839676"
"482" "lncRNA_482" "ntLink_6:16812789-16814012"
"483" "lncRNA_483" "ntLink_6:16894248-16898752"
"484" "lncRNA_484" "ntLink_6:16944272-16952070"
"485" "lncRNA_485" "ntLink_6:16969397-16971821"
