"qseqid" "sseqid" "pident" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore"
"12" "transcript::Porites_evermani_scaffold_1732:72129-79966" "Cluster_11997::Porites_evermani_scaffold_1732:76482-76574(+)" 100 93 0 0 4353 4445 1 93 3.55e-44 168
"13" "transcript::Porites_evermani_scaffold_26:377983-392680" "Cluster_796::Porites_evermani_scaffold_26:382550-382645(-)" 100 96 0 0 4567 4662 96 1 1.55e-45 174
"14" "transcript::Porites_evermani_scaffold_26:378057-392680" "Cluster_796::Porites_evermani_scaffold_26:382550-382645(-)" 100 96 0 0 4493 4588 96 1 1.54e-45 174
"15" "transcript::Porites_evermani_scaffold_316:75149-91320" "Cluster_4629::Porites_evermani_scaffold_316:88415-88506(-)" 100 92 0 0 13266 13357 92 1 2.53e-43 167
"16" "transcript::Porites_evermani_scaffold_316:75149-91356" "Cluster_4629::Porites_evermani_scaffold_316:88415-88506(-)" 100 92 0 0 13266 13357 92 1 2.53e-43 167
"18" "transcript::Porites_evermani_scaffold_316:75223-97019" "Cluster_4629::Porites_evermani_scaffold_316:88415-88506(-)" 100 92 0 0 13192 13283 92 1 3.36e-43 167
"19" "transcript::Porites_evermani_scaffold_334:150792-156024" "Cluster_4735::Porites_evermani_scaffold_334:153554-153646(-)" 100 93 0 0 2762 2854 93 1 2.37e-44 168
"20" "transcript::Porites_evermani_scaffold_334:151379-156024" "Cluster_4735::Porites_evermani_scaffold_334:153554-153646(-)" 100 93 0 0 2175 2267 93 1 2.1e-44 168
"21" "transcript::Porites_evermani_scaffold_461:195334-219192" "Cluster_5882::Porites_evermani_scaffold_461:215454-215549(+)" 100 96 0 0 20120 20215 1 96 2.48e-45 174
"22" "transcript::Porites_evermani_scaffold_461:195351-223079" "Cluster_5882::Porites_evermani_scaffold_461:215454-215549(+)" 100 96 0 0 20103 20198 1 96 2.88e-45 174
"23" "transcript::Porites_evermani_scaffold_461:210393-223079" "Cluster_5882::Porites_evermani_scaffold_461:215454-215549(+)" 100 96 0 0 5061 5156 1 96 1.34e-45 174
"24" "transcript::Porites_evermani_scaffold_47:472593-482329" "Cluster_1140::Porites_evermani_scaffold_47:475972-476066(-)" 100 95 0 0 3379 3473 95 1 3.58e-45 172
"25" "transcript::Porites_evermani_scaffold_49:147530-165944" "Cluster_1167::Porites_evermani_scaffold_49:151587-151681(-)" 100 95 0 0 4057 4151 95 1 6.77e-45 172
"26" "transcript::Porites_evermani_scaffold_613:139660-180006" "Cluster_7053::Porites_evermani_scaffold_613:156453-156546(+)" 100 94 0 0 16793 16886 1 94 5.11e-44 170
"28" "transcript::Porites_evermani_scaffold_613:139663-179070" "Cluster_7053::Porites_evermani_scaffold_613:156453-156546(+)" 100 94 0 0 16790 16883 1 94 4.99e-44 170
"29" "transcript::Porites_evermani_scaffold_613:139663-180006" "Cluster_7053::Porites_evermani_scaffold_613:156453-156546(+)" 100 94 0 0 16790 16883 1 94 5.11e-44 170
"30" "transcript::Porites_evermani_scaffold_613:139962-180006" "Cluster_7053::Porites_evermani_scaffold_613:156453-156546(+)" 100 94 0 0 16491 16584 1 94 5.07e-44 170
"31" "transcript::Porites_evermani_scaffold_866:21937-24095" "Cluster_8634::Porites_evermani_scaffold_866:22803-22895(-)" 100 93 0 0 866 958 93 1 9.85e-45 168
"32" "transcript::Porites_evermani_scaffold_910:95262-102133" "Cluster_8884::Porites_evermani_scaffold_910:99233-99322(+)" 100 90 0 0 3971 4060 1 90 1.32e-42 163
"33" "transcript::Porites_evermani_scaffold_910:95900-102133" "Cluster_8884::Porites_evermani_scaffold_910:99233-99322(+)" 100 90 0 0 3333 3422 1 90 1.2e-42 163
"34" "transcript::Porites_evermani_scaffold_910:108432-120843" "Cluster_8887::Porites_evermani_scaffold_910:118720-118809(+)" 100 90 0 0 10288 10377 1 90 2.36e-42 163
"35" "transcript::Porites_evermani_scaffold_910:129984-141109" "Cluster_8888::Porites_evermani_scaffold_910:139331-139420(+)" 100 90 0 0 9347 9436 1 90 2.12e-42 163
"36" "transcript::Porites_evermani_scaffold_910:134861-141109" "Cluster_8888::Porites_evermani_scaffold_910:139331-139420(+)" 100 90 0 0 4470 4559 1 90 1.2e-42 163
"37" "transcript::Porites_evermani_scaffold_942:121381-138291" "Cluster_8988::Porites_evermani_scaffold_942:133648-133739(+)" 100 92 0 0 12267 12358 1 92 2.64e-43 167
"38" "transcript::Porites_evermani_scaffold_984:51531-58363" "Cluster_9149::Porites_evermani_scaffold_984:51832-51924(-)" 100 93 0 0 301 393 93 1 3.1e-44 168
"39" "transcript::Porites_evermani_scaffold_984:51539-59053" "Cluster_9149::Porites_evermani_scaffold_984:51832-51924(-)" 100 93 0 0 293 385 93 1 3.4e-44 168
