,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
17,peve-mir-novel-40,Peve_00023739,3UTR,Peve_00023739;2 20;334 359,-22.98,22,72.73%,77.27%,0.999976082283725,0.999976082283725,1,0.004403072548434
18,peve-mir-novel-35,Peve_00020651,3UTR,Peve_00020651;2 21;742 771,-26.8,27,66.67%,70.37%,-0.998224476405987,0.998224476405987,-1,0.0379422100483605
19,peve-mir-100,Peve_00027965,3UTR,Peve_00027965;2 18;436 460,-23.67,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
20,peve-mir-novel-8,Peve_00002333,3UTR,Peve_00002333;2 21;460 487,-25.73,25,64.00%,76.00%,-0.99984182162055,0.99984182162055,-1,0.0113233363162533
21,peve-mir-novel-24,Peve_00032772,3UTR,Peve_00032772;2 14;548 569,-20.73,12,66.67%,83.33%,1,1,1,9.48637384723993e-09
22,peve-mir-novel-35,Peve_00027699,3UTR,Peve_00027699;2 21;27 48,-24.61,19,78.95%,78.95%,-0.99781061214271,0.99781061214271,-1,0.0421342959844262
23,peve-mir-100,Peve_00023767,3UTR,Peve_00023767;2 21;87 107,-20.46,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
24,peve-mir-novel-30,Peve_00030028,3UTR,Peve_00030028;2 20;224 247,-26.78,20,75.00%,90.00%,-0.999412779421733,0.999412779421733,-1,0.0218181040468405
25,peve-mir-novel-36,Peve_00015742,3UTR,Peve_00015742;2 21;849 868,-20.18,19,73.68%,78.95%,-0.998127395584257,0.998127395584257,-1,0.0389660099841794
26,peve-mir-novel-8,Peve_00017580,3UTR,Peve_00017580;2 20;777 798,-21.45,18,77.78%,83.33%,-0.999998957645573,0.999998957645573,-1,0.000919184867929113
27,peve-mir-novel-24,Peve_00037587,3UTR,Peve_00037587;2 9;365 386,-21.11,7,100.00%,100.00%,-0.997642761939907,0.997642761939907,-1,0.0437202051657
28,peve-mir-novel-39,Peve_00040680,3UTR,Peve_00040680;2 21;126 149,-24.52,21,80.95%,85.71%,0.999851452010528,0.999851452010528,1,0.0109732149417988
29,peve-mir-100,Peve_00043419,3UTR,Peve_00043419;2 20;290 312,-20.65,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389
30,peve-mir-2025,Peve_00024854,3UTR,Peve_00024854;2 21;853 876,-20.02,21,71.43%,80.95%,-0.999571546587002,0.999571546587002,-1,0.0186364175217764
31,peve-mir-novel-2,Peve_00035783,3UTR,Peve_00035783;2 21;547 571,-30.37,22,72.73%,77.27%,-0.997488611107799,0.997488611107799,-1,0.0451276831430894
32,peve-mir-novel-13,Peve_00018121,3UTR,Peve_00018121;2 19;46 68,-20.08,18,83.33%,83.33%,-0.998399871033844,0.998399871033844,-1,0.0360189079935825
33,peve-mir-novel-24,Peve_00006544,3UTR,Peve_00006544;2 10;1 16,-20.18,8,100.00%,100.00%,0.999971585054582,0.999971585054582,1,0.00479920788265011
34,peve-mir-novel-24,Peve_00022361,3UTR,Peve_00022361;2 13;11 32,-24.22,11,100.00%,100.00%,-0.999345600152943,0.999345600152943,-1,0.0230324640380137
35,peve-mir-novel-20,Peve_00013542,3UTR,Peve_00013542;2 19;214 238,-21.36,21,76.19%,76.19%,-0.998136715854457,0.998136715854457,-1,0.0388688885892676
36,peve-mir-novel-2,Peve_00034862,3UTR,Peve_00034862;2 12;279 300,-23.55,10,100.00%,100.00%,-0.996949252337422,0.996949252337422,-1,0.0497403384974724
37,peve-mir-100,Peve_00004995,3UTR,Peve_00004995;2 11;93 114,-20.57,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389
38,peve-mir-novel-7,Peve_00015748,3UTR,Peve_00015748;2 20;227 252,-22.68,22,68.18%,72.73%,-0.999044377811527,0.999044377811527,-1,0.0278338206502373
39,peve-mir-100,Peve_00041754,3UTR,Peve_00041754;2 11;782 803,-20.26,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389
40,peve-mir-novel-10,Peve_00014587,3UTR,Peve_00014587;2 21;545 566,-22.43,19,68.42%,78.95%,0.997938030915673,0.997938030915673,1,0.0408894104551382
41,peve-mir-novel-28,Peve_00042220,3UTR,Peve_00042220;2 21;131 158,-22.16,25,64.00%,72.00%,0.998758250045999,0.998758250045999,1,0.0317290557481559
42,peve-mir-100,Peve_00031993,3UTR,Peve_00031993;2 20;269 290,-22.03,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915
43,peve-mir-100,Peve_00024388,3UTR,Peve_00024388;2 12;579 600,-23.33,10,90.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389
44,peve-mir-novel-8,Peve_00031324,3UTR,Peve_00031324;2 20;9 30,-20.17,18,77.78%,88.89%,0.999992290678624,0.999992290678624,1,0.00249978970397961
45,peve-mir-novel-30,Peve_00035315,3UTR,Peve_00035315;2 21;718 740,-24.46,20,75.00%,80.00%,0.997089150362585,0.997089150362585,1,0.0485859177132707
46,peve-mir-novel-9,Peve_00043301,3UTR,Peve_00043301;2 19;351 374,-22.8,19,78.95%,89.47%,-0.999473741771815,0.999473741771815,-1,0.0206544492090428
47,peve-mir-novel-7,Peve_00030841,3UTR,Peve_00030841;2 13;341 362,-22.37,11,100.00%,100.00%,-0.997945022574284,0.997945022574284,-1,0.0408200045387614
48,peve-mir-2023,Peve_00006285,3UTR,Peve_00006285;2 20;107 128,-20.29,19,73.68%,78.95%,0.999973885825882,0.999973885825882,1,0.00460080910062486
49,peve-mir-novel-15,Peve_00011900,3UTR,Peve_00011900;2 18;850 871,-22.41,16,75.00%,81.25%,0.999023739066517,0.999023739066517,1,0.0281328295255526
50,peve-mir-novel-10,Peve_00021553,3UTR,Peve_00021553;2 20;95 120,-20.07,22,63.64%,72.73%,0.997938030915672,0.997938030915672,1,0.0408894104551393
51,peve-mir-novel-11,Peve_00013205,3UTR,Peve_00013205;2 21;196 221,-24.01,23,73.91%,73.91%,-0.999762368280092,0.999762368280092,-1,0.013878928135551
52,peve-mir-novel-42,Peve_00032724,3UTR,Peve_00032724;2 18;554 575,-21.23,16,87.50%,87.50%,0.999974190676381,0.999974190676381,1,0.00457387578916138
53,peve-mir-novel-27,Peve_00031409,3UTR,Peve_00031409;2 18;964 985,-20.62,16,75.00%,87.50%,0.999873400436456,0.999873400436456,1,0.0101301483856458
54,peve-mir-novel-16,Peve_00013596,3UTR,Peve_00013596;2 20;415 434,-20.38,18,72.22%,88.89%,0.999599711713374,0.999599711713374,1,0.0180134147972475
55,peve-mir-100,Peve_00043468,3UTR,Peve_00043468;2 21;742 764,-21.49,20,70.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915
56,peve-mir-novel-24,Peve_00008133,3UTR,Peve_00008133;2 20;190 209,-20.98,18,83.33%,83.33%,-0.999965637301935,0.999965637301935,-1,0.00527764279292991
57,peve-mir-novel-8,Peve_00001878,3UTR,Peve_00001878;2 20;37 57,-21.99,18,83.33%,88.89%,-0.997498841901557,0.997498841901557,-1,0.045035631247519
58,peve-mir-novel-24,Peve_00036519,3UTR,Peve_00036519;2 16;885 905,-20.73,14,71.43%,85.71%,-0.999042227116386,0.999042227116386,-1,0.0278651290317038
59,peve-mir-novel-35,Peve_00030612,3UTR,Peve_00030612;2 21;67 89,-23.05,20,70.00%,80.00%,1,1,1,1.34157585525081e-08
60,peve-mir-novel-28,Peve_00037399,3UTR,Peve_00037399;2 20;479 500,-22.4,18,83.33%,83.33%,0.998758250045998,0.998758250045998,1,0.0317290557481601
61,peve-mir-novel-40,Peve_00038107,3UTR,Peve_00038107;2 15;945 965,-20.08,13,84.62%,84.62%,-0.997755955103144,0.997755955103144,-1,0.042657179825614
62,peve-mir-novel-13,Peve_00034300,3UTR,Peve_00034300;2 17;412 433,-22.36,15,73.33%,93.33%,-0.999810125119312,0.999810125119312,-1,0.0124061134927224
63,peve-mir-novel-40,Peve_00019126,3UTR,Peve_00019126;2 21;237 260,-25.76,21,80.95%,90.48%,-0.997565388064538,0.997565388064538,-1,0.0444322335382886
64,peve-mir-novel-34,Peve_00006413,3UTR,Peve_00006413;2 21;758 783,-21.66,23,73.91%,78.26%,-0.999945819357893,0.999945819357893,-1,0.0066270333402645
65,peve-mir-100,Peve_00013947,3UTR,Peve_00013947;2 12;681 701,-21.45,10,90.00%,90.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389
66,peve-mir-novel-24,Peve_00043123,3UTR,Peve_00043123;2 21;803 824,-23.58,20,75.00%,80.00%,1,1,1,0
67,peve-mir-novel-15,Peve_00030693,3UTR,Peve_00030693;2 21;558 576,-20.73,19,73.68%,84.21%,0.999488224375111,0.999488224375111,1,0.0203682371525405
68,peve-mir-novel-41,Peve_00000601,3UTR,Peve_00000601;2 19;925 950,-21.15,21,66.67%,76.19%,0.997844556977271,0.997844556977271,1,0.0418062711782387
69,peve-mir-novel-10,Peve_00012638,3UTR,Peve_00012638;2 20;206 228,-20.05,19,73.68%,84.21%,0.997938030915672,0.997938030915672,1,0.0408894104551393
70,peve-mir-2025,Peve_00003000,3UTR,Peve_00003000;2 14;905 926,-21.13,12,91.67%,100.00%,-0.998266557633023,0.998266557633023,-1,0.0374897530420475
71,peve-mir-novel-40,Peve_00021216,3UTR,Peve_00021216;2 20;190 209,-20.4,18,72.22%,83.33%,0.999962448044095,0.999962448044095,1,0.00551712420276166
72,peve-mir-100,Peve_00015043,3UTR,Peve_00015043;2 21;395 419,-29.94,22,68.18%,72.73%,0.999909726776791,0.999909726776791,1,0.00855416971793915
73,peve-mir-novel-31,Peve_00002637,3UTR,Peve_00002637;2 21;948 969,-21.37,19,68.42%,89.47%,0.999511573163594,0.999511573163594,1,0.019898143482347
74,peve-mir-novel-3,Peve_00001935,3UTR,Peve_00001935;2 21;302 328,-24.54,24,70.83%,70.83%,0.998840928019511,0.998840928019511,1,0.030654361989868
75,peve-mir-novel-2,Peve_00044964,3UTR,Peve_00044964;2 17;733 754,-23.7,15,80.00%,86.67%,-0.999852293886836,0.999852293886836,-1,0.0109420753621189
76,peve-mir-novel-11,Peve_00036516,3UTR,Peve_00036516;2 16;301 322,-20.6,14,78.57%,85.71%,0.999722156026375,0.999722156026375,1,0.0150074072356261
77,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;146 170,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268
78,peve-mir-novel-10,Peve_00011858,3UTR,Peve_00011858;2 21;586 610,-22.01,22,77.27%,77.27%,-0.999998482798634,0.999998482798634,-1,0.00110896231522268
79,peve-mir-100,Peve_00029393,3UTR,Peve_00029393;2 20;154 174,-22.43,18,72.22%,72.22%,0.999909726776791,0.999909726776791,1,0.00855416971793389
80,peve-mir-novel-30,Peve_00019237,3UTR,Peve_00019237;2 21;142 163,-25.17,20,70.00%,85.00%,0.99895412821558,0.99895412821558,1,0.0291187147996283
81,peve-mir-novel-39,Peve_00039724,3UTR,Peve_00039724;2 19;175 197,-22.45,18,72.22%,88.89%,-0.999918519895221,0.999918519895221,-1,0.0081268802250093
82,peve-mir-novel-10,Peve_00022350,3UTR,Peve_00022350;2 21;166 187,-21.85,19,63.16%,84.21%,0.997938030915673,0.997938030915673,1,0.0408894104551382
83,peve-mir-novel-2,Peve_00001193,3UTR,Peve_00001193;2 20;676 698,-23.1,19,68.42%,78.95%,-0.99919278413099,0.99919278413099,-1,0.0255810981953082
84,peve-mir-novel-3,Peve_00012907,3UTR,Peve_00012907;2 21;643 664,-20.81,19,68.42%,73.68%,-0.999864535075281,0.999864535075281,-1,0.0104788458953449
85,peve-mir-novel-7,Peve_00037614,3UTR,Peve_00037614;2 21;495 517,-28.14,21,80.95%,85.71%,-0.997292545957876,0.997292545957876,-1,0.0468569161220451
86,peve-mir-novel-24,Peve_00018844,3UTR,Peve_00018844;2 17;795 813,-22.4,15,80.00%,80.00%,-0.998768459381639,0.998768459381639,-1,0.031598325746414
87,peve-mir-novel-10,Peve_00000256,3UTR,Peve_00000256;2 19;641 662,-20.58,17,70.59%,70.59%,0.997938030915672,0.997938030915672,1,0.0408894104551393
88,peve-mir-novel-35,Peve_00007613,3UTR,Peve_00007613;2 15;292 315,-20.89,15,86.67%,86.67%,0.999883443510219,0.999883443510219,1,0.00972002918842882
89,peve-mir-novel-31,Peve_00022342,3UTR,Peve_00022342;2 21;882 905,-21.16,22,68.18%,77.27%,0.999706721854346,0.999706721854346,1,0.0154186228806241
90,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00014436,3UTR,Peve_00014436;2 21;703 725,-27.12,20,75.00%,85.00%,-0.999185657644639,0.999185657644639,-1,0.0256937863850763
91,peve-mir-novel-3,Peve_00023049,3UTR,Peve_00023049;2 21;271 297,-21.71,24,62.50%,70.83%,0.9999733342158,0.9999733342158,1,0.00464914686852433
92,peve-mir-2023,Peve_00012607,3UTR,Peve_00012607;2 20;358 379,-23.44,19,78.95%,84.21%,0.997809832643678,0.997809832643678,1,0.0421417987017475
93,peve-mir-novel-39,Peve_00006347,3UTR,Peve_00006347;2 21;273 297,-22.73,22,72.73%,77.27%,0.997397732644906,0.997397732644906,1,0.0459372826693576
94,peve-mir-novel-30,Peve_00043325,3UTR,Peve_00043325;2 21;535 555,-20.57,19,63.16%,84.21%,0.999679946581222,0.999679946581222,1,0.0161071216942691
95,peve-mir-novel-24,Peve_00021224,3UTR,Peve_00021224;2 18;333 357,-21.08,19,68.42%,68.42%,1,1,1,0
96,peve-mir-novel-22,Peve_00025328,3UTR,Peve_00025328;2 20;922 939,-22.08,18,77.78%,83.33%,0.999964597582385,0.999964597582385,1,0.00535689165213977
97,peve-mir-novel-24,Peve_00026910,3UTR,Peve_00026910;2 19;663 685,-22,18,83.33%,83.33%,1,1,1,0
98,peve-mir-novel-10,Peve_00025489,3UTR,Peve_00025489;2 12;908 929,-20.34,10,80.00%,90.00%,0.997938030915672,0.997938030915672,1,0.0408894104551393
99,peve-mir-2025,Peve_00021676,3UTR,Peve_00021676;2 16;820 841,-25.85,14,85.71%,100.00%,0.999075146741859,0.999075146741859,1,0.0273819903750951
100,peve-mir-novel-24,Peve_00012722,3UTR,Peve_00012722;2 15;768 788,-25.13,13,84.62%,92.31%,1,1,1,0
101,peve-mir-novel-17a; peve-mir-novel-17b,Peve_00014491,3UTR,Peve_00014491;2 21;16 38,-22.5,20,75.00%,85.00%,-0.999687209109476,0.999687209109476,-1,0.0159233151265928
102,peve-mir-novel-38,Peve_00011733,3UTR,Peve_00011733;2 21;10 31,-20.57,20,80.00%,90.00%,0.99999477106698,0.99999477106698,1,0.00205874164373314
103,peve-mir-novel-24,Peve_00004871,3UTR,Peve_00004871;2 12;622 643,-21.53,10,80.00%,100.00%,1,1,1,0
104,peve-mir-novel-2,Peve_00028810,3UTR,Peve_00028810;2 12;405 426,-22.76,10,100.00%,100.00%,-0.999776252592975,0.999776252592975,-1,0.0134673523968407
105,peve-mir-novel-35,Peve_00014069,3UTR,Peve_00014069;2 20;861 888,-23.14,24,66.67%,70.83%,1,1,1,9.48637384723993e-09
106,peve-mir-novel-24,Peve_00002661,3UTR,Peve_00002661;2 18;337 356,-25.07,16,75.00%,87.50%,-0.998403640393818,0.998403640393818,-1,0.0359764475202205
107,peve-mir-novel-40,Peve_00013531,3UTR,Peve_00013531;2 21;596 617,-25.43,19,84.21%,84.21%,-0.999994747981342,0.999994747981342,-1,0.00206328129499564
108,peve-mir-novel-30,Peve_00000891,3UTR,Peve_00000891;2 21;699 718,-25.76,19,73.68%,84.21%,-0.999479069517375,0.999479069517375,-1,0.0205496231198021
109,peve-mir-2036,Peve_00029721,3UTR,Peve_00029721;2 21;925 945,-22.23,19,84.21%,89.47%,0.999970783906393,0.999970783906393,1,0.00486639381889994
110,peve-mir-novel-36,Peve_00032829,3UTR,Peve_00032829;2 21;284 304,-22.12,19,73.68%,84.21%,-0.999967287119389,0.999967287119389,-1,0.00514938897746555
111,peve-mir-novel-35,Peve_00043724,3UTR,Peve_00043724;2 20;949 973,-27.25,21,80.95%,80.95%,-0.998403640393818,0.998403640393818,-1,0.0359764475202192
112,peve-mir-2025,Peve_00025970,3UTR,Peve_00025970;2 20;596 618,-27.37,19,84.21%,94.74%,-0.999571546587002,0.999571546587002,-1,0.0186364175217764
113,peve-mir-novel-42,Peve_00025028,3UTR,Peve_00025028;2 21;741 762,-25.72,19,78.95%,89.47%,-0.9981690675047,0.9981690675047,-1,0.0385298725994388
114,peve-mir-100,Peve_00043521,3UTR,Peve_00043521;2 21;190 214,-23.91,22,63.64%,72.73%,0.999909606796706,0.999909606796706,1,0.00855985249202504
115,peve-mir-novel-24,Peve_00039320,3UTR,Peve_00039320;2 14;871 892,-25.57,12,75.00%,100.00%,-0.99707405830425,0.99707405830425,-1,0.048711769379337
116,peve-mir-novel-10,Peve_00000786,3UTR,Peve_00000786;2 21;469 493,-24.67,22,72.73%,81.82%,0.997938030915673,0.997938030915673,1,0.0408894104551371
117,peve-mir-novel-23,Peve_00040282,3UTR,Peve_00040282;2 21;329 354,-21.05,23,69.57%,82.61%,-0.999041633391172,0.999041633391172,-1,0.0278737658962114
118,peve-mir-novel-3,Peve_00033364,3UTR,Peve_00033364;2 10;259 280,-20.01,8,100.00%,100.00%,0.999260034938896,0.999260034938896,1,0.0244921839031936
119,peve-mir-novel-1,Peve_00022058,3UTR,Peve_00022058;2 19;370 391,-20.17,17,70.59%,88.24%,-0.997453781157211,0.997453781157211,-1,0.0454396710191659
120,peve-mir-novel-24,Peve_00024049,3UTR,Peve_00024049;2 21;603 624,-24.07,19,73.68%,84.21%,0.999779696086058,0.999779696086058,1,0.0133633148443657
121,peve-mir-novel-10,Peve_00007535,3UTR,Peve_00007535;2 21;431 453,-21.98,20,70.00%,80.00%,0.997938030915672,0.997938030915672,1,0.0408894104551393
122,peve-mir-novel-28,Peve_00044580,3UTR,Peve_00044580;2 20;74 94,-21.63,18,77.78%,83.33%,0.998038064060883,0.998038064060883,1,0.0398849050546989
123,peve-mir-novel-30,Peve_00044581,3UTR,Peve_00044581;2 20;878 900,-21.68,19,78.95%,78.95%,0.999774208746349,0.999774208746349,1,0.0135287244184117
124,peve-mir-novel-24,Peve_00021049,3UTR,Peve_00021049;2 19;468 489,-20.26,17,76.47%,82.35%,-0.999226469305183,0.999226469305183,-1,0.0250415897127703
125,peve-mir-novel-19,Peve_00036804,3UTR,Peve_00036804;2 18;575 596,-22.16,16,81.25%,87.50%,0.999713854690073,0.999713854690073,1,0.0152299610722912
126,peve-mir-100,Peve_00023227,3UTR,Peve_00023227;2 10;656 677,-20.39,8,100.00%,100.00%,0.999689275367834,0.999689275367834,1,0.0158706315126451
127,peve-mir-novel-39,Peve_00020556,3UTR,Peve_00020556;2 21;856 877,-25.54,19,73.68%,84.21%,0.997105325686941,0.997105325686941,1,0.0484506705316052
128,peve-mir-novel-40,Peve_00001444,3UTR,Peve_00001444;2 21;203 228,-21.78,23,69.57%,78.26%,0.999962776498024,0.999962776498024,1,0.00549294287464855
129,peve-mir-novel-10,Peve_00013823,3UTR,Peve_00013823;2 15;722 743,-20.35,13,84.62%,84.62%,-0.996949447613843,0.996949447613843,-1,0.0497387457379489
130,peve-mir-novel-9,Peve_00040371,3UTR,Peve_00040371;2 19;609 630,-23.07,17,70.59%,94.12%,-0.998463578089383,0.998463578089383,-1,0.0352944149574942
131,peve-mir-novel-24,Peve_00040370,3UTR,Peve_00040370;2 19;356 380,-25.16,20,75.00%,80.00%,1,1,1,0
132,peve-mir-novel-30,Peve_00041130,3UTR,Peve_00041130;2 19;497 518,-24.53,17,64.71%,94.12%,0.998868511449619,0.998868511449619,1,0.0302873419647936
133,peve-mir-novel-24,Peve_00000334,3UTR,Peve_00000334;2 21;482 502,-28.39,19,73.68%,84.21%,1,1,1,0
134,peve-mir-100,Peve_00008498,3UTR,Peve_00008498;2 21;811 830,-22.35,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915
135,peve-mir-novel-36,Peve_00029820,3UTR,Peve_00029820;2 21;158 178,-21.12,20,70.00%,80.00%,-0.998956013089957,0.998956013089957,-1,0.02909245946257
136,peve-mir-novel-11,Peve_00037304,3UTR,Peve_00037304;2 18;62 87,-24.43,20,70.00%,80.00%,0.99999940598563,0.99999940598563,1,0.000693894776259953
137,peve-mir-novel-6,Peve_00027617,3UTR,Peve_00027617;2 21;400 420,-20.21,19,73.68%,84.21%,-0.997171486654887,0.997171486654887,-1,0.0478935089731376
138,peve-mir-novel-3,Peve_00017540,3UTR,Peve_00017540;2 19;770 790,-25.69,17,76.47%,82.35%,0.997011731357393,0.997011731357393,1,0.0492281083654383
139,peve-mir-novel-40,Peve_00029618,3UTR,Peve_00029618;2 18;870 891,-23.34,16,93.75%,93.75%,-0.999816725191885,0.999816725191885,-1,0.0121885808006402
140,peve-mir-novel-27,Peve_00019763,3UTR,Peve_00019763;2 21;470 492,-20.53,20,75.00%,90.00%,0.998126576037554,0.998126576037554,1,0.0389745384665604
141,peve-mir-2023,Peve_00007832,3UTR,Peve_00007832;2 20;603 625,-25.93,20,80.00%,85.00%,-0.999985569263183,0.999985569263183,-1,0.00342010859677409
142,peve-mir-novel-30,Peve_00002105,3UTR,Peve_00002105;2 19;607 630,-20.4,19,68.42%,78.95%,0.999968584764073,0.999968584764073,1,0.00504622278903583
143,peve-mir-novel-3,Peve_00028990,3UTR,Peve_00028990;2 21;452 471,-26.57,19,78.95%,84.21%,0.999428282268221,0.999428282268221,1,0.0215281467469576
144,peve-mir-novel-18,Peve_00003561,3UTR,Peve_00003561;2 19;121 145,-20.1,20,80.00%,80.00%,0.998823748059417,0.998823748059417,1,0.0308807526265784
145,peve-mir-novel-11,Peve_00045236,3UTR,Peve_00045236;2 21;859 883,-20.89,22,77.27%,81.82%,-0.999310671556481,0.999310671556481,-1,0.023639221558204
146,peve-mir-100,Peve_00000213,3UTR,Peve_00000213;2 21;370 395,-21.79,23,60.87%,65.22%,0.999909726776791,0.999909726776791,1,0.00855416971793915
147,peve-mir-novel-3,Peve_00038927,3UTR,Peve_00038927;2 20;939 958,-21.21,18,83.33%,83.33%,0.999994129428633,0.999994129428633,1,0.00218140105711895
148,peve-mir-novel-20,Peve_00026145,3UTR,Peve_00026145;2 20;712 734,-20.56,20,65.00%,85.00%,0.997253647308052,0.997253647308052,1,0.047192471195222
149,peve-mir-novel-11,Peve_00042916,3UTR,Peve_00042916;2 18;311 332,-22.62,16,87.50%,93.75%,0.999824590062268,0.999824590062268,1,0.011924181187447
150,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00002033,3UTR,Peve_00002033;2 21;320 341,-24.82,19,68.42%,84.21%,-0.997924541017077,0.997924541017077,-1,0.0410229927440064
151,peve-mir-novel-28,Peve_00019364,3UTR,Peve_00019364;2 20;488 511,-21.28,20,75.00%,80.00%,0.998758250045998,0.998758250045998,1,0.0317290557481573
152,peve-mir-novel-24,Peve_00020364,3UTR,Peve_00020364;2 14;333 355,-20.73,13,76.92%,92.31%,1,1,1,0
153,peve-mir-100,Peve_00006941,3UTR,Peve_00006941;2 21;29 48,-20.61,19,63.16%,84.21%,0.999909726776791,0.999909726776791,1,0.00855416971793915
154,peve-mir-novel-30,Peve_00031444,3UTR,Peve_00031444;2 21;93 117,-25.38,22,63.64%,68.18%,0.999598010096097,0.999598010096097,1,0.0180516640819476
155,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00016785,3UTR,Peve_00016785;2 17;770 790,-24.85,15,86.67%,93.33%,-0.99999862897499,0.99999862897499,-1,0.0010541874922422
156,peve-mir-novel-28,Peve_00012516,3UTR,Peve_00012516;2 21;280 304,-21.64,22,63.64%,63.64%,0.998758250045999,0.998758250045999,1,0.0317290557481559
157,peve-mir-novel-40,Peve_00038025,3UTR,Peve_00038025;2 21;561 583,-20.06,21,76.19%,76.19%,0.999962448044095,0.999962448044095,1,0.00551712420276166
158,peve-mir-novel-23,Peve_00039177,3UTR,Peve_00039177;2 21;615 637,-22.68,21,66.67%,80.95%,-0.999730689576333,0.999730689576333,-1,0.0147751347211111
159,peve-mir-novel-8,Peve_00012704,3UTR,Peve_00012704;2 21;191 215,-21.02,22,68.18%,77.27%,0.997873729717017,0.997873729717017,1,0.0415222938742972
160,peve-mir-novel-40,Peve_00034569,3UTR,Peve_00034569;2 21;832 856,-22.75,22,63.64%,81.82%,0.999603958340296,0.999603958340296,1,0.0179176022280377
161,peve-mir-novel-35,Peve_00023336,3UTR,Peve_00023336;2 21;685 705,-21.55,20,80.00%,80.00%,-0.998934950217099,0.998934950217099,-1,0.0293845218273416
162,peve-mir-100,Peve_00028838,3UTR,Peve_00028838;2 20;439 461,-24.63,19,68.42%,73.68%,0.999909726776791,0.999909726776791,1,0.00855416971793915
