sample73	sample79	sample82
Cluster_85	40	11	15
Cluster_86	37	35	54
Cluster_87	0	1	222
Cluster_88	36	71	53
Cluster_89	2	64	1
Cluster_90	0	0	234
Cluster_91	0	0	69
Cluster_92	0	27	19
Cluster_93	16	23	8
Cluster_94	2	77	0
Cluster_95	1	1	51
Cluster_96	13	28	93
Cluster_97	188	28	83
Cluster_98	44	76	109
Cluster_99	32	21	69
Cluster_100	62	17	38
Cluster_101	48	29	77
Cluster_102	37	28	50
Cluster_103	204	86	273
Cluster_104	104	0	0
Cluster_105	6	14	31
Cluster_106	24	22	69
Cluster_107	17	194	137
Cluster_108	13	16	113
Cluster_109	1720	1666	2605
Cluster_110	205	67	44
Cluster_111	40	67	50
Cluster_112	8	23	15
Cluster_113	62	13	66
Cluster_114	60	52	25
Cluster_115	43	20	1
Cluster_116	82	12	12
Cluster_117	16	50	83
Cluster_118	50	54	71
Cluster_119	33	34	618
Cluster_120	2936	926	1779
Cluster_121	527	383	0
Cluster_122	37	17	0
Cluster_123	102	121	68
Cluster_124	38	127	71
Cluster_125	156	217	234
Cluster_126	739	323	1134
Cluster_127	63	33	492
Cluster_128	2698	12224	5348
Cluster_129	177	284	334
Cluster_130	35	52	1
Cluster_131	21	25	7
Cluster_132	487	101	2
Cluster_133	28	429	11
Cluster_134	60	1254	117
Cluster_135	55	40	63
Cluster_136	31	39	44
Cluster_137	62	29	8
Cluster_138	334	115	87
Cluster_139	66	310	70
Cluster_140	42	39	1
Cluster_141	686	511	81
Cluster_142	38	140	95
Cluster_143	48	43	49
Cluster_144	775	1444	541
Cluster_145	52	107	36
Cluster_146	9	141	6
Cluster_147	29	73	0
Cluster_148	54	107	1
Cluster_149	40	69	11
Cluster_150	270	288	191
Cluster_151	43	58	7
Cluster_152	193	306	86
Cluster_153	16	85	29
Cluster_154	138	252	8
Cluster_155	97	101	113
Cluster_156	572	301	1260
Cluster_157	305	235	436
Cluster_158	160	132	223
Cluster_159	100	62	65
Cluster_160	55	75	131
Cluster_161	85	66	135
Cluster_162	645	4	0
Cluster_163	138	14	0
Cluster_164	92	15	7
Cluster_165	2503	2338	30
Cluster_166	174	177	5
Cluster_167	79	54	0
Cluster_168	25	48	1
Cluster_169	187	229	0
Cluster_170	4751	4379	1928
Cluster_171	12	17	35
Cluster_172	110	88	112
Cluster_173	72	56	157
Cluster_174	60	55	160
Cluster_175	968	24	8
Cluster_176	52	35	30
Cluster_177	132	3	11
Cluster_178	74	21	35
Cluster_179	55	24	155
Cluster_180	135	116	87
Cluster_181	26	16	51
Cluster_182	38	27	66
Cluster_183	36	26	17
Cluster_184	147	264	110
Cluster_185	10	6	64
Cluster_186	18	42	49
Cluster_187	70	98	41
Cluster_188	22	50	5
Cluster_189	15	25	154
Cluster_190	87	103	1
Cluster_191	1638	955	2
Cluster_192	20	19	58
Cluster_193	31	459	76
Cluster_194	51	26	15
Cluster_195	17	39	22
Cluster_196	1334	2097	955
Cluster_197	85	96	59
Cluster_198	416	389	357
Cluster_199	649	1077	939
Cluster_200	31	53	0
Cluster_201	54	148	1
Cluster_202	3892	6278	789
Cluster_203	1420	677	15
Cluster_204	20	23	18
Cluster_205	46	4	43
Cluster_206	665	366	135
Cluster_207	10	51	17
Cluster_208	1	97	22
Cluster_209	5	13	47
Cluster_210	4644	2029	3686
Cluster_211	31	14	65
Cluster_212	19	10	29
Cluster_213	0	26	36
Cluster_214	188	69	69
Cluster_215	619	7	2
Cluster_216	275	11	0
Cluster_217	248	9	3
Cluster_218	94	7	0
Cluster_219	157	16	0
Cluster_220	87	0	0
Cluster_221	0	21	34
Cluster_222	53	9	3
Cluster_223	48	0	10
Cluster_224	136	28	46
Cluster_225	30	15	23
Cluster_226	48	8	5
Cluster_227	157	5	2
Cluster_228	28	17	15
Cluster_229	31	12	38
Cluster_230	13	10	36
Cluster_231	2	39	115
Cluster_232	4	46	86
Cluster_233	9	85	137
Cluster_234	5	265	11
Cluster_235	32	99	58
Cluster_236	130	10	1
Cluster_237	59	0	6
Cluster_238	0	7	58
Cluster_239	27	34	129
Cluster_240	2	104	1
Cluster_241	34	13	0
Cluster_242	215	76	32
Cluster_243	98	2	1017
Cluster_244	18	26	1
Cluster_245	66	2	0
Cluster_246	39	0	32
Cluster_247	31	31	17
Cluster_248	33	14	30
Cluster_249	12	87	20
Cluster_250	47	8	21
Cluster_251	33	19	27
Cluster_252	51	1905	934
Cluster_253	13	88	77
Cluster_254	17	92	72
Cluster_255	21	9	38
Cluster_256	119	0	5
Cluster_257	343	208	13
Cluster_258	0	17	32
Cluster_259	15	4	34
Cluster_260	24	29	14
Cluster_261	9	7	57
Cluster_262	426	275	2
Cluster_263	947	246	0
Cluster_264	11	7	22
Cluster_265	35	72	172
Cluster_266	8	12	54
Cluster_267	1	115	250
Cluster_268	218	113	515
Cluster_269	44	1	0
Cluster_270	16	1	102
Cluster_271	363	0	0
Cluster_272	36	10	18
Cluster_273	0	3	49
Cluster_274	175	67	2
Cluster_275	13	12	514
Cluster_276	280	343	446
Cluster_277	37	63	37
Cluster_278	34	61	81
Cluster_279	15	11	22
Cluster_280	19	45	39
Cluster_281	82	5	0
Cluster_282	3	47	17
Cluster_283	22	17	15
Cluster_284	619	77	1
Cluster_285	9	3	94
Cluster_286	109	13	519
Cluster_287	79	82	25
Cluster_288	62	12	9
Cluster_289	24	20	11
Cluster_290	57	72	246
Cluster_291	40	9	27
Cluster_292	11	19	28
Cluster_293	15	14	49
Cluster_294	45	0	1652
Cluster_295	0	835	0
Cluster_296	0	70	23
Cluster_297	24	15	1
Cluster_298	30	73	69
Cluster_299	24	39	35
Cluster_300	11	71	75
Cluster_301	44	1	1
Cluster_302	25	71	96
Cluster_303	7	1	87
Cluster_304	8	29	11
Cluster_305	22	11	20
Cluster_306	881	309	126
Cluster_307	0	0	137
Cluster_308	0	4	167
Cluster_309	12	3	43
Cluster_310	240	36	88
Cluster_311	322	66	211
Cluster_312	35	22	18
Cluster_313	1429	117	2499
Cluster_314	0	4	50
Cluster_315	1	2	178
Cluster_316	9	87	1
Cluster_317	3	20	20
Cluster_318	26	26	59
Cluster_319	7	3	35
Cluster_320	17	23	35
Cluster_321	80	38	42
Cluster_322	11	46	62
Cluster_323	7	68	45
Cluster_324	14	15	41
Cluster_325	10	0	50
Cluster_326	18	55	116
Cluster_327	40	22	14
Cluster_328	34	10	28
Cluster_329	54	172	80
Cluster_330	440	908	250
Cluster_331	89	313	371
Cluster_332	12	462	2
Cluster_333	46	118	29
Cluster_334	13	3	23
Cluster_335	16	36	41
Cluster_336	1	54	0
Cluster_337	56	7	19
Cluster_338	9	1	41
Cluster_339	1911	1479	2169
Cluster_340	372	401	577
Cluster_341	79	63	84
Cluster_342	56	0	0
Cluster_343	51	11	5
Cluster_344	47	162	386
Cluster_345	13	179	229
Cluster_346	52	106	127
Cluster_347	833	1729	2537
Cluster_348	191	22	61
Cluster_349	65	22	22
Cluster_350	0	1	83
Cluster_351	1	0	122
Cluster_352	191	55	889
Cluster_353	436	304	572
Cluster_354	2	26	29
Cluster_355	1	89	121
Cluster_356	14	24	20
Cluster_357	77	89	91
Cluster_358	41	52	38
Cluster_359	52	62	67
Cluster_360	66	43	145
Cluster_361	37	0	33
Cluster_362	0	24	26
Cluster_363	0	506	293
Cluster_364	71	0	1
Cluster_365	31	9	8
Cluster_366	70	3	3
Cluster_367	84	15	10
Cluster_368	3	0	48
Cluster_369	559	0	0
Cluster_370	381	251	843
Cluster_371	235	284	554
Cluster_372	91	149	323
Cluster_373	41	68	79
Cluster_374	84	3	2
Cluster_375	82	208	150
Cluster_376	86	175	167
Cluster_377	129	237	457
Cluster_378	287	373	662
Cluster_379	19	0	22
Cluster_380	254	252	966
Cluster_381	34	15	39
Cluster_382	31	15	37
Cluster_383	17	82	53
Cluster_384	3	26	16
Cluster_385	30	27	40
Cluster_386	6	6	66
Cluster_387	38	57	77
Cluster_388	11	30	16
Cluster_389	2	43	90
Cluster_390	43	6	0
Cluster_391	47	46	18
Cluster_392	78	105	41
Cluster_393	66	53	49
Cluster_394	30	11	28
Cluster_395	16	31	40
Cluster_396	26	41	56
Cluster_397	64	75	84
Cluster_398	160	253	312
Cluster_399	131	144	145
Cluster_400	15	30	73
Cluster_401	31	69	67
Cluster_402	59	94	99
Cluster_403	12	69	85
Cluster_404	950	1206	409
Cluster_405	47	84	141
Cluster_406	9	22	35
Cluster_407	18	7	30
Cluster_408	23	72	47
Cluster_409	552	372	459
Cluster_410	83	77	70
Cluster_411	91	70	33
Cluster_412	98	144	178
Cluster_413	46	42	37
Cluster_414	9	12	133
Cluster_415	10	30	59
Cluster_416	95	987	62
Cluster_417	35	222	23
Cluster_418	0	3	125
Cluster_419	11	161	208
Cluster_420	2	182	108
Cluster_421	832	232	752
Cluster_422	8	22	121
Cluster_423	161	124	433
Cluster_424	1609	1597	1941
Cluster_425	55	119	109
Cluster_426	117	524	293
Cluster_427	7173	1079	6418
Cluster_428	1094	502	1389
Cluster_429	0	79	2
Cluster_430	171	137	160
Cluster_431	21	21	15
Cluster_432	710	542	423
Cluster_433	18	25	15
Cluster_434	94	107	43
Cluster_435	13	18	104
Cluster_436	36	4	47
Cluster_437	75	69	110
Cluster_438	2946	1846	2936
Cluster_439	47	31	36
Cluster_440	140	137	235
Cluster_441	4	10	88
Cluster_442	404	88	521
Cluster_443	43	28	11
Cluster_444	79	370	44
Cluster_445	30	62	20
Cluster_446	33	25	11
Cluster_447	93	143	48
Cluster_448	138	171	10
Cluster_449	4853	6505	3712
Cluster_450	106	106	52
Cluster_451	63	38	29
Cluster_452	4	35	18
Cluster_453	161	118	143
Cluster_454	179	270	322
Cluster_455	59	111	135
Cluster_456	428	781	578
Cluster_457	225	104	106
Cluster_458	19	65	27
Cluster_459	18	77	32
Cluster_460	18	66	23
Cluster_461	40	60	77
Cluster_462	44	29	54
Cluster_463	64	58	97
Cluster_464	11	31	34
Cluster_465	16	21	52
Cluster_466	624	12	208
Cluster_467	200	172	223
Cluster_468	980	1231	1281
Cluster_469	536	579	757
Cluster_470	26	27	12
Cluster_471	13	43	38
Cluster_472	83	81	86
Cluster_473	23	45	40
Cluster_474	45	65	90
Cluster_475	11	18	28
Cluster_476	43	53	35
Cluster_477	19	61	54
Cluster_478	39	58	64
Cluster_479	22	30	23
Cluster_480	23	28	21
Cluster_481	80	1	11
Cluster_482	113	7	14
Cluster_483	98	33	11
Cluster_484	164	80	40
Cluster_485	15	16	47
Cluster_486	29	29	71
Cluster_487	25	58	43
Cluster_488	24	70	43
Cluster_489	52	17	40
Cluster_490	97	324	84
Cluster_491	1	3	905
Cluster_492	726	791	546
Cluster_493	261	682	214
Cluster_494	103	123	132
Cluster_495	30	31	41
Cluster_496	16	18	53
Cluster_497	52	32	80
Cluster_498	82	101	81
Cluster_499	2979	3632	4073
Cluster_500	22	28	203
Cluster_501	406	213	1252
Cluster_502	25	177	195
Cluster_503	644	1005	718
Cluster_504	425	29	0
Cluster_505	424	0	9
Cluster_506	43	34	18
Cluster_507	20	51	29
Cluster_508	44	74	168
Cluster_509	32	93	127
Cluster_510	127	133	237
Cluster_511	1238	1408	886
Cluster_512	49	2	52
Cluster_513	25	38	58
Cluster_514	30	48	74
Cluster_515	169	151	172
Cluster_516	636	236	498
Cluster_517	4	33	19
Cluster_518	30	55	47
Cluster_519	96	78	110
Cluster_520	106	127	228
Cluster_521	149	109	150
Cluster_522	556	740	748
Cluster_523	493	2	0
Cluster_524	44	0	1
Cluster_525	4	200	3
Cluster_526	2260	0	0
Cluster_527	0	70	1
Cluster_528	0	2	503
Cluster_529	13	94	115
Cluster_530	7	20	27
Cluster_531	27	25	46
Cluster_532	49	137	128
Cluster_533	21	1	17
Cluster_534	17548	2	0
Cluster_535	50	69	69
Cluster_536	18	201	1
Cluster_537	40	41	115
Cluster_538	286	1	4
Cluster_539	153	11	14
Cluster_540	135	1	5
Cluster_541	143	11	7
Cluster_542	127	0	7
Cluster_543	76	6	5
Cluster_544	42	22	21
Cluster_545	396	221	174
Cluster_546	9	30	32
Cluster_547	4	9	193
Cluster_548	45	22	79
Cluster_549	73	82	249
Cluster_550	12	31	28
Cluster_551	534	86	44
Cluster_552	14	0	33
Cluster_553	166	1	5
Cluster_554	79	2	3
Cluster_555	0	5	37
Cluster_556	143	8	148
Cluster_557	54	0	0
Cluster_558	36	10	644
Cluster_559	11	82	28
Cluster_560	184	0	100
Cluster_561	621	539	353
Cluster_562	8	19	92
Cluster_563	16	72	93
Cluster_564	8	99	1
Cluster_565	172	83	141
Cluster_566	23	4	17
Cluster_567	1	63	2
Cluster_568	104	113	195
Cluster_569	5	11	25
Cluster_570	32	1	23
Cluster_571	366	513	341
Cluster_572	17	37	54
Cluster_573	1	5	63
Cluster_574	9	30	23
Cluster_575	4	21	84
Cluster_576	15	7	17
Cluster_577	132	60	137
Cluster_578	9	53	2
Cluster_579	89	70	159
Cluster_580	21	16	26
Cluster_581	0	50	32
Cluster_582	50	57	109
Cluster_583	60	0	39
Cluster_584	7	3	289
Cluster_585	7	2	170
Cluster_586	21	0	232
Cluster_587	76	0	124
Cluster_588	196	16	0
Cluster_589	1885	1158	1017
Cluster_590	78	70	42
Cluster_591	34	10	6
Cluster_592	1	61	1
Cluster_593	9	1886	5
Cluster_594	2828	2744	798
Cluster_595	436	730	1328
Cluster_596	67	23	25
Cluster_597	34	17	31
Cluster_598	38	29	71
Cluster_599	7	114	35
Cluster_600	63	36	0
Cluster_601	66	98	72
Cluster_602	3	22	16
Cluster_603	7	6	31
Cluster_604	171	0	334
Cluster_605	180	759	582
Cluster_606	435	807	1053
Cluster_607	6	40	52
Cluster_608	6	32	49
Cluster_609	51	41	107
Cluster_610	15	11	38
Cluster_611	13	25	66
Cluster_612	6	14	53
Cluster_613	53	27	109
Cluster_614	7	18	33
Cluster_615	23	27	111
Cluster_616	14	19	26
Cluster_617	32	52	140
Cluster_618	10	37	83
Cluster_619	89	1004	132
Cluster_620	0	87	73
Cluster_621	1	1	48
Cluster_622	43	15	1
Cluster_623	5	0	79
Cluster_624	1943	1099	2
Cluster_625	109	4	0
Cluster_626	527	14	0
Cluster_627	1224	962	2
Cluster_628	116	73	0
Cluster_629	0	11	167
Cluster_630	900	5	1
Cluster_631	289	126	87
Cluster_632	20	36	16
Cluster_633	69	0	0
Cluster_634	1944	13	39
Cluster_635	2	0	283
Cluster_636	57	0	1
Cluster_637	2	45	17
Cluster_638	239	445	1272
Cluster_639	0	136	1
Cluster_640	667	936	905
Cluster_641	46	99	78
Cluster_642	10	57	78
Cluster_643	59	78	3
Cluster_644	252	303	690
Cluster_645	1961	675	1657
Cluster_646	127	145	5
Cluster_647	3093	3226	2153
Cluster_648	18	10	19
Cluster_649	27	11	1
Cluster_650	0	47	6
Cluster_651	60	4	95
Cluster_652	13	9	23
Cluster_653	17	22	0
Cluster_654	897	254	211
Cluster_655	19	10	27
Cluster_656	17	18	33
Cluster_657	25	13	32
Cluster_658	8	32	22
Cluster_659	25	30	74
Cluster_660	15	16	39
Cluster_661	1	101	3
Cluster_662	77	28	43
Cluster_663	423	29	0
Cluster_664	0	23	38
Cluster_665	33	4	7
Cluster_666	12	28	178
Cluster_667	16	74	33
Cluster_668	442	720	894
Cluster_669	1	2	126
Cluster_670	64	1	5
Cluster_671	221	0	131
Cluster_672	320	0	161
Cluster_673	24	9	9
Cluster_674	54	18	46
Cluster_675	76	14	16
Cluster_676	81	33	15
Cluster_677	61	18	13
Cluster_678	424	0	0
Cluster_679	39	14	21
Cluster_680	41	31	66
Cluster_681	123	21	26
Cluster_682	0	115	603
Cluster_683	0	2	64
Cluster_684	396	325	326
Cluster_685	90	33	36
Cluster_686	98	56	34
Cluster_687	10	18	24
Cluster_688	22	19	19
Cluster_689	201	286	167
Cluster_690	436	332	483
Cluster_691	13	65	7
Cluster_692	42	22	23
Cluster_693	1	40	67
Cluster_694	0	88	298
Cluster_695	1	16	94
Cluster_696	1	967	1285
Cluster_697	1075	1254	2500
Cluster_698	4	199	14
Cluster_699	98	23	175
Cluster_700	99	198	152
Cluster_701	904	671	758
Cluster_702	13	86	1
Cluster_703	20	8	35
Cluster_704	29	39	27
Cluster_705	37	36	34
Cluster_706	67	14	37
Cluster_707	0	0	93
Cluster_708	69	28	19
Cluster_709	43	37	36
Cluster_710	6	22	40
Cluster_711	24	9	69
Cluster_712	8	26	104
Cluster_713	109	100	280
Cluster_714	50	47	7
Cluster_715	1	56	0
Cluster_716	203	1	124
Cluster_717	31	11	16
Cluster_718	216	471	37
Cluster_719	46	12	191
Cluster_720	70	39	341
Cluster_721	158	3	176
Cluster_722	20	0	817
Cluster_723	0	359	564
Cluster_724	43	4	841
Cluster_725	63	14	114
Cluster_726	0	76	4
Cluster_727	2098	889	4326
Cluster_728	141	156	193
Cluster_729	2	2	497
Cluster_730	51	32	19
Cluster_731	0	491	31
Cluster_732	28	76	298
Cluster_733	1164	1533	4059
Cluster_734	150	97	2262
Cluster_735	1	0	118
Cluster_736	71	69	96
Cluster_737	20	21	27
Cluster_738	2	1	42
Cluster_739	381	2	3
Cluster_740	18	13	1844
Cluster_741	0	126	83
Cluster_742	50	0	73
Cluster_743	75	0	130
Cluster_744	25	0	90
Cluster_745	35	0	301
Cluster_746	151	1	48
Cluster_747	84	1	2
Cluster_748	216	5	120
Cluster_749	26	13	220
Cluster_750	10	629	0
Cluster_751	21	280	497
Cluster_752	89	0	0
Cluster_753	66	151	112
Cluster_754	24	10	27
Cluster_755	47	81	186
Cluster_756	227	325	364
Cluster_757	34	34	60
Cluster_758	85	0	90
Cluster_759	61	91	129
Cluster_760	54	63	79
Cluster_761	47	33	26
Cluster_762	223	314	387
Cluster_763	23	56	14
Cluster_764	39	35	24
Cluster_765	40	0	0
Cluster_766	37	31	165
Cluster_767	72	3026	2755
Cluster_768	61	0	3
Cluster_769	137	81	1
Cluster_770	102	12	38
Cluster_771	174	89	9
Cluster_772	4	22	21
Cluster_773	35	7	21
Cluster_774	1	17	40
Cluster_775	7	8	26
Cluster_776	380	309	111
Cluster_777	58	10	145
Cluster_778	63	41	60
Cluster_779	4271	2137	1930
Cluster_780	24	27	78
Cluster_781	47	40	53
Cluster_782	20	53	55
Cluster_783	22	69	44
Cluster_784	72	112	98
Cluster_785	89	174	195
Cluster_786	67	196	228
Cluster_787	34	19	6
Cluster_788	6	12	62
Cluster_789	191	198	188
Cluster_790	48	55	8
Cluster_791	198	304	73
Cluster_792	147	340	649
Cluster_793	37	44	101
Cluster_794	167	0	370
Cluster_795	93	26	156
Cluster_796	20505	23687	49156
Cluster_797	19	90	86
Cluster_798	2589	1831	910
Cluster_799	122	87	66
Cluster_800	106	44	53
Cluster_801	84	26	22
Cluster_802	95	25	21
Cluster_803	121	19	4
Cluster_804	5	23	57
Cluster_805	1	11	44
Cluster_806	8	55	50
Cluster_807	18	14	25
Cluster_808	38	92	67
Cluster_809	18	77	211
Cluster_810	167	174	20
Cluster_811	48	76	54
Cluster_812	13	12	64
Cluster_813	964	1050	881
Cluster_814	31	47	76
Cluster_815	102	165	124
Cluster_816	25	28	50
Cluster_817	143	161	375
Cluster_818	63	232	143
Cluster_819	24	190	142
Cluster_820	112	67	226
Cluster_821	0	0	251
Cluster_822	17	825	303
Cluster_823	0	316	61
Cluster_824	302	18	10
Cluster_825	11	59	6
Cluster_826	51	19	26
Cluster_827	0	45	22
Cluster_828	52	69	56
Cluster_829	54	10	0
Cluster_830	109	459	166
Cluster_831	0	90	22
Cluster_832	0	1	56
Cluster_833	891	0	129
Cluster_834	1	5	63
Cluster_835	150	69	201
Cluster_836	37	0	22
Cluster_837	316	64	197
Cluster_838	34	24	19
Cluster_839	1434	113	2481
Cluster_840	1685	2745	2536
Cluster_841	0	29	59
Cluster_842	0	67	1
Cluster_843	0	65	178
Cluster_844	0	0	584
Cluster_845	7	17	62
Cluster_846	0	6	111
Cluster_847	1	1	117
Cluster_848	45	126	190
Cluster_849	246	301	331
Cluster_850	3152	3337	3989
Cluster_851	128	62	172
Cluster_852	25	18	100
Cluster_853	18	22	83
Cluster_854	6	18	50
Cluster_855	2699	1865	2153
Cluster_856	295	204	350
Cluster_857	15	14	10
Cluster_858	10	0	115
Cluster_859	8	0	45
Cluster_860	21	21	43
Cluster_861	37	34	54
Cluster_862	0	2	220
Cluster_863	114	274	222
Cluster_864	0	23	53
Cluster_865	43	18	35
Cluster_866	210	0	7
Cluster_867	86	65	63
Cluster_868	62	3	21
Cluster_869	133	1	0
Cluster_870	0	0	51
Cluster_871	30	22	47
Cluster_872	20	42	14
Cluster_873	20	77	1074
Cluster_874	15	42	119
Cluster_875	56	249	70
Cluster_876	6	57	0
Cluster_877	89	336	146
Cluster_878	1826	921	739
Cluster_879	64	96	39
Cluster_880	387	36	0
Cluster_881	9	0	87
Cluster_882	3	3	52
Cluster_883	23	26	59
Cluster_884	130	138	237
Cluster_885	1247	1414	840
Cluster_886	24	25	26
Cluster_887	17	26	16
Cluster_888	133	1	1
Cluster_889	32	56	111
Cluster_890	37	36	48
Cluster_891	1345	703	1882
Cluster_892	36	35	52
Cluster_893	410	29	22
Cluster_894	20	17	33
Cluster_895	36	15	26
Cluster_896	11	12	36
Cluster_897	14	30	76
Cluster_898	100	72	135
Cluster_899	1011	590	576
Cluster_900	95	104	38
Cluster_901	28	49	28
Cluster_902	62	0	37
Cluster_903	265	0	38
Cluster_904	128	72	149
Cluster_905	829	469	720
Cluster_906	0	8	38
Cluster_907	84	8	174
Cluster_908	72	137	6
Cluster_909	2	709	3507
Cluster_910	21	12	16
Cluster_911	53	66	65
Cluster_912	2	67	53
Cluster_913	22	0	118
Cluster_914	18	27	0
Cluster_915	139	6	101
Cluster_916	500	84	56
Cluster_917	0	3	63
Cluster_918	10	9	20
Cluster_919	12	7	22
Cluster_920	176	10	1
Cluster_921	0	84	21
Cluster_922	30	30	53
Cluster_923	65	109	141
Cluster_924	1701	5	94
Cluster_925	54	6	12
Cluster_926	9	7	29
Cluster_927	416	2	298
Cluster_928	43	44	68
Cluster_929	30	23	93
Cluster_930	36	16	75
Cluster_931	28	11	51
Cluster_932	2	0	62
Cluster_933	161	91	55
Cluster_934	98	101	69
Cluster_935	16	37	33
Cluster_936	337	0	0
Cluster_937	31	1	157
Cluster_938	0	0	72
Cluster_939	142	166	146
Cluster_940	135	168	142
Cluster_941	189	1	38
Cluster_942	73	52	27
Cluster_943	229	416	826
Cluster_944	38	81	29
Cluster_945	28	32	28
Cluster_946	0	224	4
Cluster_947	25	21	0
Cluster_948	2	36	63
Cluster_949	0	29	58
Cluster_950	5	18	51
Cluster_951	30	13	22
Cluster_952	16	14	28
Cluster_953	58	67	141
Cluster_954	753	4303	1670
Cluster_955	25	44	40
Cluster_956	28	3	23
Cluster_957	0	0	39
Cluster_958	35	0	26
Cluster_959	31	43	75
Cluster_960	24	54	52
Cluster_961	35	33	49
Cluster_962	0	11	60
Cluster_963	43	31	29
Cluster_964	27	19	9
Cluster_965	25	24	21
Cluster_966	1875	1275	2299
Cluster_967	39	66	42
Cluster_968	49	2	145
Cluster_969	129	0	203
Cluster_970	1	41	16
Cluster_971	8	24	20
Cluster_972	41	31	85
Cluster_973	19	6	15
Cluster_974	29	8	17
Cluster_975	20	12	6
Cluster_976	0	27	69
Cluster_977	0	4	78
Cluster_978	0	90	74
Cluster_979	0	418	592
Cluster_980	0	190	82
Cluster_981	850	2008	2820
Cluster_982	49	145	176
Cluster_983	11	212	270
Cluster_984	23	74	78
Cluster_985	26	178	229
Cluster_986	438	37	0
Cluster_987	166	49	19
Cluster_988	2614	1820	2051
Cluster_989	611	560	867
Cluster_990	16	129	114
Cluster_991	1	59	2
Cluster_992	18	1	85
Cluster_993	6	34	27
Cluster_994	1	24	48
Cluster_995	0	10	45
Cluster_996	13	18	24
Cluster_997	14	19	31
Cluster_998	1	1	39
Cluster_999	2	360	0
Cluster_1000	16	13	14
Cluster_1001	30	22	24
Cluster_1002	171	411	1
Cluster_1003	18	20	20
Cluster_1004	1	21	28
Cluster_1005	5	54	46
Cluster_1006	26	56	58
Cluster_1007	33	49	98
Cluster_1008	67	85	141
Cluster_1009	60	49	84
Cluster_1010	31	38	62
Cluster_1011	54	20	27
Cluster_1012	30	11	18
Cluster_1013	13	81	62
Cluster_1014	14	54	46
Cluster_1015	75	92	131
Cluster_1016	219	82	205
Cluster_1017	4822	95	2306
Cluster_1018	189	116	231
Cluster_1019	154	54	73
Cluster_1020	453	31	46
Cluster_1021	318	329	406
Cluster_1022	197	290	336
Cluster_1023	12	34	29
Cluster_1024	13	65	60
Cluster_1025	20	15	37
Cluster_1026	128	234	380
Cluster_1027	224	324	520
Cluster_1028	95	168	213
Cluster_1029	20	45	44
Cluster_1030	7	49	51
Cluster_1031	40	27	17
Cluster_1032	73	50	61
Cluster_1033	221	202	55
Cluster_1034	180	124	180
Cluster_1035	37	41	68
Cluster_1036	109	175	182
Cluster_1037	136	163	211
Cluster_1038	33	59	67
Cluster_1039	229	265	330
Cluster_1040	65	169	248
Cluster_1041	236	541	374
Cluster_1042	96	67	122
Cluster_1043	392	204	306
Cluster_1044	83	115	172
Cluster_1045	335	329	321
Cluster_1046	790	1995	3727
Cluster_1047	52	329	415
Cluster_1048	2	13	132
Cluster_1049	16	6	174
Cluster_1050	29	45	45
Cluster_1051	22	28	35
Cluster_1052	36	54	99
Cluster_1053	49	21	126
Cluster_1054	298	118	245
Cluster_1055	151	15	77
Cluster_1056	64	0	12
Cluster_1057	5	35	39
