species,miRNA_id,mean_meth,sd_meth,n_samples,mean_rpm,sd_rpm,n_targets_all,n_targets_sig,n_lncrna_targets,Length,Reads,DicerCall,MIRNA,known_miRNAs,given_miRNA_name,known,conserved,log2_rpm
A. pulchra,Cluster_18772,2.103175,1.98214313520429,5,342.350839028346,99.8973943711298,36,3,39,96,1830,24,Y,spi-mir-temp-30_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2036.;spi-nve-F-miR-2036_Stylophora_pistillata_Praher_et_al._2021_NA;Adi-Mir-2036_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2036-3p;_nve-miR-2036-3p;_spi-miR-temp-30;ami-nve-F-miR-2036-3p_Acropora_millepora_Praher_et_al._2021_NA;eca-nve-F-miR-2036_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level,apul-mir-2036,TRUE,TRUE,8.42353967883161
A. pulchra,Cluster_19193,0,0,5,115.76292964234,38.4680436543209,189,12,420,93,579,22,Y,ami-miR-P-novel-13-3p_Acropora_millepora_Praher_et_al._2021_NA,apul-mir-novel-23,TRUE,FALSE,6.86743850414696
A. pulchra,Cluster_1951,0.789986666666666,0.587834115767128,5,2826.1038194645,648.425760352023,53,2,109,97,14107,22,Y,,apul-mir-novel-3,FALSE,FALSE,11.4651091487567
A. pulchra,Cluster_2463,9.2443,14.1412048806405,5,15703.0941634647,8971.59198989926,51,4,101,94,80076,22,Y,,apul-mir-novel-13,FALSE,FALSE,13.9388531080492
A. pulchra,Cluster_2859,0.76923,1.72005057033216,5,915.621748668422,316.457030954424,91,1,265,97,4553,23,Y,nve-miR-9425;Adi-Mir-9425_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-9425;_nve-miR-9425;ami-nve-F-miR-9425-5p_Acropora_millepora_Praher_et_al._2021_NA;miR-9425_Nematostella_vectensis_Moran_et_al._2014_NA,apul-mir-9425,TRUE,FALSE,9.84018270669341
A. pulchra,Cluster_3437,1.00491,1.40905856177094,5,1963.05382076554,1012.93385362198,30,2,55,92,10448,23,Y,Adi-Mir-2030_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2030-5p;_nve-miR-2030-5p;_spi-miR-temp-40;ami-nve-F-miR-2030-5p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2030_Acropora_digitifera__Praher_et_al._2021_NA;spi-mir-temp-40_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2030;eca-nve-F-miR-2030_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;miR-2030_Nematostella_vectensis_Moran_et_al._2014_NA,apul-mir-2030,TRUE,FALSE,10.9396187488807
A. pulchra,Cluster_4254,1.25717,0.965795446024934,5,66.321280174102,32.7098177625344,94,5,209,94,332,22,Y,apa-mir-2050_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2050;_Nve;_Spis;_Adi;Adi-Mir-2050_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2050-3p;_nve-miR-2050-3p;ami-nve-F-miR-2050-3p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2050_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-2050,TRUE,FALSE,6.0729907059472
A. pulchra,Cluster_5012,11.701895,7.3523869713218,5,15248.3523016384,3834.0099973644,48,5,145,96,75971,N,Y,nve-miR-2023-3p;spi-mir-temp-4_Stylophora_pistillata_Liew_et_al._2014_Exact_match_of_nve-miR-2023.;apa-mir-2023_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2023;_Nve;_Spis;_Adi;mse-nve-F-miR-2023_Metridium_senile_Praher_et_al._2021_Transcriptome-level;sca-nve-miR-2023-3p_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level;Adi-Mir-2023_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2023-3p;_nve-miR-2023-3p;_spi-miR-temp-4;ami-nve-F-miR-2023-3p_Acropora_millepora_Praher_et_al._2021_NA;epa-nve-F-miR-2023_Exaiptasia_pallida_Praher_et_al._2021_NA;spi-nve-F-miR-2023_Stylophora_pistillata_Praher_et_al._2021_NA;miR-2023_Nematostella_vectensis_Moran_et_al._2014_NA;avi-miR-temp-2023_Anemonia_viridis_Urbarova_et_al._2018_NA;eca-nve-F-miR-2023_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level,apul-mir-2023,TRUE,TRUE,13.8964603467457
A. pulchra,Cluster_5899,92.75544,2.2167233629842,5,408.112474026461,129.616152556517,58,1,140,93,2056,22,Y,,apul-mir-novel-30,FALSE,FALSE,8.676353716103
A. pulchra,Cluster_5900,89.059275,5.63570739747084,4,16144.6287601563,4725.91484319731,111,5,221,95,80457,22,Y,,apul-mir-novel-8a; apul-mir-novel-8b,FALSE,FALSE,13.9788560045519
A. pulchra,Cluster_5981,86.82353,26.2987891033884,5,2322.30686579428,914.264700802387,363,24,757,95,11540,23,Y,Adi-Mir-Novel-5_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_NA;ami-Adi-MiR-G-Novel-5-3p_Acropora_millepora_Praher_et_al._2021_NA;Adi-MiR-G-Novel-5_3p_Acropora_digitifera__Praher_et_al._2021_NA,apul-mir-novel-9,TRUE,FALSE,11.181964004681
P. evermanni,Cluster_10060,70.8333375,24.295638611809,4,4249.42000039476,1022.84623243286,10,0,6,91,12683,23,Y,,peve-mir-novel-26,FALSE,FALSE,12.0533896912179
P. evermanni,Cluster_1167,6.0254625,4.98945662586681,5,86745.6556123056,17774.1122659465,143,25,143,95,267836,N,Y,ami-nve-F-miR-100-5p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-100_Acropora_digitifera__Praher_et_al._2021_NA;Adi-Mir-100_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_mir-100;_spi-miR-temp-1,peve-mir-100,TRUE,TRUE,16.4045205173608
P. evermanni,Cluster_11997,29.0370375,23.5371432290672,4,382.959516545621,179.346307056001,12,0,10,93,1108,N,Y,,peve-mir-novel-32,FALSE,FALSE,8.58481039562273
P. evermanni,Cluster_14999,3.57139375,4.64394051834956,4,190.344912706946,49.12080960132,70,5,58,94,609,22,Y,ami-nve-F-miR-2025-3p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2025_Acropora_digitifera__Praher_et_al._2021_NA;Adi-Mir-2025_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2025-3p;_nve-miR-2025-3p,peve-mir-2025,TRUE,TRUE,7.58003173431379
P. evermanni,Cluster_2787,86.4292,16.4458656561459,4,1104.48354156578,258.927449091042,182,5,221,95,3344,N,Y,,peve-mir-novel-39,FALSE,FALSE,10.1104618311385
P. evermanni,Cluster_4079,1.96216583333334,0.856187129101936,4,15611.6086765378,8782.86812019243,69,4,95,97,44919,N,Y,,peve-mir-novel-7,FALSE,FALSE,13.9304239937562
P. evermanni,Cluster_4080,2.0504296875,0.62105522144386,4,21376.1139563121,15142.0036030361,80,5,82,93,62077,N,Y,,peve-mir-novel-8,FALSE,FALSE,14.3837794729275
P. evermanni,Cluster_4629,84.9332625,10.4420581631703,4,468.006926331606,150.450589589848,225,17,209,92,1390,23,Y,,peve-mir-novel-10,FALSE,FALSE,8.87346541850786
P. evermanni,Cluster_5563,2.33239,2.75260196112696,4,827.407461118891,66.8604377550451,16,2,17,96,2539,N,Y,spi-mir-temp-30_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2036.;spi-nve-F-miR-2036_Stylophora_pistillata_Praher_et_al._2021_NA;ami-nve-F-miR-2036-3p_Acropora_millepora_Praher_et_al._2021_NA;Adi-Mir-2036_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2036-3p;_nve-miR-2036-3p;_spi-miR-temp-30;eca-nve-F-miR-2036_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level,peve-mir-2036,TRUE,TRUE,9.69419673714139
P. evermanni,Cluster_5882,3.0183125,2.65385272398922,4,445.0753182092,175.459142721407,93,2,80,96,1353,N,Y,,peve-mir-novel-13,FALSE,FALSE,8.80114351434376
P. evermanni,Cluster_6255,4.662875,4.54680592352844,4,184.826219962821,56.383317840026,15,0,15,91,554,N,Y,ami-nve-F-miR-2030-5p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2030_Acropora_digitifera__Praher_et_al._2021_NA;Adi-Mir-2030_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2030-5p;_nve-miR-2030-5p;_spi-miR-temp-40;spi-mir-temp-40_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2030;eca-nve-F-miR-2030_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;miR-2030_Nematostella_vectensis_Moran_et_al._2014_NA,peve-mir-2030,TRUE,FALSE,7.53781026922132
P. evermanni,Cluster_6904,1.77080947368421,0.909939030912827,4,1010.87036022155,333.898306199749,126,7,104,94,2976,N,Y,,peve-mir-novel-14a; peve-mir-novel-14b,FALSE,FALSE,9.98280874994525
P. evermanni,Cluster_6905,1.29580300816993,0.950056097188502,5,454.869285723958,157.831732797108,40,0,58,96,1333,N,Y,,peve-mir-novel-14a; peve-mir-novel-14b,FALSE,FALSE,8.83247640041097
P. evermanni,Cluster_6906,1.98328897058824,1.07881788160146,4,971.366434233074,291.820971321861,125,4,126,94,2870,23,Y,,peve-mir-novel-15,FALSE,FALSE,9.92535628264642
P. evermanni,Cluster_6914,7.56241726190477,3.22577576845594,5,14543.9934222486,4107.53090975661,81,3,55,95,44619,N,Y,nve-miR-2023-3p;spi-mir-temp-4_Stylophora_pistillata_Liew_et_al._2014_Exact_match_of_nve-miR-2023.;apa-mir-2023_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2023;_Nve;_Spis;_Adi;eca-nve-F-miR-2023_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;mse-nve-F-miR-2023_Metridium_senile_Praher_et_al._2021_Transcriptome-level;sca-nve-miR-2023-3p_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level;ami-nve-F-miR-2023-3p_Acropora_millepora_Praher_et_al._2021_NA;epa-nve-F-miR-2023_Exaiptasia_pallida_Praher_et_al._2021_NA;spi-nve-F-miR-2023_Stylophora_pistillata_Praher_et_al._2021_NA;miR-2023_Nematostella_vectensis_Moran_et_al._2014_NA;avi-miR-temp-2023_Anemonia_viridis_Urbarova_et_al._2018_NA;Adi-Mir-2023_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2023-3p;_nve-miR-2023-3p;_spi-miR-temp-4,peve-mir-2023,TRUE,TRUE,13.828235023551
P. evermanni,Cluster_8634,0,0,4,114.493057265048,98.6518603465897,33,2,42,93,405,N,Y,,peve-mir-novel-19,FALSE,FALSE,6.85166231803651
P. evermanni,Cluster_8887,2.32362470238095,2.21166426922851,4,26163.6168009883,31492.9275677626,77,1,84,90,67563,21,Y,adi-miR-P-novel-6-3p_Acropora_digitifera__Praher_et_al._2021_NA;spi-mir-temp-14_Stylophora_pistillata_Liew_et_al._2014_NA;ami-spi-miR-L-temp-14-5p_Acropora_millepora_Praher_et_al._2021_NA,peve-mir-novel-21,TRUE,FALSE,14.6753295093845
P. evermanni,Cluster_8888,1.38347888888889,1.24942969801683,4,7124.35305314577,3341.07528394434,48,2,70,90,21132,N,Y,ami-spi-miR-L-temp-14-5p_Acropora_millepora_Praher_et_al._2021_NA,peve-mir-novel-22,TRUE,FALSE,12.7987457844975
P. evermanni,Cluster_9149,88.55435,4.20878483862177,5,76.135553390412,131.870646734567,287,28,327,93,191,N,Y,,peve-mir-novel-24,FALSE,FALSE,6.26932407665255
P. tuahiniensis,Cluster_1015,87.8434416666667,7.08565820939361,5,2120.32418862454,782.325357022945,159,8,382,95,12003,23,Y,,ptuh-mir-novel-5,FALSE,FALSE,11.0507494003825
P. tuahiniensis,Cluster_1068,1.177208,0.836155351278977,5,44.9695647307115,16.8639134080726,95,0,174,91,267,22,Y,,ptuh-mir-novel-7,FALSE,FALSE,5.52260710074587
P. tuahiniensis,Cluster_1080,2.25397,2.28689843803543,5,556.532503744529,63.1238285576704,6,0,41,92,2969,N,Y,,ptuh-mir-novel-2,FALSE,FALSE,9.12291210534417
P. tuahiniensis,Cluster_1116,1.84542511111111,0.777843967978731,5,196.957383572261,75.2515228102155,20,0,14,93,990,22,Y,spi-mir-temp-30_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2036.;eca-nve-F-miR-2036_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;ami-nve-F-miR-2036-3p_Acropora_millepora_Praher_et_al._2021_NA;spi-nve-F-miR-2036_Stylophora_pistillata_Praher_et_al._2021_NA;Adi-Mir-2036_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2036-3p;_nve-miR-2036-3p;_spi-miR-temp-30,ptuh-mir-2036,TRUE,TRUE,7.62904606893574
P. tuahiniensis,Cluster_1296,1.280046,0.774419651016166,5,154911.376818838,35405.2184021992,84,5,212,98,858857,N,Y,hsa-miR-100-5p;mmu-miR-100-5p;rno-miR-100-5p;gga-miR-100-5p;aga-miR-100;dre-miR-100-5p;lla-miR-100;ggo-miR-100;age-miR-100;ppa-miR-100;ppy-miR-100;ptr-miR-100;mml-miR-100-5p;sla-miR-100;tni-miR-100;fru-miR-100;xtr-miR-100;mdo-miR-100-5p;ame-miR-100-5p;oan-miR-100-5p;tca-miR-100-5p;bta-miR-100;lgi-miR-100;sko-miR-100;bmo-miR-100;eca-miR-100;ssc-miR-100;bma-miR-100b;aae-miR-100;cqu-miR-100-5p;tgu-miR-100-5p;nvi-miR-100;pma-miR-100a-5p;aca-miR-100;sha-miR-100;ola-miR-100;cgr-miR-100-5p;mse-miR-100;ccr-miR-100;ipu-miR-100;pmi-miR-100-5p;bbe-miR-100-5p;ssa-miR-100a-5p;cpi-miR-100-5p;ami-miR-100-5p;cli-miR-100-5p;pbv-miR-100-5p;chi-miR-100-5p;tch-miR-100-5p;pal-miR-100-5p;tcf-miR-100;abu-miR-100;mze-miR-100;nbr-miR-100;oni-miR-100;pny-miR-100;gmo-miR-100a-5p;pte-miR-100b-5p;xla-miR-100-5p;cpo-miR-100-5p;dno-miR-100-5p;ocu-miR-100-5p;mmr-miR-100;dma-miR-100;cja-miR-100;nle-miR-100;sbo-miR-100;pha-miR-100;oga-miR-100;dqu-miR-100-5p;pca-miR-100-5p;spi-mir-temp-1_Stylophora_pistillata_Liew_et_al._2014_Matches_miR-100_family.;eca-nve-F-miR-100_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;mse-nve-F-miR-100_Metridium_senile_Praher_et_al._2021_Transcriptome-level;sca-nve-F-miR-100_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level;apa-mir-100_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-100;_Nve;_Spis;_Adi;epa-nve-F-miR-100_Exaiptasia_pallida_Praher_et_al._2021_NA;spi-nve-F-miR-100_Stylophora_pistillata_Praher_et_al._2021_NA;avi-miR-temp-100_Anemonia_viridis_Urbarova_et_al._2018_NA;miR-100_Nematostella_vectensis_Moran_et_al._2014_NA,ptuh-mir-100,TRUE,TRUE,17.2410928881694
P. tuahiniensis,Cluster_1793,2.49464311111111,1.00815394095046,5,23015.907079626,4423.08005504876,72,3,138,95,129423,N,Y,nve-miR-2023-3p;spi-mir-temp-4_Stylophora_pistillata_Liew_et_al._2014_Exact_match_of_nve-miR-2023.;eca-nve-F-miR-2023_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;mse-nve-F-miR-2023_Metridium_senile_Praher_et_al._2021_Transcriptome-level;sca-nve-miR-2023-3p_Scolanthus_callimorphus_Praher_et_al._2021_Transcriptome-level;ami-nve-F-miR-2023-3p_Acropora_millepora_Praher_et_al._2021_NA;apa-mir-2023_Exaiptasia_pallida_Baumgarten_et_al._2017_miR-2023;_Nve;_Spis;_Adi;epa-nve-F-miR-2023_Exaiptasia_pallida_Praher_et_al._2021_NA;spi-nve-F-miR-2023_Stylophora_pistillata_Praher_et_al._2021_NA;miR-2023_Nematostella_vectensis_Moran_et_al._2014_NA;Adi-Mir-2023_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2023-3p;_nve-miR-2023-3p;_spi-miR-temp-4;avi-miR-temp-2023_Anemonia_viridis_Urbarova_et_al._2018_NA,ptuh-mir-2023,TRUE,TRUE,14.4904063624256
P. tuahiniensis,Cluster_1953,0,0,5,1996.47304557631,616.810639976818,76,2,189,94,11335,N,Y,,ptuh-mir-novel-3,FALSE,FALSE,10.9639603198425
P. tuahiniensis,Cluster_2793,3.571425,7.14285,4,198.229700955538,70.4825468276378,48,2,65,90,1051,N,Y,,ptuh-mir-novel-20,FALSE,FALSE,7.63828892868238
P. tuahiniensis,Cluster_2837,1.66666666666667,3.33333333333334,4,57.2987365627059,23.132202635158,62,1,166,95,301,22,Y,,ptuh-mir-novel-26,FALSE,FALSE,5.86539271288484
P. tuahiniensis,Cluster_2859,62.053575,25.1701313952835,4,262.936830186435,105.749878283987,24,1,56,93,1517,23,Y,,ptuh-mir-novel-18,FALSE,FALSE,8.04404887056357
P. tuahiniensis,Cluster_2973,1.21004,0.996285441629619,5,120.333403445284,64.6423764286616,202,30,366,93,578,N,Y,adi-nve-F-miR-2030_Acropora_digitifera__Praher_et_al._2021_NA;ami-nve-F-miR-2030-5p_Acropora_millepora_Praher_et_al._2021_NA;Adi-Mir-2030_5p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2030-5p;_nve-miR-2030-5p;_spi-miR-temp-40;eca-nve-F-miR-2030_Edwardsiella_carnea_Praher_et_al._2021_Transcriptome-level;spi-mir-temp-40_Stylophora_pistillata_Liew_et_al._2014_Close_match_of_nve-miR-2030;miR-2030_Nematostella_vectensis_Moran_et_al._2014_NA,ptuh-mir-2030,TRUE,FALSE,6.92283297313249
P. tuahiniensis,Cluster_36,3.63443295238095,2.14269861896345,5,36.5627068896775,17.2940397050497,14,0,14,92,177,21,Y,,ptuh-mir-novel-27,FALSE,FALSE,5.23122912687797
P. tuahiniensis,Cluster_3661,2.420694,0.575595154453197,5,453.357371093788,240.285927916181,138,7,228,94,2417,23,Y,,ptuh-mir-novel-17,FALSE,FALSE,8.82768367383263
P. tuahiniensis,Cluster_4039,1.9548325,2.15267211731286,5,246.864624255498,49.9225662917541,45,1,63,95,1393,22,Y,ami-nve-F-miR-2025-3p_Acropora_millepora_Praher_et_al._2021_NA;adi-nve-F-miR-2025_Acropora_digitifera__Praher_et_al._2021_NA;Adi-Mir-2025_3p_Acropora_digitifera_Gajigan_&_Conaco_2017_nve-miR-2025-3p;_nve-miR-2025-3p,ptuh-mir-2025,TRUE,TRUE,7.95340857151401
P. tuahiniensis,Cluster_4040,95.0520833333333,4.5122331052343,4,66.3376363733042,38.5500411360706,158,10,414,91,329,22,Y,,ptuh-mir-novel-28,FALSE,FALSE,6.07334117672475
P. tuahiniensis,Cluster_4823,56.53571,37.2516450277099,5,1273.1428559534,207.365527741269,135,10,182,94,6913,23,Y,,ptuh-mir-novel-16,FALSE,FALSE,10.3153113252244
P. tuahiniensis,Cluster_5612,1.84201266666667,0.782405466012773,5,602.398969416973,255.061671632728,97,7,146,95,3154,N,Y,,ptuh-mir-novel-21,FALSE,FALSE,9.2369684221919
P. tuahiniensis,Cluster_757,96.01648,3.95235139673207,5,1152.56823147306,314.03987929962,30,0,74,93,6322,N,Y,,ptuh-mir-novel-1,FALSE,FALSE,10.1718876240073
P. tuahiniensis,Cluster_925,1.933816,0.89315831215972,5,19635.5739262555,4722.97667996676,59,2,86,99,106356,22,Y,,ptuh-mir-novel-24,FALSE,FALSE,14.261255618226
