gene_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_038719,118,102,47,53,25
FUN_038718,1322,1056,777,972,524
FUN_028925,0,0,0,0,0
FUN_028924,202,74,86,61,171
FUN_028927,171,105,83,186,96
FUN_028926,0,0,6,0,0
FUN_028921,14,21,10,0,48
FUN_028920,210,895,293,467,302
FUN_028923,703,1333,691,809,380
FUN_028922,0,0,12,0,41
FUN_028929,37,19,2,2,10
FUN_028928,0,0,0,0,19
FUN_011228,0,0,0,0,1
FUN_011229,0,0,0,0,9
FUN_003938,1581,178,887,1456,1048
FUN_011222,2,0,20,0,148
FUN_011223,1,0,0,0,1
FUN_011220,0,0,0,0,0
FUN_011221,0,1078,12,6,33
FUN_011226,0,0,0,0,0
FUN_011227,0,0,0,0,4
FUN_011224,0,0,30,12,211
FUN_011225,0,0,0,0,0
FUN_002133,0,0,0,0,833
FUN_019695,0,0,0,0,0
FUN_041252,0,0,0,0,14
FUN_013333,44,0,46,0,26
FUN_013330,457,255,262,286,472
FUN_041251,0,0,0,0,0
FUN_041256,1,162,73,1,13
FUN_041257,0,0,0,0,0
FUN_013334,26,7,10,6,11
FUN_041255,376,78,127,572,281
FUN_039044,0,0,26,0,49
FUN_039045,0,0,0,0,4
FUN_039046,0,2,3,0,0
FUN_039047,0,0,0,0,16
FUN_039040,0,0,0,0,1
FUN_039041,0,0,0,0,2
FUN_039042,0,0,6,67,32
FUN_039043,0,0,11,0,0
FUN_039048,0,0,0,0,3
FUN_039049,0,0,0,0,0
FUN_025430,1546,1929,889,1729,756
FUN_041259,0,0,0,0,0
FUN_025431,499,374,261,410,768
FUN_020842,0,0,0,0,0
FUN_020843,0,0,0,0,0
FUN_020840,0,0,0,0,0
FUN_020841,0,0,0,0,0
FUN_020846,0,0,0,0,0
FUN_020847,0,0,0,0,0
FUN_020844,0,0,0,0,0
FUN_020845,0,0,0,0,0
FUN_020848,0,0,0,1,9
FUN_020849,178,120,123,160,65
FUN_042215,0,0,0,0,0
FUN_022992,0,0,0,0,0
FUN_022993,87,121,59,72,28
FUN_022990,5226,4521,2385,4074,3823
FUN_022991,968,713,836,814,1069
FUN_022996,2010,2955,655,856,947
FUN_022997,495,363,345,364,491
FUN_022994,40,0,58,5,231
FUN_022995,128,8,55,154,187
FUN_022998,1644,629,725,1200,1469
FUN_022999,0,0,18,0,0
FUN_027317,0,0,0,0,0
FUN_027316,4,0,0,0,0
FUN_027315,0,0,1,0,0
FUN_027314,0,0,0,0,0
FUN_027313,76,988,197,81,204
FUN_027312,0,0,22,2,0
FUN_027311,145,17,42,53,0
FUN_027310,0,0,0,1,0
FUN_027319,0,0,0,0,0
FUN_027318,0,0,0,0,0
FUN_017318,0,1,1,0,3
FUN_017319,0,0,0,0,0
FUN_012148,0,0,12,0,4
FUN_012149,27413,20639,16679,16353,14433
FUN_012142,1592,3330,3630,5494,2386
FUN_017311,52,0,0,0,0
FUN_017312,0,0,0,0,0
FUN_017313,0,0,0,0,0
FUN_017314,0,0,0,0,0
FUN_012147,1726,1014,805,799,565
FUN_017316,0,0,0,0,0
FUN_017317,0,0,0,0,0
FUN_037528,59,0,19,11,0
FUN_011051,2098,2031,1278,1665,1380
FUN_011050,1495,902,1002,1803,1870
FUN_011053,0,0,0,0,0
FUN_002526,0,107,167,0,26
FUN_011055,0,0,0,0,0
FUN_011054,298,215,117,192,132
FUN_038872,0,0,3,0,0
FUN_038873,0,0,0,0,0
FUN_038870,0,0,0,0,0
FUN_038871,0,0,0,0,0
FUN_038876,0,0,0,0,0
FUN_038877,0,0,0,0,0
FUN_038874,0,0,0,1,0
FUN_038875,0,0,0,0,0
FUN_038878,0,0,0,0,0
FUN_038879,4,17,6,4,21
FUN_042501,0,0,0,0,0
FUN_027865,889,0,201,291,6
FUN_027864,0,0,0,0,0
FUN_027867,0,0,318,618,435
FUN_027866,213,2082,1379,5531,2413
FUN_027861,213,815,432,2053,1410
FUN_027860,131,582,1149,1188,7099
FUN_027863,0,0,0,0,3
FUN_027862,223,9,0,30,8
FUN_027869,0,0,0,0,3
FUN_027868,5688,18109,11882,38289,15173
FUN_023348,1133,614,636,1111,416
FUN_014668,4836,2738,2641,7497,6936
FUN_005141,0,0,0,0,0
FUN_026198,2678,2182,1396,1158,1025
FUN_030143,0,0,0,0,0
FUN_026196,0,0,14,0,0
FUN_023341,3417,2528,2383,5228,4933
FUN_026194,0,37,0,0,45
FUN_026195,67,96,72,84,209
FUN_014665,2476,804,1304,1922,1069
FUN_014664,10499,8325,7227,11546,9680
FUN_023346,0,0,0,0,4
FUN_023347,176,50,104,115,38
FUN_014237,13,31,22,13,164
FUN_044270,1,1,4,8,9
FUN_005144,0,0,0,0,13
FUN_044277,90,10,23,61,79
FUN_005145,0,8,0,0,1426
FUN_042509,0,0,0,0,0
FUN_030147,9,0,0,0,8
FUN_003961,0,0,0,74,13
FUN_030144,0,0,0,0,0
FUN_044274,994,1670,497,481,336
FUN_022534,1607,1992,689,1770,1474
FUN_044279,0,0,0,0,0
FUN_044278,0,0,0,0,0
FUN_014235,0,0,140,44,7
FUN_009548,27,0,0,0,0
FUN_009549,139,8,22,182,116
FUN_009542,0,0,0,2,0
FUN_009543,21,16,0,11,0
FUN_009540,5,0,2,0,0
FUN_009541,107,0,62,72,77
FUN_009546,0,6,0,41,0
FUN_009547,0,0,0,0,2
FUN_009544,212,60,71,1519,169
FUN_009545,202,50,114,1827,105
FUN_041748,0,0,0,6,0
FUN_026738,33,23,0,13,0
FUN_026739,2663,2067,1462,2688,1627
FUN_019318,0,0,0,0,0
FUN_019319,0,0,0,0,0
FUN_019316,0,5,0,0,0
FUN_019317,0,0,0,0,0
FUN_026730,280,201,36,175,34
FUN_019315,0,0,0,0,0
FUN_026736,94,104,0,31,32
FUN_019313,0,0,0,0,0
FUN_019310,0,0,0,0,0
FUN_026735,30,11,0,11,48
FUN_039835,356,338,201,311,529
FUN_022438,18,0,0,0,0
FUN_039837,812,657,497,740,711
FUN_039836,3413,4026,2160,1864,744
FUN_039831,298,74,105,91,55
FUN_039830,1838,1091,584,966,983
FUN_025429,210,28,25,62,62
FUN_039832,370,363,251,724,444
FUN_025427,716,872,149,394,276
FUN_022430,896,432,626,819,636
FUN_022433,1100,557,569,930,967
FUN_022432,2,0,0,6,1
FUN_039839,17,36,28,15,46
FUN_025422,229,155,45,120,308
FUN_022437,585,245,298,661,474
FUN_025420,0,0,0,0,0
FUN_024778,4309,2674,1646,3522,2680
FUN_024779,514,363,347,753,567
FUN_024774,3,0,0,44,40
FUN_024775,11816,10453,5871,5813,3607
FUN_024776,6253,7011,2797,7439,3917
FUN_033900,1,4,1,0,1
FUN_024770,1187,1065,619,977,490
FUN_024771,31,92,228,204,110
FUN_024772,76,95,222,86,125
FUN_024773,0,0,10,9,9
FUN_009064,0,0,0,0,0
FUN_018807,226,530,103,78,204
FUN_018806,1496,1003,771,1518,1204
FUN_009062,0,10,0,0,8
FUN_018959,0,0,0,0,0
FUN_018958,0,0,0,0,31
FUN_018957,0,0,4,0,4
FUN_018956,0,0,0,0,0
FUN_018955,0,0,0,0,0
FUN_018954,0,0,0,0,0
FUN_018953,0,0,0,0,0
FUN_018952,0,0,0,0,0
FUN_018951,0,0,0,0,0
FUN_018950,0,0,0,21,0
FUN_030689,0,5,0,8,0
FUN_030688,0,0,0,0,0
FUN_030681,1570,949,1344,949,1892
FUN_030680,78,50,25,37,34
FUN_030683,0,0,44,0,44
FUN_030682,0,0,0,3,24
FUN_030685,0,0,0,0,0
FUN_030684,0,0,0,0,3
FUN_030687,0,0,0,0,5
FUN_030686,2255,2026,1766,1896,2081
FUN_038058,2897,1387,968,3479,2064
FUN_038059,347,283,132,321,126
FUN_038054,2004,1581,777,1357,1531
FUN_038055,1155,2038,827,823,859
FUN_038056,1265,1308,737,770,633
FUN_038057,11448,8606,5439,7321,9314
FUN_038050,206,30,12,39,13
FUN_038051,430,378,178,521,163
FUN_038052,35894,31415,12040,28973,16987
FUN_038053,1793,1007,972,1885,1269
FUN_036900,1844,1854,1125,2505,1797
FUN_036901,44,36,26,51,35
FUN_036902,188,140,33,203,112
FUN_036903,0,0,0,0,0
FUN_036904,0,6,0,0,15
FUN_000604,173,0,62,78,56
FUN_036906,0,0,11,0,9
FUN_036907,1187,815,367,511,332
FUN_036908,83,42,3,21,17
FUN_036909,89,37,8,25,22
FUN_029288,232,153,148,140,424
FUN_000608,4071,1741,1723,6323,1897
FUN_030533,0,0,0,0,0
FUN_030532,17,0,0,0,14
FUN_030531,5,0,0,0,27
FUN_030530,19,0,12,9,147
FUN_030537,0,0,0,0,0
FUN_030536,0,0,0,0,0
FUN_030535,0,0,0,0,0
FUN_030534,0,0,0,0,0
FUN_021852,0,0,0,0,0
FUN_021853,0,0,0,0,2
FUN_021850,0,0,0,0,0
FUN_021851,0,0,0,0,1
FUN_021856,0,0,0,0,2
FUN_021857,1,0,0,0,1
FUN_021854,0,0,0,0,0
FUN_021855,0,0,0,0,0
FUN_004880,1816,827,983,2658,2415
FUN_004881,2380,1676,1127,1780,2097
FUN_004882,2213,2452,1291,655,1207
FUN_004883,240,42,0,30,55
FUN_004884,0,0,0,0,0
FUN_004885,0,0,20,0,41
FUN_004886,0,0,4,0,3
FUN_004887,2902,65,2288,2431,5064
FUN_004888,17,11,4,11,1
FUN_004889,3086,3448,1941,2240,2116
FUN_031484,0,0,0,0,0
FUN_031485,0,0,0,0,0
FUN_031486,0,0,0,0,0
FUN_031487,0,0,0,0,0
FUN_031480,0,0,0,0,0
FUN_031481,0,0,0,0,0
FUN_020109,0,0,0,0,11
FUN_031483,0,0,0,6,14
FUN_020107,0,0,0,0,0
FUN_020106,0,0,0,0,0
FUN_020105,0,0,0,0,0
FUN_020104,0,0,0,0,0
FUN_020103,23,5,0,605,20
FUN_031489,801,1807,496,993,445
FUN_020101,0,0,0,0,0
FUN_020100,0,0,0,0,5
FUN_040297,15,30,12,24,23
FUN_030493,0,0,0,0,6
FUN_001638,371,309,288,403,369
FUN_001639,1311,830,611,1261,1220
FUN_001630,6258,4447,4154,4305,2801
FUN_001631,2852,3996,2394,4112,3394
FUN_001632,3231,1087,855,1224,771
FUN_001633,443,208,189,271,291
FUN_001634,234,300,221,385,182
FUN_001635,0,0,3,3,11
FUN_001636,74,44,24,93,70
FUN_001637,66,74,48,53,184
FUN_007289,0,0,0,0,0
FUN_007288,0,0,0,0,2
FUN_007287,41,0,42,3,138
FUN_007286,6,0,13,2,73
FUN_007285,5,0,2,3,13
FUN_007284,0,0,0,0,1
FUN_007283,0,0,0,0,0
FUN_007282,0,0,0,0,0
FUN_007281,0,0,0,0,0
FUN_007280,0,0,0,0,0
FUN_031365,430,52,338,212,662
FUN_039179,0,1,7,0,48
FUN_016891,0,4,0,73,0
FUN_036276,0,0,0,0,0
FUN_036277,2,5,1,3,10
FUN_036274,0,0,0,0,0
FUN_036275,0,0,0,0,0
FUN_036272,0,0,0,0,0
FUN_036273,0,0,0,0,0
FUN_036270,0,0,0,0,11
FUN_036271,2,0,0,0,0
FUN_036278,135,254,166,192,19
FUN_036279,0,0,0,0,0
FUN_033015,363,145,213,508,326
FUN_033014,702,504,222,765,551
FUN_033017,149,148,219,161,265
FUN_028993,201,67,184,156,206
FUN_027458,1119,520,1393,10,0
FUN_027459,0,0,0,0,0
FUN_027454,13,15,22,7,32
FUN_027455,0,0,0,0,0
FUN_027456,12,36,63,21,144
FUN_027457,29,0,125,4,13
FUN_027450,0,6,2,0,0
FUN_027451,12,412,0,0,29
FUN_027452,109,44,57,68,93
FUN_027453,17,33,4,58,29
FUN_033013,17,0,54,81,49
FUN_039174,0,0,0,0,0
FUN_033012,251,88,95,186,208
FUN_039175,0,0,0,0,0
FUN_019252,0,0,0,0,19
FUN_037775,1561,580,432,1155,437
FUN_006626,227,191,228,153,98
FUN_006627,1537,391,445,464,210
FUN_006624,730,36,71,141,101
FUN_006625,167,37,0,99,45
FUN_006622,136,137,53,500,474
FUN_006623,0,244,89,162,174
FUN_006620,200,0,171,18,23
FUN_032598,0,0,0,0,0
FUN_032597,13,0,8,0,0
FUN_032596,341,10,58,22,134
FUN_032595,0,0,0,0,0
FUN_032594,123,0,0,0,204
FUN_032593,65,18,12,6,183
FUN_032592,57,1,0,0,20
FUN_032591,0,0,0,0,0
FUN_006629,736,882,823,1355,918
FUN_042987,121,521,259,514,16
FUN_042986,0,19,0,28,264
FUN_042985,0,21,0,0,9
FUN_042984,0,0,0,3,0
FUN_042983,59,0,0,76,127
FUN_042982,228,753,35,251,383
FUN_042981,88,203,61,130,273
FUN_003569,2125,6354,2690,10939,10329
FUN_003566,0,0,0,0,0
FUN_003567,0,0,2,0,16
FUN_004712,450,277,291,363,540
FUN_003565,0,0,0,0,0
FUN_004714,882,453,495,933,954
FUN_004715,147,96,134,36,44
FUN_004716,450,464,180,175,245
FUN_003561,0,0,0,0,0
FUN_011279,2809,1786,1448,2811,1718
FUN_016584,489,401,474,457,563
FUN_041861,14762,15711,8859,11233,8332
FUN_041860,1074,1049,1076,526,494
FUN_041863,387,243,217,276,490
FUN_041862,9901,6470,3770,6853,5581
FUN_041865,545,602,404,702,446
FUN_041864,1018,902,655,1113,699
FUN_041867,106,124,136,111,262
FUN_041866,18009,29514,17826,21166,12131
FUN_041869,167,171,56,370,178
FUN_041868,3214,1882,1501,4220,2350
FUN_003669,0,0,0,0,0
FUN_003668,1,1,1,2,1
FUN_042804,15,0,43,0,40
FUN_011149,0,0,0,0,0
FUN_011148,1,0,0,0,1
FUN_011143,0,0,18,3,34
FUN_011142,0,0,0,0,0
FUN_011141,4,0,0,0,37
FUN_011140,1,1,1,1,1
FUN_011147,0,0,0,0,0
FUN_011146,0,0,0,0,0
FUN_011145,0,0,0,0,0
FUN_011144,0,0,0,0,5
FUN_016760,0,0,0,11,6
FUN_042801,16,7,46,7,350
FUN_013565,0,0,0,0,0
FUN_013564,0,15,0,0,17
FUN_035337,334,102,56,370,282
FUN_002381,40,24,11,27,51
FUN_002380,195,196,188,404,216
FUN_002383,0,0,0,0,0
FUN_002382,459,196,267,381,334
FUN_002385,0,0,0,0,0
FUN_002384,13,0,0,0,0
FUN_002387,0,0,0,0,0
FUN_002386,0,0,114,46,41
FUN_002389,7,0,16,40,0
FUN_002388,0,0,0,50,6
FUN_003666,1,1,0,2,1
FUN_000714,0,0,0,0,0
FUN_000715,0,0,0,0,0
FUN_000716,1,0,0,0,0
FUN_000717,0,0,1,0,0
FUN_000710,1,1,0,1,0
FUN_000711,0,0,0,0,0
FUN_000712,0,0,0,0,0
FUN_000713,1,0,0,0,0
FUN_030370,0,0,2,0,0
FUN_029916,0,0,0,0,0
FUN_000718,0,0,0,0,0
FUN_000719,0,0,0,0,0
FUN_040615,5958,6825,3455,5419,2775
FUN_010174,0,0,0,0,0
FUN_040617,0,0,0,0,0
FUN_012788,567,249,250,397,214
FUN_012789,0,0,0,0,0
FUN_029429,13,99,17,44,0
FUN_010176,0,0,0,0,0
FUN_012780,130,87,69,107,177
FUN_012781,0,0,0,0,0
FUN_012782,25474,23120,13836,26948,21410
FUN_012783,42,6,0,25,50
FUN_029427,123,421,159,773,140
FUN_029426,316,117,85,222,224
FUN_029425,243,165,123,422,477
FUN_029424,245,125,162,268,217
FUN_016498,2238,1606,1520,3710,3406
FUN_016499,27,0,53,0,203
FUN_040613,287,130,75,93,77
FUN_016490,1060,1213,1016,972,1172
FUN_016491,9213,7996,5128,6163,2877
FUN_016492,697,315,272,558,554
FUN_040612,76,80,29,66,71
FUN_016494,1397,2397,1281,939,343
FUN_016495,1147,1251,965,2205,1889
FUN_016496,849,1138,682,1380,807
FUN_016497,0,0,7,0,0
FUN_040808,10,0,0,4,0
FUN_040809,0,0,0,0,0
FUN_040800,0,0,0,28,0
FUN_040801,19,96,5,194,5
FUN_040802,55,62,15,60,2
FUN_040803,0,0,0,0,0
FUN_040804,0,5,28,20,0
FUN_040805,0,0,0,0,0
FUN_040806,0,0,0,0,0
FUN_040807,0,0,0,0,0
FUN_043579,161,66,73,200,123
FUN_043578,0,0,0,0,0
FUN_000137,0,1,1,0,7
FUN_043571,235,250,124,149,234
FUN_043570,1224,592,1350,1011,1133
FUN_043573,10804,7170,5057,7480,5602
FUN_043572,653,502,359,849,515
FUN_043575,1153,496,662,1929,1741
FUN_043574,2353,1898,1143,1813,1947
FUN_043577,9,0,0,0,0
FUN_010178,0,0,0,9,0
FUN_013787,0,0,0,0,0
FUN_013786,0,0,0,0,0
FUN_013785,0,26,0,6,0
FUN_013784,0,0,0,0,0
FUN_013783,0,0,0,0,0
FUN_013782,0,0,0,0,0
FUN_013781,59,24,51,53,17
FUN_013780,0,0,0,0,0
FUN_013789,0,0,0,0,0
FUN_013788,169,105,109,117,80
FUN_042338,0,0,0,0,25
FUN_000949,15,4,45,18,15
FUN_042339,0,0,17,0,10
FUN_023108,576,645,341,807,484
FUN_023109,2195,1554,2099,3644,2613
FUN_023106,21,24,89,42,25
FUN_023107,246,182,279,139,761
FUN_023104,193,1364,523,1265,381
FUN_023105,3310,4195,2804,4698,1816
FUN_023102,33,33,27,14,18
FUN_023103,0,13,10,0,18
FUN_023100,475,292,174,357,516
FUN_023101,3903,4278,2119,3166,1369
FUN_042330,0,16,12,26,31
FUN_016051,554,323,252,375,595
FUN_042332,0,0,0,0,2
FUN_016053,173,147,134,313,157
FUN_042334,2633,3534,2677,5915,5952
FUN_042335,0,0,0,0,0
FUN_007076,223,137,36,120,58
FUN_030378,0,0,1,0,0
FUN_016057,1,0,0,0,1
FUN_028482,1237,743,323,578,594
FUN_028483,164,29,25,42,52
FUN_028480,176,141,154,218,222
FUN_041040,0,0,0,0,0
FUN_028486,1181,730,782,1927,1311
FUN_028487,1652,575,956,1367,1491
FUN_028484,159,105,95,128,116
FUN_041044,0,0,0,0,0
FUN_041049,0,0,0,0,0
FUN_041048,0,0,0,0,0
FUN_009388,120,0,80,5,203
FUN_009389,16,0,0,0,22
FUN_009380,1,1,1,1,0
FUN_009381,1588,1147,1113,1536,2308
FUN_009382,383,327,187,172,496
FUN_009383,989,594,512,666,526
FUN_009384,4,9,0,44,26
FUN_009385,55,0,117,98,98
FUN_009386,12,68,8,51,56
FUN_009387,0,0,41,0,76
FUN_031889,1821,124,1,818,427
FUN_011925,2805,1454,1370,1596,1057
FUN_011924,2301,2554,1248,1673,1189
FUN_011927,3154,2889,1741,3447,2875
FUN_011926,306,198,205,140,258
FUN_011921,1935,1845,943,1641,1454
FUN_011920,748,1218,700,801,574
FUN_011923,14,36,2,31,12
FUN_011922,6183,5981,2552,5203,3409
FUN_000948,1991,1530,1229,1215,1011
FUN_011929,301,499,217,153,265
FUN_011928,466,546,179,376,346
FUN_023003,732,389,293,398,685
FUN_028374,0,0,0,0,0
FUN_025629,756,686,270,755,304
FUN_025628,124,89,41,72,20
FUN_010646,0,0,0,0,0
FUN_025625,322,377,328,638,475
FUN_025624,166,57,80,147,90
FUN_025627,20,0,0,0,7
FUN_025626,1305,1114,970,1124,829
FUN_025621,43,107,53,0,0
FUN_025620,0,0,0,0,0
FUN_025623,0,0,0,0,0
FUN_025622,0,1,3,6,0
FUN_008163,91,0,3,0,0
FUN_024573,34,45,34,4,59
FUN_024570,574,254,224,638,668
FUN_008160,0,0,0,0,0
FUN_008167,34,34,3,21,18
FUN_024577,3857,2224,2059,4897,3463
FUN_024574,14,0,0,18,0
FUN_008164,101,0,4,0,0
FUN_028370,34,0,0,9,13
FUN_024578,231,132,196,442,281
FUN_008168,0,0,0,0,0
FUN_031885,6,0,0,0,1
FUN_029993,0,42,0,0,0
FUN_044131,6,4,11,4,114
FUN_014252,0,0,0,0,0
FUN_044133,17,11,15,20,55
FUN_029997,2,0,0,0,51
FUN_044135,6,25,13,14,110
FUN_044136,11,15,17,20,60
FUN_044137,58,202,82,155,450
FUN_014258,0,0,0,0,0
FUN_044139,0,0,0,2,86
FUN_029999,0,24,0,0,0
FUN_028373,0,0,52,4,185
FUN_025197,0,0,0,0,1
FUN_025196,37,2,72,2,203
FUN_025195,0,0,0,0,5
FUN_025194,0,0,7,0,0
FUN_025193,0,0,0,2,23
FUN_025192,0,0,1,0,0
FUN_025191,0,0,0,0,3
FUN_025190,0,0,0,0,0
FUN_025199,0,0,0,0,0
FUN_025198,0,0,0,0,0
FUN_034541,0,0,0,0,0
FUN_019842,0,0,0,0,0
FUN_019843,1,0,0,0,0
FUN_019840,0,0,0,0,0
FUN_019841,0,0,0,0,0
FUN_019846,1,0,0,0,0
FUN_019847,0,0,0,0,1
FUN_019844,0,0,0,0,0
FUN_019845,0,0,0,0,0
FUN_019848,0,0,0,0,0
FUN_019849,0,0,0,0,0
FUN_015121,0,0,0,0,0
FUN_015120,19,11,0,0,0
FUN_015123,12,0,14,28,16
FUN_015122,81,75,290,455,325
FUN_015125,9,0,0,0,3
FUN_035419,787,897,604,598,634
FUN_015127,16,31,0,31,13
FUN_024436,1889,1220,1011,2783,1414
FUN_015129,9,0,0,25,27
FUN_015128,0,0,0,5,23
FUN_008086,1366,930,661,681,1071
FUN_007130,3,0,10,0,19
FUN_030421,9,0,11,0,39
FUN_008087,1220,1522,779,1290,1039
FUN_035416,600,383,238,433,420
FUN_024433,14,1689,18,284,34
FUN_035415,1054,783,755,594,797
FUN_008081,40322,24075,20596,28138,23768
FUN_030422,0,0,0,0,2
FUN_008082,1499,2633,1213,1117,728
FUN_035413,6092,6524,3188,4545,3860
FUN_024430,28,122,41,137,72
FUN_007133,10,14,23,17,37
FUN_030424,1,0,2,0,7
FUN_038524,4553,3094,2333,4146,4463
FUN_038525,1239,734,519,1530,683
FUN_038526,3112,2148,1373,4596,4082
FUN_038527,34,76,0,0,0
FUN_038520,0,37,33,48,44
FUN_038521,0,0,0,20,18
FUN_038522,0,0,0,0,0
FUN_038523,4635,3476,2060,3621,3331
FUN_023920,38949,33327,23385,33472,11101
FUN_023921,2746,1867,1292,2842,2094
FUN_023922,776,514,467,612,1027
FUN_023923,90,23,55,34,160
FUN_023924,1756,1163,877,1517,1501
FUN_038529,18,0,20,10,0
FUN_023926,32,0,7,32,8
FUN_023927,200,72,42,202,252
FUN_008088,4090,1887,1741,6132,3095
FUN_032354,1252,1246,619,2172,1645
FUN_024439,1923,1559,1200,3722,2609
FUN_032356,2039,1313,1342,1165,924
FUN_007135,2259,2951,1165,2218,688
FUN_004956,0,0,0,0,0
FUN_038635,0,0,4,4,37
FUN_038636,879,187,337,715,464
FUN_020477,0,0,0,0,0
FUN_028626,5,9,46,29,40
FUN_020475,0,0,0,0,0
FUN_020474,0,0,0,0,0
