# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam
lncRNA_124	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	4598831;18584751	4599768;18585578	+;+	1766	0	0	0	0	0
lncRNA_125	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	4637652;18589548	4638343;18589849	+;+	994	0	0	0	0	0
lncRNA_126	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	4661179;18917959	4661761;18919836	+;+	2461	0	0	0	0	0
lncRNA_127	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5516433;18946113	5517897;18946268	+;+	1621	0	0	0	0	0
lncRNA_128	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5635116;19138955	5638126;19141628	+;+	5685	0	0	0	0	0
lncRNA_129	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5658545;19138999	5666282;19141721	+;+	10461	0	0	0	0	0
lncRNA_131	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5688121;5711367;19154459	5696136;5712426;19155325	+;+;+	9943	0	0	0	0	0
lncRNA_132	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5712591;19421118	5719752;19439985	+;+	26030	0	0	0	0	0
lncRNA_133	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5712632;19553222	5714538;19554415	+;+	3101	0	0	0	0	0
lncRNA_134	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5712637;19553222	5714538;19554415	+;+	3096	0	0	0	0	0
lncRNA_135	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5733114;19624731	5738312;19625116	+;+	5585	0	0	0	0	0
lncRNA_136	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6142792;19667166	6143184;19672593	+;+	5821	0	0	0	0	0
lncRNA_137	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6511327;19743191	6511771;19744531	+;+	1786	0	0	0	0	0
lncRNA_138	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6528624;19921813	6531852;19922188	+;+	3605	0	0	0	0	0
lncRNA_139	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6877172;21928197	6881746;21931578	+;+	7957	0	0	0	0	0
lncRNA_141	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	549662;671188;6937353;7198341	564638;674663;6938211;7198627	+;+;+;+	19599	0	0	0	0	0
lncRNA_142	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	851159;7326131	852146;7326722	+;+	1580	0	0	0	0	0
lncRNA_143	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	851219;7333842	852146;7341649	+;+	8736	0	0	0	0	0
lncRNA_145	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	1181197;7531247	1182114;7538293	+;+	7965	0	0	0	0	0
lncRNA_146	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	1829311;7564387	1831588;7564976	+;+	2868	0	0	0	0	0
lncRNA_147	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	2294579;7732538	2296164;7733588	+;+	2637	0	0	0	0	0
lncRNA_148	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	2336578;7753124	2343196;7755121	+;+	8617	0	0	0	0	0
lncRNA_149	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3115957;7755241	3116834;7756215	+;+	1853	0	0	0	0	0
lncRNA_151	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3147928;3276196;7771342;7781629	3149275;3283212;7771663;7782443	+;+;+;+	9502	0	0	0	0	0
lncRNA_153	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3611591;8134212	3611884;8134919	+;+	1002	0	0	0	0	0
lncRNA_154	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3579674;8285628	3582319;8286422	+;+	3441	0	0	0	0	0
lncRNA_155	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3579714;8285628	3582319;8291478	+;+	8457	0	0	0	0	0
lncRNA_157	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	4631156;8414778	4632119;8415385	+;+	1572	0	0	0	0	0
lncRNA_158	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5636583;8566524	5721131;8589451	+;+	107477	0	0	0	0	0
lncRNA_159	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5636738;8566524	5638849;8589451	+;+	25040	0	0	0	0	0
lncRNA_161	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5643476;5643648;8566891;8614414	5659149;5651551;8589451;8616118	+;+;+;+	39940	0	0	0	0	0
lncRNA_162	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5665723;8659618	5691178;8661537	+;+	27376	0	0	0	0	0
lncRNA_163	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5672934;9161945	5697281;9165445	+;+	27849	0	0	0	0	0
lncRNA_164	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5672967;9212136	5719682;9215318	+;+	49899	0	0	0	0	0
lncRNA_165	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5673129;9264859	5688498;9265693	+;+	16205	0	0	0	0	0
lncRNA_166	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5681651;9461119	5711455;9468115	+;+	36802	0	0	0	0	0
lncRNA_167	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5688193;9464991	5714967;9468115	+;+	29900	0	0	0	0	0
lncRNA_168	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5688661;9632549	5691178;9633372	+;+	3342	0	0	0	0	0
lncRNA_169	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5695469;11361338	5715926;11362392	+;+	21513	0	0	0	0	0
lncRNA_171	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5713721;5713721;11223475;11361399	5721155;5721652;11224394;11362392	+;+;+;+	9846	0	0	0	0	0
lncRNA_172	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	5712193;11888732	5719512;11889138	+;+	7727	0	0	0	0	0
lncRNA_174	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6148125;12711713	6149921;12714248	+;+	4333	0	0	0	0	0
lncRNA_175	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6171995;12691118	6176973;12693819	+;+	7681	0	0	0	0	0
lncRNA_176	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6171136;12716133	6176973;12719611	+;+	9317	0	0	0	0	0
lncRNA_177	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6435142;12717341	6442211;12719611	+;+	9341	0	0	0	0	0
lncRNA_178	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6436172;12718327	6443412;12718827	+;+	7742	0	0	0	0	0
lncRNA_179	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6644581;12762291	6648458;12762834	+;+	4422	0	0	0	0	0
lncRNA_181	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	6914313;6937599;12913968;13271171	6916915;6938478;12924212;13271825	+;+;+;+	14383	0	0	0	0	0
lncRNA_182	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7137684;13545781	7141274;13552957	+;+	10768	0	0	0	0	0
lncRNA_183	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7137733;13559484	7141274;13561172	+;+	5231	0	0	0	0	0
lncRNA_184	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7137836;13563211	7138729;13564918	+;+	2602	0	0	0	0	0
lncRNA_185	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7239634;13637798	7241121;13638562	+;+	2253	0	0	0	0	0
lncRNA_186	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7239711;13637976	7241121;13638562	+;+	1998	0	0	0	0	0
lncRNA_187	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7324146;13671817	7324921;13672111	+;+	1071	0	0	0	0	0
lncRNA_188	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7499414;13795537	7499762;13811922	+;+	16735	0	0	0	0	0
lncRNA_189	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7558777;13796577	7559696;13811922	+;+	16266	0	0	0	0	0
lncRNA_191	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7559856;7629754;13797551;13797892	7561531;7631171;13811922;13811922	+;+;+;+	17466	0	0	0	0	0
lncRNA_192	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7639122;13798656	7641883;13811922	+;+	16029	0	0	0	0	0
lncRNA_193	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7668452;13896914	7677942;13897167	+;+	9745	0	0	0	0	0
lncRNA_194	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7737421;14131934	7737721;14132751	+;+	1119	0	0	0	0	0
lncRNA_195	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	7754442;14197856	7756486;14211166	+;+	15356	0	0	0	0	0
lncRNA_196	Pocillopora_meandrina_HIv1___Sc1111111	14263664	14266992	+	3329	0	0	0	0	0
lncRNA_197	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	8132199;14311521	8134498;14312472	+;+	3252	0	0	0	0	0
lncRNA_198	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	8311159;14361476	8314859;14361811	+;+	4037	0	0	0	0	0
lncRNA_199	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	8634514;14963299	8635137;14965792	+;+	3118	0	0	0	0	0
lncRNA_144	Pocillopora_meandrina_HIv1___Sc1111111	961198	961556	+	359	0	0	0	0	0
lncRNA_152	Pocillopora_meandrina_HIv1___Sc1111111	3557141	3557928	+	788	0	0	0	0	0
lncRNA_156	Pocillopora_meandrina_HIv1___Sc1111111	4457413	4458487	+	1075	0	0	0	0	0
lncRNA_173	Pocillopora_meandrina_HIv1___Sc1111111	5733211	5735235	+	2025	0	0	0	0	0
lncRNA_211	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	8927552;9181194;9898281;11315138	8945136;9184336;9898717;11315751	+;+;+;+	21779	0	0	0	0	0
lncRNA_212	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9181688;11713933	9183614;11716195	+;+	4190	0	0	0	0	0
lncRNA_213	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9213942;11745153	9219492;11746612	+;+	7011	0	0	0	0	0
lncRNA_214	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9213942;11961343	9219492;11966366	+;+	10575	0	0	0	0	0
lncRNA_215	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9216319;11961359	9216859;11966366	+;+	5549	0	0	0	0	0
lncRNA_216	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9243644;11968893	9244514;11971131	+;+	3110	0	0	0	0	0
lncRNA_217	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9697258;11968912	9699645;11971131	+;+	4608	0	0	0	0	0
lncRNA_218	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9697556;12436321	9698922;12462388	+;+	27435	0	0	0	0	0
lncRNA_219	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	9698436;12448229	9698922;12472168	+;+	24427	0	0	0	0	0
lncRNA_221	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	12912311;12912927	12914384;12923454	+;+	11144	0	0	0	0	0
lncRNA_222	Pocillopora_meandrina_HIv1___Sc1111111	12913115	12913514	+	400	0	0	0	0	0
lncRNA_223	Pocillopora_meandrina_HIv1___Sc1111111	13116878	13118191	+	1314	0	0	0	0	0
lncRNA_224	Pocillopora_meandrina_HIv1___Sc1111111	13188156	13191861	+	3706	0	0	0	0	0
lncRNA_225	Pocillopora_meandrina_HIv1___Sc1111111	13189354	13191162	+	1809	0	0	0	0	0
lncRNA_226	Pocillopora_meandrina_HIv1___Sc1111111	13213346	13215966	+	2621	0	0	0	0	0
lncRNA_227	Pocillopora_meandrina_HIv1___Sc1111111	13213968	13215966	+	1999	0	0	0	0	0
lncRNA_228	Pocillopora_meandrina_HIv1___Sc1111111	13216977	13221314	+	4338	0	0	0	0	0
lncRNA_229	Pocillopora_meandrina_HIv1___Sc1111111	13248781	13249229	+	449	0	0	0	0	0
lncRNA_231	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	13367936;13884192	13374294;13885852	+;+	8020	0	0	0	0	0
lncRNA_232	Pocillopora_meandrina_HIv1___Sc1111111	14191275	14191594	+	320	0	0	0	0	0
lncRNA_233	Pocillopora_meandrina_HIv1___Sc1111111	14112236	14115212	+	2977	0	0	0	0	0
lncRNA_234	Pocillopora_meandrina_HIv1___Sc1111111	14112236	14115212	+	2977	0	0	0	0	0
lncRNA_235	Pocillopora_meandrina_HIv1___Sc1111111	14193313	14195334	+	2022	0	0	0	0	0
lncRNA_236	Pocillopora_meandrina_HIv1___Sc1111111	14263259	14266719	+	3461	0	0	0	0	0
lncRNA_237	Pocillopora_meandrina_HIv1___Sc1111111	14265379	14266719	+	1341	0	0	0	0	0
lncRNA_238	Pocillopora_meandrina_HIv1___Sc1111111	14199437	14211455	+	12019	0	0	0	0	0
lncRNA_239	Pocillopora_meandrina_HIv1___Sc1111111	14262658	14265125	+	2468	0	0	0	0	0
lncRNA_241	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	14266118;14266813	14271121;14268764	+;+	5004	0	0	0	0	0
lncRNA_242	Pocillopora_meandrina_HIv1___Sc1111111	14285269	14285585	+	317	0	0	0	0	0
lncRNA_243	Pocillopora_meandrina_HIv1___Sc1111111	14558186	14561217	+	3032	0	0	0	0	0
lncRNA_244	Pocillopora_meandrina_HIv1___Sc1111111	14559117	14563184	+	4068	0	0	0	0	0
lncRNA_245	Pocillopora_meandrina_HIv1___Sc1111111	14561766	14563184	+	1419	0	0	0	0	0
lncRNA_246	Pocillopora_meandrina_HIv1___Sc1111111	14562111	14565211	+	3101	0	0	0	0	0
lncRNA_247	Pocillopora_meandrina_HIv1___Sc1111111	14564311	14566284	+	1974	0	0	0	0	0
lncRNA_249	Pocillopora_meandrina_HIv1___Sc1111111	15516144	15527834	+	11691	0	0	0	0	0
lncRNA_251	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	15523758;15542657	15526581;15543424	+;+	3592	0	0	0	0	0
lncRNA_252	Pocillopora_meandrina_HIv1___Sc1111111	15555833	15556771	+	939	0	0	0	0	0
lncRNA_253	Pocillopora_meandrina_HIv1___Sc1111111	15581755	15585411	+	3657	0	0	0	0	0
lncRNA_254	Pocillopora_meandrina_HIv1___Sc1111111	16115551	16116711	+	1161	0	0	0	0	0
lncRNA_255	Pocillopora_meandrina_HIv1___Sc1111111	16192786	16194249	+	1464	0	0	0	0	0
lncRNA_256	Pocillopora_meandrina_HIv1___Sc1111111	16435932	16436657	+	726	0	0	0	0	0
lncRNA_257	Pocillopora_meandrina_HIv1___Sc1111111	16577979	16578311	+	333	0	0	0	0	0
lncRNA_258	Pocillopora_meandrina_HIv1___Sc1111111	17134198	17137312	+	3115	0	0	0	0	0
lncRNA_259	Pocillopora_meandrina_HIv1___Sc1111111	17131948	17132594	+	647	0	0	0	0	0
lncRNA_262	Pocillopora_meandrina_HIv1___Sc1111111	17418515	17419392	+	878	0	0	0	0	0
lncRNA_263	Pocillopora_meandrina_HIv1___Sc1111111	17551953	17552747	+	795	0	0	0	0	0
lncRNA_264	Pocillopora_meandrina_HIv1___Sc1111111	17566988	17572287	+	5300	0	0	0	0	0
lncRNA_265	Pocillopora_meandrina_HIv1___Sc1111111	18599615	18613131	+	13517	0	0	0	0	0
lncRNA_266	Pocillopora_meandrina_HIv1___Sc1111111	18599615	18613131	+	13517	0	0	0	0	0
lncRNA_267	Pocillopora_meandrina_HIv1___Sc1111111	18599615	18613131	+	13517	0	0	0	0	0
lncRNA_268	Pocillopora_meandrina_HIv1___Sc1111111	18599615	18613131	+	13517	0	0	0	0	0
lncRNA_269	Pocillopora_meandrina_HIv1___Sc1111111	18611316	18613131	+	1816	0	0	0	0	0
lncRNA_271	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	18611466;18611466	18613131;18613131	+;+	1666	0	0	0	0	0
lncRNA_272	Pocillopora_meandrina_HIv1___Sc1111111	18945743	18951393	+	5651	0	0	0	0	0
lncRNA_273	Pocillopora_meandrina_HIv1___Sc1111111	18956937	18961425	+	4489	0	0	0	0	0
lncRNA_274	Pocillopora_meandrina_HIv1___Sc1111111	19391758	19393137	+	1380	0	0	0	0	0
lncRNA_275	Pocillopora_meandrina_HIv1___Sc1111111	19399412	19471323	+	71912	0	0	0	0	0
lncRNA_276	Pocillopora_meandrina_HIv1___Sc1111111	19399438	19411982	+	12545	0	0	0	0	0
lncRNA_277	Pocillopora_meandrina_HIv1___Sc1111111	19414621	19416281	+	1661	0	0	0	0	0
lncRNA_278	Pocillopora_meandrina_HIv1___Sc1111111	19421118	19421769	+	652	0	0	0	0	0
lncRNA_279	Pocillopora_meandrina_HIv1___Sc1111111	19491256	19491737	+	482	0	0	0	0	0
lncRNA_281	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	19513157;19514137	19514139;19546397	+;+	33241	0	0	0	0	0
lncRNA_282	Pocillopora_meandrina_HIv1___Sc1111111	19522273	19533178	+	10906	0	0	0	0	0
lncRNA_283	Pocillopora_meandrina_HIv1___Sc1111111	19543879	19545281	+	1403	0	0	0	0	0
lncRNA_284	Pocillopora_meandrina_HIv1___Sc1111111	19554562	19555463	+	902	0	0	0	0	0
lncRNA_285	Pocillopora_meandrina_HIv1___Sc1111111	19614594	19616116	+	1523	0	0	0	0	0
lncRNA_286	Pocillopora_meandrina_HIv1___Sc1111111	19614612	19625994	+	11383	0	0	0	0	0
lncRNA_287	Pocillopora_meandrina_HIv1___Sc1111111	19616623	19627544	+	10922	0	0	0	0	0
lncRNA_288	Pocillopora_meandrina_HIv1___Sc1111111	19616843	19617868	+	1026	0	0	0	0	0
lncRNA_289	Pocillopora_meandrina_HIv1___Sc1111111	19619383	19621117	+	1735	0	0	0	0	0
lncRNA_291	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	19627613;19629259	19627823;19629552	+;+	505	0	0	0	0	0
lncRNA_292	Pocillopora_meandrina_HIv1___Sc1111111	19644725	19644972	+	248	0	0	0	0	0
lncRNA_293	Pocillopora_meandrina_HIv1___Sc1111111	19648887	19651121	+	2235	0	0	0	0	0
lncRNA_294	Pocillopora_meandrina_HIv1___Sc1111111	19648945	19652357	+	3413	0	0	0	0	0
lncRNA_295	Pocillopora_meandrina_HIv1___Sc1111111	19667164	19672473	+	5310	0	0	0	0	0
lncRNA_296	Pocillopora_meandrina_HIv1___Sc1111111	19672111	19676752	+	4642	0	0	0	0	0
lncRNA_297	Pocillopora_meandrina_HIv1___Sc1111111	19673165	19679534	+	6370	0	0	0	0	0
lncRNA_298	Pocillopora_meandrina_HIv1___Sc1111111	21913131	21914291	+	1161	0	0	0	0	0
