"miRNA","mean_expression","species"
"Cluster_4629",1327.78474355888,"P. evermanni"
"Cluster_4735",1027.10708311431,"P. evermanni"
"Cluster_5563",2476.30685120965,"P. evermanni"
"Cluster_5882",1298.38927912324,"P. evermanni"
"Cluster_6255",539.701956233954,"P. evermanni"
"Cluster_6904",2862.33855115367,"P. evermanni"
"Cluster_6905",1277.67886815106,"P. evermanni"
"Cluster_6906",2746.03976546294,"P. evermanni"
"Cluster_6914",44008.7082978717,"P. evermanni"
"Cluster_7053",5733.65675994094,"P. evermanni"
"Cluster_7657",2723.69747353407,"P. evermanni"
"Cluster_7658",1329.81224603426,"P. evermanni"
"Cluster_7855",342.082751626146,"P. evermanni"
"Cluster_8634",419.69090972285,"P. evermanni"
"Cluster_8884",32684.5593565828,"P. evermanni"
"Cluster_8887",62006.9584500445,"P. evermanni"
"Cluster_8888",20606.2679209052,"P. evermanni"
"Cluster_8988",31401.9279446011,"P. evermanni"
"Cluster_9149",177.645761265433,"P. evermanni"
"Cluster_9983",2669.31413967219,"P. evermanni"
"Cluster_10060",12259.9222747053,"P. evermanni"
"Cluster_10061",6121.23366332856,"P. evermanni"
"Cluster_10934",691.798972260014,"P. evermanni"
"Cluster_10965",12372.6266738307,"P. evermanni"
"Cluster_11134",53296.9529814473,"P. evermanni"
"Cluster_11135",207601.845981484,"P. evermanni"
"Cluster_11997",1061.20962755119,"P. evermanni"
"Cluster_13502",423.255459593209,"P. evermanni"
"Cluster_14500",179.313003613395,"P. evermanni"
"Cluster_14999",602.762741641393,"P. evermanni"
"Cluster_15726",1640.66556477604,"P. evermanni"
"Cluster_15890",1690.56700742806,"P. evermanni"
"Cluster_16498",2248.9967797814,"P. evermanni"
"Cluster_16738",760.080582705303,"P. evermanni"
"Cluster_21",5899.59189702916,"P. tuahiniensis"
"Cluster_36",100.061231027904,"P. tuahiniensis"
"Cluster_360",256299.471883319,"P. tuahiniensis"
"Cluster_390",1662.74816141064,"P. tuahiniensis"
"Cluster_757",2996.75680995061,"P. tuahiniensis"
"Cluster_925",51394.8807023749,"P. tuahiniensis"
"Cluster_1015",5388.78683276789,"P. tuahiniensis"
"Cluster_1068",118.473669568938,"P. tuahiniensis"
"Cluster_1080",1474.99091455634,"P. tuahiniensis"
"Cluster_1116",535.267007201203,"P. tuahiniensis"
"Cluster_1289",5231.53188636641,"P. tuahiniensis"
"Cluster_1296",401378.384354845,"P. tuahiniensis"
"Cluster_1793",61170.190107287,"P. tuahiniensis"
"Cluster_1938",27536.8247761446,"P. tuahiniensis"
"Cluster_1952",14391.6721856963,"P. tuahiniensis"
"Cluster_1953",5108.50592285827,"P. tuahiniensis"
"Cluster_2793",515.911277220686,"P. tuahiniensis"
"Cluster_2837",150.067917008233,"P. tuahiniensis"
"Cluster_2839",175.234557993245,"P. tuahiniensis"
"Cluster_2859",668.342911011936,"P. tuahiniensis"
"Cluster_2973",331.011965109787,"P. tuahiniensis"
"Cluster_3392",14940.8095023782,"P. tuahiniensis"
"Cluster_3661",1168.98655987895,"P. tuahiniensis"
"Cluster_4039",658.313142432445,"P. tuahiniensis"
"Cluster_4040",183.229790052175,"P. tuahiniensis"
"Cluster_4118",4887.13704960236,"P. tuahiniensis"
"Cluster_4435",9752.40586429666,"P. tuahiniensis"
"Cluster_4437",40296.9678554595,"P. tuahiniensis"
"Cluster_4438",2385.88898020389,"P. tuahiniensis"
"Cluster_4439",7389.16966868883,"P. tuahiniensis"
"Cluster_4572",58213.4900237485,"P. tuahiniensis"
"Cluster_4754",276.414608949747,"P. tuahiniensis"
"Cluster_4823",3337.21872706173,"P. tuahiniensis"
"Cluster_5253",83.4240670250446,"P. tuahiniensis"
"Cluster_5612",1633.62439666099,"P. tuahiniensis"
"Cluster_5740",12387.2833209106,"P. tuahiniensis"
"Cluster_6382",2420.57842236946,"P. tuahiniensis"
