"id","type","group","size","color"
"Pocillopora_meandrina_HIv1___RNAseq.g549.t1b","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g7360.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g2388.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g5141.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g28898.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g29320.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g16575.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21663.t3","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g1558.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18290.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5133.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g12427.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22440.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g6076.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g2276.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22816.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22088.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g9480.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5368.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g16818.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g18078.t3","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18023.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g7261.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g25846.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26345.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27756.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g25963.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g25933.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g23007.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11119.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21081.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27468.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27793.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g9583.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11546.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g16419.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15378.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15470.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g807.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g20080.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26469.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21739.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11181.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g16602.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g293.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g20424.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15523.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g3258.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g6185.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26465.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27884.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21320.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g1987.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g1040.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13783.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22875.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.8567_t","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g4243.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11161.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g16451.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g7132.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g514.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14976.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g6117.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g8464.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g23266.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18163.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13279.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g17978.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.9756_t","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g23639.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g1033.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26196.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26385.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g12113.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g24301.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g12193.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g9971.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g8061.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g9784.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g23603.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g8655.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21350.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g29280.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g24014.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g177.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g7248.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g490.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26433.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g27393.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g19078.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14695.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11538.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13302.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13379.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g3681.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g15954.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26877.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g12008.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g29818.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g30359.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5747.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g27445.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22817.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g19720.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g19282.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g20993.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11445.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g28515.t2b","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g297.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5338.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g17919.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g2373.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18093.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14438.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g19428.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14394.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g20181.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g11703.t1b","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g12751.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22695.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22032.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21904.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g9830.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g28356.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g4310.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g12426.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g17631.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g18289.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g25423.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26224.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g808.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g10673.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g4165.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g22070.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g4778.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g6162.t1a","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14719.t1c","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g13574.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g2495.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g21284.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g25934.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g9824.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g8619.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g23557.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g26182.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g26785.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g5374.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g20311.t2","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g7708.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g17683.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g24443.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g14189.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g20446.t1","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___RNAseq.g23519.t1a","mRNA","mRNA",10,"#4DBBD5"
"Pocillopora_meandrina_HIv1___TS.g416.t1","mRNA","mRNA",10,"#4DBBD5"
