gene_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___TS.g11577.t1,0,0,0,64,0
Pocillopora_meandrina_HIv1___RNAseq.g12254.t1,0,1,7,8,45
Pocillopora_meandrina_HIv1___RNAseq.g19630.t1,0,0,0,9,0
Pocillopora_meandrina_HIv1___TS.g2263.t1,0,0,0,0,0
STRG.7086,273,164,126,143,56
STRG.7087,1,3,9,7,7
STRG.7084,477,746,869,1471,347
STRG.7085,201,343,104,305,144
STRG.7082,1821,1128,4240,2478,1260
STRG.7083,2987,1476,5350,1823,1494
STRG.7080,58,50,13,32,8
STRG.7081,437,174,350,214,130
STRG.7088,208,302,188,219,49
STRG.7089,52,216,135,59,18
Pocillopora_meandrina_HIv1___RNAseq.g7386.t1,0,0,0,0,0
STRG.1866,5860,4908,10247,10481,8082
STRG.1867,608,852,803,707,483
STRG.1864,1079,1025,3391,2008,216
STRG.1865,33,187,87,290,18
STRG.1862,234,371,434,259,110
STRG.1863,3,3,3,2,0
STRG.1860,14,90,81,31,13
STRG.1861,4471,3191,3485,3708,1241
STRG.14052,1140,1756,2068,1844,724
STRG.14053,553,370,378,533,519
STRG.14050,16,0,0,18,0
STRG.14051,123,343,269,243,232
STRG.14056,103,159,303,124,48
STRG.14057,33,14,21,30,46
STRG.14054,380,334,712,436,26
STRG.1869,1658,1220,968,1218,659
STRG.9776,14,0,4,0,0
STRG.8508,46,0,27,111,46
STRG.8509,40,18,122,30,9
STRG.7338,13796,7179,14372,13589,13721
STRG.7339,6,0,0,0,0
STRG.16994,386,561,536,419,305
STRG.8502,133,75,238,142,58
STRG.7335,3055,1908,3609,3388,662
STRG.7336,13,13,81,94,0
STRG.8501,116,83,121,89,56
STRG.7330,1064,2128,1162,1755,1624
STRG.8507,3,36,19,12,0
STRG.7332,307,82,538,326,168
Pocillopora_meandrina_HIv1___RNAseq.g23.t1,0,8,23,11,14
STRG.9775,823,731,1302,494,263
Pocillopora_meandrina_HIv1___RNAseq.g19733.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g1362.t1,0,0,0,0,0
STRG.9773,75,193,107,143,18
STRG.16993,1306,417,2100,376,530
Pocillopora_meandrina_HIv1___RNAseq.g18191.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2663.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1937.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g20637.t1,0,0,7,5,0
Pocillopora_meandrina_HIv1___RNAseq.g7384.t1,0,0,1,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12860.t1,0,7,16,0,0
Pocillopora_meandrina_HIv1___TS.g14300.t1,0,17,0,2,0
Pocillopora_meandrina_HIv1___TS.g26926.t1,0,0,0,0,0
STRG.4063,440,485,406,578,453
Pocillopora_meandrina_HIv1___RNAseq.g26414.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28079.t1,0,0,0,0,0
STRG.6069,36,66,0,0,0
STRG.6068,550,1464,1029,1097,844
STRG.6067,4019,1787,4167,3546,2068
STRG.6066,186,60,31,22,76
STRG.6065,207,186,179,106,89
STRG.6064,3838,3174,3634,6192,1616
STRG.6063,831,386,886,406,514
STRG.6062,43,37,23,107,15
STRG.6061,575,1008,571,378,598
Pocillopora_meandrina_HIv1___RNAseq.g2661.t1,0,0,7,0,4
STRG.17025,536,860,1271,1176,414
STRG.17688,1577,1560,2258,2620,425
Pocillopora_meandrina_HIv1___RNAseq.g10883.t1,0,0,49,64,47
STRG.17689,2,11,0,3,1
Pocillopora_meandrina_HIv1___RNAseq.g17611.t1,0,129,34,48,42
Pocillopora_meandrina_HIv1___RNAseq.g8589.t1,0,0,0,0,0
STRG.12069,12,41,102,165,88
STRG.17683,12,221,22,42,0
Pocillopora_meandrina_HIv1___RNAseq.g16573.t1,0,51,45,86,14
Pocillopora_meandrina_HIv1___TS.g10972.t1,0,0,15,0,0
Pocillopora_meandrina_HIv1___TS.g27606.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g5989.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1893.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16950.t1,0,6,0,15,0
Pocillopora_meandrina_HIv1___RNAseq.g12256.t1,0,0,0,14,0
Pocillopora_meandrina_HIv1___RNAseq.g10695.t1,0,0,7,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6557.t1,0,0,0,10,0
Pocillopora_meandrina_HIv1___RNAseq.g24220.t1,0,8,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30177.t1,0,0,0,0,0
STRG.7214,2543,742,2541,1726,1324
Pocillopora_meandrina_HIv1___RNAseq.g27078.t1,0,0,12,4,0
Pocillopora_meandrina_HIv1___TS.g28760.t1b,0,0,1,3,0
Pocillopora_meandrina_HIv1___TS.g28760.t1c,0,0,0,1,7
Pocillopora_meandrina_HIv1___TS.g28760.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g27229.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5035.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5035.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27336.t1,0,0,19,21,0
Pocillopora_meandrina_HIv1___RNAseq.g3489.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g5223.t1b,0,0,71,35,0
STRG.17616,768,1934,1152,2366,418
STRG.13523,63,132,81,0,34
Pocillopora_meandrina_HIv1___RNAseq.g24222.t1,0,6,0,0,0
STRG.13521,481,712,463,635,470
STRG.13520,1,0,0,0,0
STRG.13527,223,218,638,305,80
STRG.13526,1103,1489,746,1714,2348
STRG.13525,538,633,932,1456,1143
STRG.13524,47,98,81,95,99
Pocillopora_meandrina_HIv1___RNAseq.g1935.t1,0,0,0,0,0
STRG.13529,10,9,7,0,0
STRG.13528,191,205,261,136,40
Pocillopora_meandrina_HIv1___RNAseq.g29315.t1,0,0,0,0,2
Pocillopora_meandrina_HIv1___TS.g17446.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18313.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5008.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14551.t1,0,0,30,1,2
Pocillopora_meandrina_HIv1___TS.g15192.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14932.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g17885.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14649.t1,0,69,60,19,6
Pocillopora_meandrina_HIv1___RNAseq.g22064.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g11394.t1,0,0,0,0,0
STRG.1017,1536,1361,1186,2089,898
STRG.18750,130,158,260,286,44
Pocillopora_meandrina_HIv1___RNAseq.g19859.t1,0,0,0,0,0
STRG.1015,527,439,985,533,126
Pocillopora_meandrina_HIv1___RNAseq.g5582.t1,0,0,0,4430,2766
STRG.1014,205,330,215,245,224
STRG.18755,16,30,5,28,3
STRG.1012,484,174,488,340,257
STRG.157,565,716,833,575,365
STRG.18757,789,1111,743,1047,633
STRG.18756,62832,39366,124242,63257,27229
Pocillopora_meandrina_HIv1___RNAseq.g14930.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23709.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8773.t1,0,0,0,3,0
Pocillopora_meandrina_HIv1___RNAseq.g10753.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8908.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g20076.t1,0,0,43,51,0
Pocillopora_meandrina_HIv1___RNAseq.g22066.t1,0,13,44,12,18
Pocillopora_meandrina_HIv1___RNAseq.g21849.t1,0,0,0,0,0
STRG.7604,38,103,48,58,15
Pocillopora_meandrina_HIv1___TS.g16439.t1,0,0,7,35,9
Pocillopora_meandrina_HIv1___RNAseq.g2366.t1,0,3,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5580.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3184.t1,0,0,0,0,0
STRG.9021,216,439,395,429,405
Pocillopora_meandrina_HIv1___RNAseq.g12908.t1,0,7,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2669.t1,0,0,29,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23587.t2,0,251,111,105,71
Pocillopora_meandrina_HIv1___RNAseq.g17930.t1,0,31,39,32,0
Pocillopora_meandrina_HIv1___TS.g21485.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13265.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16752.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21139.t1,0,0,0,48,0
Pocillopora_meandrina_HIv1___TS.g12917.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9168.t1,0,0,3,0,0
STRG.3773,100,47,275,160,54
Pocillopora_meandrina_HIv1___TS.g19244.t1,0,8,14,14,0
STRG.3597,375,589,347,465,268
Pocillopora_meandrina_HIv1___TS.g17586.t1,0,742,275,532,388
Pocillopora_meandrina_HIv1___RNAseq.g25049.t1,0,0,0,0,0
STRG.5592,494,292,248,535,61
STRG.9074,354,177,153,71,113
STRG.9077,250,191,106,251,215
STRG.5591,88,123,485,485,483
STRG.5596,470,388,426,290,179
STRG.9070,2474,6121,3977,6181,2734
STRG.9073,824,318,657,492,417
STRG.9072,448,387,411,376,159
STRG.5598,113,124,98,74,183
STRG.5599,529,582,696,814,244
STRG.9079,129,75,120,64,40
STRG.9078,742,387,557,594,181
Pocillopora_meandrina_HIv1___RNAseq.g8385.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19638.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9939.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15062.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g247.t1,0,27,0,14,21
Pocillopora_meandrina_HIv1___RNAseq.g8415.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7792.t1,0,13,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21987.t1,0,0,0,0,0
STRG.15528,80,108,139,192,40
Pocillopora_meandrina_HIv1___RNAseq.g9860.t1b,0,0,16,0,0
Pocillopora_meandrina_HIv1___RNAseq.g762.t1,0,0,0,0,0
STRG.4245,10,38,92,41,50
STRG.4244,1589,865,2203,1550,529
STRG.4247,18,77,68,72,40
STRG.4246,546,186,342,547,254
STRG.4241,447,282,418,654,2
STRG.4240,26,1,0,0,0
STRG.4243,1949,1989,3358,2992,2754
STRG.4242,626,623,781,1200,0
STRG.4249,227,634,339,518,381
STRG.4248,3,9,14,4,7
STRG.14298,14,0,94,0,0
STRG.14299,1554,1729,1746,1524,668
Pocillopora_meandrina_HIv1___TS.g14219.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12939.t1,0,5,0,0,0
STRG.14290,495,624,287,396,352
STRG.14291,14397,3407,5095,8173,5187
STRG.14292,274,412,412,348,162
STRG.14293,4845,5234,8234,3760,3098
STRG.14294,713,629,606,337,150
STRG.14295,122,134,157,64,37
STRG.14296,2703,4546,1428,3202,1778
STRG.14297,385,617,201,1030,176
STRG.7538,344,279,654,447,373
STRG.7539,126,187,184,121,55
Pocillopora_meandrina_HIv1___RNAseq.g28881.t1,0,0,0,0,0
STRG.7537,286,514,262,881,162
STRG.7534,7,22,51,4,16
STRG.7535,2155,4734,6232,2746,2157
STRG.7532,3811,1459,5626,2811,1066
STRG.7533,102,409,177,178,240
STRG.7530,481,332,608,398,560
STRG.7531,386,273,272,472,88
STRG.3628,719,758,958,945,590
STRG.3629,482,254,510,563,131
STRG.3626,836,333,1012,578,512
STRG.3627,508,566,529,700,462
STRG.3624,89,8,128,26,19
STRG.3625,124,136,100,99,35
STRG.3622,609,562,547,458,344
STRG.3623,116,240,117,149,188
STRG.3620,2909,2637,3356,3563,1749
STRG.3621,697,502,693,546,355
Pocillopora_meandrina_HIv1___RNAseq.g9012.t1,0,0,0,0,0
STRG.15653,867,4940,2486,3076,2537
STRG.15652,388,1224,707,533,135
Pocillopora_meandrina_HIv1___RNAseq.g14707.t1,0,0,0,0,0
STRG.15650,1765,2778,1731,3048,1367
STRG.15657,2666,2514,4467,4233,3081
Pocillopora_meandrina_HIv1___RNAseq.g1239.t1,0,0,0,0,2
STRG.15655,475,785,791,427,364
STRG.15654,6904,5461,7406,8494,3755
STRG.15659,9,0,0,0,0
STRG.15658,64,12,14,27,0
Pocillopora_meandrina_HIv1___RNAseq.g10323.t1,0,12,27,37,0
STRG.3195,1441,1383,1672,1791,1623
STRG.3196,4235,2472,3051,3497,1710
STRG.3197,471,681,450,922,442
STRG.3190,3773,4362,3204,7125,225
STRG.3191,387,707,538,474,99
STRG.3192,1421,1643,1843,1556,452
STRG.3193,1794,1464,2256,2442,183
STRG.3198,7,48,22,9,0
STRG.3199,331,183,852,711,205
STRG.12924,474,516,568,348,100
STRG.12925,8,22,45,126,72
STRG.12926,193,154,169,182,557
STRG.12927,1926,3983,2344,3577,1305
STRG.12920,449,291,310,158,147
STRG.12921,2653,2155,4884,2571,2044
STRG.12922,2309,1356,1835,1942,417
STRG.12923,7734,1464,12174,4961,1289
STRG.12928,108,143,46,221,118
STRG.12929,117,118,102,278,138
Pocillopora_meandrina_HIv1___RNAseq.g25151.t1,0,0,6,0,0
Pocillopora_meandrina_HIv1___RNAseq.g12676.t1,0,0,0,0,1
STRG.6661,325,97,40,189,0
STRG.6660,1059,4376,1060,3280,521
STRG.6663,819,753,1020,667,414
STRG.6662,1022,782,1073,913,536
STRG.6665,500,344,755,675,275
STRG.6664,86,34,80,186,15
STRG.6667,3320,1362,3187,2045,768
STRG.6666,68,106,107,57,65
STRG.6669,83,113,104,273,55
STRG.6668,936,846,876,847,553
STRG.2571,487,537,494,522,290
STRG.2570,957,910,817,657,320
STRG.2573,40,204,85,358,121
STRG.2572,41,36,50,98,16
STRG.2575,634,418,663,754,101
STRG.2574,44,69,49,20,36
STRG.2577,186,452,213,672,224
STRG.2576,1270,1055,1144,1199,521
STRG.2579,174,155,101,514,0
STRG.2578,7,89,404,202,640
Pocillopora_meandrina_HIv1___RNAseq.g18187.t1,0,196,11,0,11
Pocillopora_meandrina_HIv1___TS.g14051.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7512.t1,0,0,0,0,0
STRG.17725,86,0,88,95,15
STRG.17724,5,0,0,0,0
STRG.17727,175,80,73,15,43
STRG.17726,14,32,62,305,51
STRG.17721,1095,624,737,3880,549
STRG.17720,382,341,113,287,155
STRG.17723,81,43,148,88,34
STRG.17722,129,78,246,972,147
Pocillopora_meandrina_HIv1___RNAseq.g26729.t1,0,0,0,0,10
STRG.17729,645,226,406,1582,290
STRG.17728,22,27,0,0,43
Pocillopora_meandrina_HIv1___TS.g21819.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20434.t1,0,10,16,0,0
STRG.5794,14,45,52,35,64
Pocillopora_meandrina_HIv1___RNAseq.g27685.t1,0,0,0,0,0
STRG.860,199,233,101,179,107
STRG.18127,698,700,629,1278,673
STRG.18124,143,453,150,571,436
STRG.18125,3520,4427,5655,5794,1015
STRG.18122,23,5,10,16,7
STRG.18123,25,0,0,0,0
STRG.866,316,453,336,276,161
STRG.867,28,209,0,39,0
STRG.868,7,0,0,9,2
STRG.869,580,781,551,802,67
Pocillopora_meandrina_HIv1___TS.g25007.t1,0,0,0,0,0
STRG.5795,681,564,688,370,298
STRG.18128,529,162,358,217,218
STRG.18129,31323,24173,28180,31485,24399
Pocillopora_meandrina_HIv1___RNAseq.g21033.t1,0,8,0,0,0
STRG.5929,230,250,232,198,111
STRG.5928,278,401,439,524,493
STRG.5923,4117,2034,6036,3165,1145
STRG.5922,977,889,1449,783,581
STRG.5921,10660,7962,9405,11045,3715
STRG.19830,114,78,146,170,248
STRG.5927,4622,4507,6687,6299,1629
STRG.19836,43,123,110,297,197
STRG.19835,88,128,183,319,222
STRG.19834,1413,646,2444,1135,1583
Pocillopora_meandrina_HIv1___RNAseq.g26008.t1,0,0,20,2,0
STRG.19485,334,448,275,707,99
Pocillopora_meandrina_HIv1___RNAseq.g24792.t1,0,0,0,0,75
Pocillopora_meandrina_HIv1___TS.g7312.t1,0,10,0,0,0
STRG.5797,89,175,97,8,15
STRG.13721,264,301,666,374,49
STRG.13720,2174,1356,4287,2524,1762
STRG.13723,2107,1284,3156,1372,1543
STRG.13722,242,356,426,619,66
STRG.13725,525,718,410,1452,617
STRG.13724,242,285,332,282,143
STRG.13727,141,251,216,322,386
STRG.13726,50,198,32,140,104
STRG.13729,231,390,257,911,85
STRG.13728,12,4,0,13,1
Pocillopora_meandrina_HIv1___TS.g23612.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9255.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g21254.t1,0,0,10,0,59
STRG.11769,329,405,545,411,1218
STRG.11768,40,15,0,6,0
STRG.11763,660,1540,1433,640,166
STRG.11762,8,35,38,28,73
STRG.11761,62,151,84,168,42
STRG.11760,175,141,143,222,82
STRG.11767,493,1836,1044,1620,1114
STRG.11766,1929,1027,2329,1638,907
STRG.11765,42,49,31,36,31
STRG.11764,1434,4635,2504,1906,1339
