"target","std_gene_name"
"Pocillopora_meandrina_HIv1___RNAseq.g11551.t1","TUT7"
"Pocillopora_meandrina_HIv1___RNAseq.g11551.t1","TUT4"
"Pocillopora_meandrina_HIv1___TS.g16639.t1","SFPQ"
"Pocillopora_meandrina_HIv1___RNAseq.g22614.t1","RAN"
"Pocillopora_meandrina_HIv1___TS.g16639.t1","NONO"
"Pocillopora_meandrina_HIv1___RNAseq.g7872.t2","KHSRP"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1","AGO4"
"Pocillopora_meandrina_HIv1___RNAseq.g17898.t1","HSP90AA1"
"Pocillopora_meandrina_HIv1___RNAseq.g9675.t1","DIS3L2"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1","AGO1"
"Pocillopora_meandrina_HIv1___RNAseq.g29883.t1","AGO2"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1","AGO2"
"Pocillopora_meandrina_HIv1___RNAseq.g1186.t1","DDX17"
"Pocillopora_meandrina_HIv1___RNAseq.g17990.t1","DICER1"
"Pocillopora_meandrina_HIv1___TS.g20979.t1","DICER1"
"Pocillopora_meandrina_HIv1___RNAseq.g30183.t1","DICER1"
"Pocillopora_meandrina_HIv1___RNAseq.g17992.t1","DICER1"
"Pocillopora_meandrina_HIv1___RNAseq.g30183.t1","DICER2"
"Pocillopora_meandrina_HIv1___RNAseq.g7234.t1","HENMT1"
"Pocillopora_meandrina_HIv1___RNAseq.g6627.t2","HYL1"
"Pocillopora_meandrina_HIv1___RNAseq.g23590.t1","LIN28A"
"Pocillopora_meandrina_HIv1___RNAseq.g22939.t1","YBX1"
"Pocillopora_meandrina_HIv1___RNAseq.g26677.t1","PHAX"
"Pocillopora_meandrina_HIv1___TS.g24094.t1","XPO1"
"Pocillopora_meandrina_HIv1___RNAseq.g14879.t1","PQBP1"
"Pocillopora_meandrina_HIv1___TS.g16639.t1","PSPC1"
