"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"12","FUN_037197","GO:0001951","intestinal D-glucose absorption",1,1,0.05,0.046,"Biological Processes",1638,"Cluster_10057","ptg000026l:6939106-6952961",151,-24.31,2,12,10530,10551,10,"90.00%","100.00%",0.952004547110457,0.0125309051280864,0.766084851142397
"13","FUN_037197","GO:0001951","intestinal D-glucose absorption",1,1,0.05,0.046,"Biological Processes",10342,"Cluster_15340","ptg000026l:6939106-6952961",151,-20.47,2,21,11071,11094,21,"66.67%","71.43%",0.890070444570193,0.0430240757634002,0.96546924320845
"14","FUN_041862","GO:0007268","chemical synaptic transmission",1,1,0.05,0.046,"Biological Processes",10668,"Cluster_15340","ptg000035l:8345462-8365338",157,-20.42,2,21,5777,5802,23,"69.57%","82.61%",0.943583650426879,0.0159489323448747,0.825728207212733
"15","FUN_000185","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",28,"Cluster_10051","ntLink_6:68889-102137",154,-20.44,2,20,5812,5834,19,"68.42%","78.95%",0.92342976870302,0.0251403778916514,0.914225011702335
"16","FUN_001185","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",7865,"Cluster_15340","ntLink_6:9515184-9537797",148,-20.15,2,19,5600,5620,17,"70.59%","76.47%",0.947441765072564,0.0143496471366301,0.790371801170072
"17","FUN_001185","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",7866,"Cluster_15340","ntLink_6:9515184-9537797",180,-25.76,2,21,13187,13208,19,"84.21%","89.47%",0.947441765072564,0.0143496471366301,0.790371801170072
"18","FUN_001185","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",24734,"Cluster_3250","ntLink_6:9515184-9537797",158,-20.1,2,18,2337,2356,16,"81.25%","87.50%",0.962191910607784,0.00877470536916211,0.704240592446023
"19","FUN_001743","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",29506,"Cluster_3437","ntLink_6:15498414-15544466",162,-20.28,2,22,36404,36428,23,"73.91%","78.26%",0.930488545649681,0.0217689553708519,0.892661273341612
"20","FUN_002351","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",27827,"Cluster_3367","ntLink_8:416026-432037",154,-21.48,2,23,5627,5650,21,"66.67%","66.67%",0.901190116865585,0.0367274339340651,0.96546924320845
"21","FUN_002584","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",21389,"Cluster_19193","ntLink_8:4014044-4088104",155,-20.35,2,17,37415,37437,16,"81.25%","81.25%",0.905320740525534,0.0344707097637681,0.951977514811544
"22","FUN_002584","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",21390,"Cluster_19193","ntLink_8:4014044-4088104",155,-21.44,2,17,48678,48700,16,"81.25%","81.25%",0.905320740525534,0.0344707097637681,0.951977514811544
"23","FUN_004160","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",1919,"Cluster_10093","ntLink_8:19926098-19956331",172,-26.52,2,21,908,929,19,"68.42%","94.74%",0.901691154249339,0.0364512677793994,0.964371290348139
"24","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",7374,"Cluster_15316","ntLink_8:26577233-26653579",168,-21.19,2,21,54463,54484,19,"73.68%","84.21%",0.983047003339369,0.0026429935003153,0.545343267336266
"25","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",7375,"Cluster_15316","ntLink_8:26577233-26653579",168,-21.19,2,21,8357,8378,19,"73.68%","84.21%",0.983047003339369,0.0026429935003153,0.545343267336266
"26","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",14523,"Cluster_17776","ntLink_8:26577233-26653579",148,-20.99,2,13,19939,19960,11,"81.82%","90.91%",0.921881200051779,0.0259007113765099,0.914225011702335
"27","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",16711,"Cluster_1862","ntLink_8:26577233-26653579",181,-20.63,2,22,26831,26854,20,"75.00%","95.00%",0.878428897099984,0.0499455657085085,0.96546924320845
"28","FUN_004759","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",16712,"Cluster_1862","ntLink_8:26577233-26653579",182,-23.67,2,23,76239,76262,21,"71.43%","95.24%",0.878428897099984,0.0499455657085085,0.96546924320845
"29","FUN_006453","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",32937,"Cluster_5012","ptg000001l:12604506-12649968",156,-23.32,2,20,12080,12103,21,"71.43%","85.71%",0.904980153168729,0.034655050305563,0.952513415374047
"30","FUN_009297","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",16942,"Cluster_1862","ptg000004l:5059952-5071678",164,-20.5,2,17,8834,8857,15,"80.00%","93.33%",0.937404896480489,0.0186219063956949,0.852966441206645
"31","FUN_009548","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",11119,"Cluster_15775","ptg000004l:8379591-8388916",164,-21.2,2,22,5669,5693,22,"72.73%","77.27%",0.950621043656932,0.0130738520743087,0.766084851142397
"32","FUN_009564","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",11121,"Cluster_15775","ptg000004l:8619850-8625170",164,-21.2,2,22,1661,1685,22,"72.73%","77.27%",0.950621043656932,0.0130738520743086,0.766084851142397
"33","FUN_010924","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",12155,"Cluster_15854","ptg000007l:4293710-4343874",172,-24.18,2,22,31571,31595,22,"72.73%","86.36%",0.913608267600998,0.0300837998998572,0.922979388371587
"34","FUN_010924","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",35865,"Cluster_5981","ptg000007l:4293710-4343874",164,-22.95,2,21,22341,22363,19,"73.68%","78.95%",0.899239323397575,0.0378090025451677,0.96546924320845
"35","FUN_012749","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",30338,"Cluster_4220","ptg000008l:12118398-12141406",166,-24.41,2,21,22440,22464,22,"77.27%","81.82%",0.994420889998343,0.00049982441214311,0.47842171191394
"36","FUN_016011","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",2225,"Cluster_10093","ptg000010l:562362-638956",160,-20.95,2,17,16846,16867,15,"73.33%","93.33%",0.9400418958727,0.0174646848774344,0.847898695599974
"37","FUN_019017","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",17193,"Cluster_1862","ptg000012l:16317129-16339064",152,-20.37,2,23,1220,1247,25,"64.00%","72.00%",0.965879035304126,0.00752714821298847,0.677079544727381
"38","FUN_019017","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",36330,"Cluster_5981","ptg000012l:16317129-16339064",141,-21.26,2,11,14576,14599,10,"90.00%","90.00%",0.985729145835356,0.00204209978526332,0.545343267336266
"39","FUN_020894","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",370,"Cluster_10051","ptg000015l:9635285-9640715",155,-23.33,2,19,3613,3634,18,"77.78%","83.33%",0.95689662558587,0.0106726617238051,0.733804862705068
"40","FUN_022250","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",32330,"Cluster_4254","ptg000016l:6748556-6857345",166,-20.75,2,21,19841,19864,21,"80.95%","80.95%",0.899440300704146,0.0376971135626401,0.96546924320845
"41","FUN_022839","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",36574,"Cluster_5981","ptg000017l:535065-557452",150,-20.21,2,21,8063,8084,19,"68.42%","73.68%",0.981579459967742,0.00299284177166417,0.545343267336266
"42","FUN_023791","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",28524,"Cluster_3367","ptg000017l:11173746-11202290",162,-20.31,2,15,440,463,13,"92.31%","92.31%",0.917064450061654,0.028311776072188,0.91957570445875
"43","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",15039,"Cluster_17776","ptg000018l:10778222-10839694",143,-20.9,2,17,26460,26484,18,"66.67%","72.22%",0.90231701138244,0.0361072389525903,0.961868437247265
"44","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",15040,"Cluster_17776","ptg000018l:10778222-10839694",145,-23.42,2,10,16807,16828,8,"100.00%","100.00%",0.90231701138244,0.0361072389525903,0.961868437247265
"45","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",15041,"Cluster_17776","ptg000018l:10778222-10839694",148,-20.21,2,17,48433,48454,15,"66.67%","80.00%",0.90231701138244,0.0361072389525903,0.961868437247265
"46","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",15042,"Cluster_17776","ptg000018l:10778222-10839694",155,-26.66,2,21,2397,2419,20,"65.00%","80.00%",0.90231701138244,0.0361072389525903,0.961868437247265
"47","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",17354,"Cluster_1862","ptg000018l:10778222-10839694",175,-22.37,2,22,20070,20096,23,"78.26%","86.96%",0.925679487450355,0.0240488987892045,0.911947326397717
"48","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",36614,"Cluster_5981","ptg000018l:10778222-10839694",150,-20.33,2,21,25850,25874,21,"66.67%","76.19%",0.955549922452847,0.0111744359659583,0.747577521623926
"49","FUN_024769","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",36615,"Cluster_5981","ptg000018l:10778222-10839694",167,-29.03,2,22,53888,53909,20,"75.00%","85.00%",0.955549922452847,0.0111744359659583,0.747577521623926
"50","FUN_027944","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",15167,"Cluster_17776","ptg000021l:13617159-13693050",151,-21.53,2,21,45685,45707,20,"60.00%","80.00%",0.896733236549055,0.0392130410919689,0.96546924320845
"51","FUN_029338","GO:0004713","protein tyrosine kinase activity",12,3,0.65,0.03756,"Molecular Functions",28988,"Cluster_3367","ptg000023l:721082-751497",153,-21.07,2,22,2520,2543,20,"60.00%","75.00%",0.964841211748435,0.00787192552099142,0.680396051502148
"52","FUN_029339","GO:0004713","protein tyrosine kinase activity",12,3,0.65,0.03756,"Molecular Functions",14099,"Cluster_16409","ptg000023l:757033-769220",146,-20.93,2,21,9059,9075,19,"68.42%","73.68%",0.923271160227114,0.0252179169400392,0.914225011702335
"53","FUN_029339","GO:0004713","protein tyrosine kinase activity",12,3,0.65,0.03756,"Molecular Functions",14100,"Cluster_16409","ptg000023l:757033-769220",161,-21.48,2,18,7699,7720,16,"81.25%","81.25%",0.923271160227114,0.0252179169400392,0.914225011702335
"54","FUN_029362","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",9757,"Cluster_15340","ptg000023l:1046378-1138049",162,-25.65,2,21,9308,9328,19,"73.68%","84.21%",0.970100616912309,0.00617831139630447,0.645799531888362
"55","FUN_029470","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",29647,"Cluster_3437","ptg000023l:2206284-2235124",173,-21.12,2,22,3555,3577,20,"75.00%","85.00%",0.950712724544707,0.0130376403053232,0.766084851142397
"56","FUN_029891","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",10001,"Cluster_15340","ptg000023l:7502349-7624044",153,-20.46,2,20,121495,121515,18,"66.67%","83.33%",0.969669625255797,0.00631196757397471,0.650869726396611
"57","FUN_029891","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",10002,"Cluster_15340","ptg000023l:7502349-7624044",155,-21.43,2,21,121280,121302,20,"65.00%","80.00%",0.969669625255797,0.00631196757397471,0.650869726396611
"58","FUN_029891","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",24461,"Cluster_2859","ptg000023l:7502349-7624044",162,-23.13,2,21,59003,59024,19,"78.95%","78.95%",0.938846770330219,0.0179861650831173,0.847898695599974
"59","FUN_030064","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",22542,"Cluster_19193","ptg000023l:9008068-9028389",149,-22.35,2,21,10990,11015,23,"69.57%","73.91%",0.912025316316309,0.0309068554511072,0.924698279049826
"60","FUN_031754","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",9846,"Cluster_15340","ptg000023l:25013286-25079263",154,-20.18,2,20,33895,33917,19,"73.68%","73.68%",0.89260888894331,0.0415588812273226,0.96546924320845
"61","FUN_031754","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",34871,"Cluster_5900","ptg000023l:25013286-25079263",163,-20.98,2,16,14497,14518,14,"85.71%","92.86%",0.889107093732144,0.0435843291462744,0.96546924320845
"62","FUN_031832","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",18213,"Cluster_18711","ptg000023l:25860793-25887552",177,-26.05,2,20,12658,12678,18,"88.89%","94.44%",0.972396547334341,0.00548242320560006,0.613510272455366
"63","FUN_032682","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",521,"Cluster_10051","ptg000023l:34914485-34921100",159,-21.77,2,21,2414,2437,21,"71.43%","76.19%",0.97290904560828,0.00533086387440018,0.608342299863651
"64","FUN_034477","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",23707,"Cluster_2463","ptg000024l:9132776-9173468",174,-20.44,2,19,29519,29540,17,"88.24%","88.24%",0.915586901615608,0.0290650988123937,0.922979388371587
"65","FUN_034727","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",554,"Cluster_10051","ptg000024l:10891149-10969335",164,-22.8,2,21,24482,24501,19,"78.95%","89.47%",0.956914300026385,0.0106661266299942,0.733580352911324
"66","FUN_036841","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",32670,"Cluster_4254","ptg000026l:2547585-2584812",171,-23.42,2,21,30104,30127,21,"76.19%","85.71%",0.903937694153947,0.0352212236042921,0.956247814697462
"67","FUN_037067","GO:0003964","RNA-directed DNA polymerase activity",135,17,7.31,0.00076,"Molecular Functions",12076,"Cluster_15851","ptg000026l:5211111-5265627",168,-21.55,2,21,34376,34397,19,"78.95%","78.95%",0.920769702408316,0.0264509299983265,0.914225011702335
