"POR.71" "POR.73" "POR.76" "POR.79" "POR.82"
"lncRNA_122" 0 0 25 0 0
"lncRNA_123" 85 1 50 2 17
"lncRNA_125" 131 0 0 1 121
"lncRNA_126" 58 0 0 0 51
"lncRNA_127" 13 8 34 24 30
"lncRNA_128" 0 0 36 0 0
"lncRNA_129" 80 92 10 18 59
"lncRNA_130" 0 1 28 0 0
"lncRNA_132" 103 24 20 130 507
"lncRNA_133" 152 91 268 170 499
"lncRNA_134" 31 20 48 40 82
"lncRNA_135" 0 0 46 4 0
"lncRNA_136" 643 278 71 187 659
"lncRNA_138" 206 82 978 144 265
"lncRNA_139" 17 0 24 0 5
"lncRNA_142" 18 6 185 25 96
"lncRNA_143" 342 114 415 258 1233
"lncRNA_144" 23 12 270 14 11
"lncRNA_145" 0 15 32 3 11
"lncRNA_146" 14 0 54 1 12
"lncRNA_147" 797 299 136 488 2098
"lncRNA_148" 0 0 66 1 2
"lncRNA_149" 0 1 54 0 21
"lncRNA_150" 0 0 40 8 2
"lncRNA_151" 4 26 32 32 14
"lncRNA_152" 42 13 47 44 50
"lncRNA_153" 869 399 811 331 1081
"lncRNA_154" 0 0 24 0 0
"lncRNA_155" 4 0 39 10 6
"lncRNA_156" 3 0 115 8 24
"lncRNA_157" 77 27 46 12 115
"lncRNA_158" 253 4 22 50 3
"lncRNA_159" 0 0 38 5 5
"lncRNA_160" 6 2 36 6 3
"lncRNA_161" 0 0 56 0 0
"lncRNA_162" 12 0 40 2 0
"lncRNA_163" 0 0 20 2 2
"lncRNA_164" 51 4 90 27 67
"lncRNA_165" 475 11 37 153 784
"lncRNA_166" 95 48 6 37 135
"lncRNA_167" 477 169 475 131 1424
"lncRNA_168" 881 128 137 249 654
"lncRNA_169" 0 0 28 0 0
"lncRNA_171" 16 5 32 1 8
"lncRNA_172" 30 20 74 26 32
"lncRNA_173" 25 5 32 4 11
"lncRNA_174" 383 52 755 364 617
"lncRNA_175" 9 1 0 8 6
"lncRNA_179" 6 8 24 19 35
"lncRNA_180" 66 42 19 9 12
"lncRNA_181" 130 38 217 90 159
"lncRNA_182" 67 15 442 317 208
"lncRNA_183" 25 0 34 0 21
"lncRNA_184" 0 0 32 0 0
"lncRNA_185" 0 0 28 0 0
"lncRNA_186" 5 0 30 0 0
"lncRNA_187" 88 43 151 88 153
"lncRNA_188" 0 0 26 0 2
"lncRNA_189" 15 0 44 9 5
"lncRNA_190" 7 5 53 15 12
"lncRNA_191" 2 2 56 11 4
"lncRNA_192" 105 61 683 70 168
"lncRNA_193" 150 68 249 38 152
"lncRNA_194" 2 0 26 1 0
"lncRNA_195" 476 206 703 605 1865
"lncRNA_196" 0 0 0 1 44
"lncRNA_197" 5 0 1 1 27
"lncRNA_198" 191 142 139 113 320
"lncRNA_199" 451 120 82 167 653
"lncRNA_201" 24 18 305 42 67
"lncRNA_202" 0 0 30 0 3
"lncRNA_203" 12 17 52 0 1
"lncRNA_204" 43 12 32 22 81
"lncRNA_205" 30 1 95 7 48
"lncRNA_206" 81 61 213 101 81
"lncRNA_207" 3 5 50 48 21
"lncRNA_209" 247 73 100 432 728
"lncRNA_210" 0 3 68 13 4
"lncRNA_211" 243 32 276 88 167
"lncRNA_212" 6 0 28 0 0
"lncRNA_213" 0 0 42 3 1
"lncRNA_214" 5 0 43 0 0
"lncRNA_215" 4 0 42 0 7
"lncRNA_216" 43 30 250 64 24
"lncRNA_217" 150 0 251 42 55
"lncRNA_218" 587 1792 1520 469 1170
"lncRNA_220" 5682 143 237 67 1847
"lncRNA_221" 60 12 349 0 48
"lncRNA_222" 0 71 169 0 1
"lncRNA_223" 91 0 0 26 21
"lncRNA_224" 8 1 13 7 2
"lncRNA_225" 2 0 58 0 0
"lncRNA_226" 0 0 28 0 0
"lncRNA_227" 6 46 65 5 42
"lncRNA_228" 4 6 31 1 7
"lncRNA_229" 8 1 44 2 22
"lncRNA_230" 5 4 33 2 0
"lncRNA_231" 162 66 93 128 180
"lncRNA_235" 17 4 77 0 6
"lncRNA_236" 17 3 68 3 22
"lncRNA_237" 137 21 2 0 4
"lncRNA_238" 4 0 38 0 0
"lncRNA_239" 10 0 40 0 6
"lncRNA_240" 34 40 38 11 222
"lncRNA_241" 178 147 304 234 244
"lncRNA_242" 26 0 0 0 0
"lncRNA_243" 16 0 74 2 4
"lncRNA_244" 442 73 879 349 714
"lncRNA_248" 36 4 0 7 81
"lncRNA_249" 2669 812 1160 1019 5729
"lncRNA_250" 22 0 283 67 49
"lncRNA_251" 367 98 155 0 90
"lncRNA_252" 0 47 0 0 285
"lncRNA_253" 30 12 3 8 21
"lncRNA_254" 0 0 46 0 0
"lncRNA_255" 269 74 76 0 0
"lncRNA_256" 9 1762 2 225 388
"lncRNA_257" 0 0 0 0 83
"lncRNA_258" 56559 38544 56470 155 194
"lncRNA_259" 0 0 42 0 0
"lncRNA_260" 15 22 40 2 0
"lncRNA_261" 1504 187 47 2185 834
"lncRNA_262" 29 26 0 29 77
"lncRNA_263" 127 61 0 42 78
"lncRNA_264" 0 185 4 0 312
"lncRNA_265" 0 4 29 0 4
"lncRNA_266" 0 14 0 0 34
"lncRNA_268" 0 0 10 3 0
"lncRNA_269" 1068 584 2491 628 1658
"lncRNA_270" 2 0 39 0 3
"lncRNA_271" 3045 1885 3106 1971 4473
"lncRNA_272" 0 0 0 1 30
"lncRNA_273" 529 83 450 3 404
"lncRNA_274" 4 0 50 0 2
"lncRNA_275" 295 343 49 99 275
"lncRNA_276" 0 0 46 0 0
"lncRNA_277" 193 89 444 78 249
"lncRNA_278" 911 381 616 798 1798
"lncRNA_279" 228 238 73 14 54
"lncRNA_280" 3 0 17 0 11
"lncRNA_282" 182 29 20 70 728
"lncRNA_283" 0 12 0 2 21
"lncRNA_284" 50 0 1 8 0
"lncRNA_289" 19 36 0 7 38
"lncRNA_291" 241 75 384 130 100
"lncRNA_292" 0 2 79 2 46
"lncRNA_293" 2 14 94 0 4
"lncRNA_294" 0 0 32 0 2
"lncRNA_295" 11 6 40 10 1
"lncRNA_296" 3 0 20 2 23
"lncRNA_297" 7 3 48 7 35
"lncRNA_298" 3 7 24 1 10
"lncRNA_299" 2 7 74 2 0
"lncRNA_300" 0 1 34 0 19
"lncRNA_303" 0 9 0 2 4
"lncRNA_304" 196 38 433 117 328
"lncRNA_305" 37 51 178 12 73
"lncRNA_306" 32 21 75 18 17
"lncRNA_307" 153 101 122 124 211
"lncRNA_308" 472 146 1458 1010 854
"lncRNA_309" 525 100 454 615 533
"lncRNA_310" 14 15 0 27 30
"lncRNA_311" 2 1 28 6 10
"lncRNA_312" 0 0 36 0 0
"lncRNA_313" 0 0 24 0 2
"lncRNA_314" 2 0 0 0 64
"lncRNA_317" 31 0 54 0 58
"lncRNA_318" 0 0 42 8 8
"lncRNA_319" 0 0 79 0 0
"lncRNA_320" 13 6 102 16 56
"lncRNA_321" 15 13 79 9 64
"lncRNA_322" 0 0 34 0 6
"lncRNA_323" 0 0 28 0 0
"lncRNA_324" 0 0 28 0 0
"lncRNA_325" 3551 1462 4050 2656 4149
"lncRNA_326" 836 72 718 196 446
"lncRNA_327" 0 0 37 0 0
"lncRNA_328" 169 229 354 116 199
"lncRNA_330" 8 0 0 0 29
"lncRNA_331" 0 2 29 0 0
"lncRNA_332" 4 0 294 157 52
"lncRNA_333" 0 0 37 0 0
"lncRNA_334" 306 37 392 149 557
"lncRNA_335" 537 112 350 199 959
"lncRNA_336" 0 0 31 0 0
"lncRNA_337" 0 0 34 9 0
"lncRNA_338" 76 40 60 45 140
"lncRNA_339" 7 0 20 34 10
"lncRNA_340" 0 0 10 0 32
"lncRNA_341" 0 0 34 16 0
"lncRNA_342" 144 556 174 62 224
"lncRNA_343" 0 0 36 8 0
"lncRNA_344" 0 0 38 9 0
"lncRNA_345" 163 40 154 106 154
"lncRNA_346" 105 54 291 101 55
"lncRNA_347" 0 4 34 0 3
"lncRNA_350" 0 0 38 0 0
"lncRNA_351" 11 2 2 12 11
"lncRNA_352" 92 20 89 55 75
"lncRNA_353" 719 363 937 309 1790
"lncRNA_354" 337 121 384 155 315
"lncRNA_355" 0 0 70 0 0
"lncRNA_356" 0 0 24 0 0
"lncRNA_357" 0 0 28 0 0
"lncRNA_358" 322 441 843 168 776
"lncRNA_359" 18 11 0 3 77
"lncRNA_360" 333 18 82 33 120
"lncRNA_361" 2 0 34 0 0
"lncRNA_362" 2 4 30 6 2
"lncRNA_363" 8 5 97 2 13
"lncRNA_364" 0 0 28 0 0
"lncRNA_365" 8 0 36 0 24
"lncRNA_366" 0 0 30 0 0
"lncRNA_367" 10 2 34 0 4
"lncRNA_368" 0 0 38 2 1
"lncRNA_369" 0 0 28 0 0
"lncRNA_370" 0 0 32 0 0
"lncRNA_371" 269 171 2 10 50
"lncRNA_372" 3 0 76 0 27
"lncRNA_373" 3 1 84 0 6
"lncRNA_374" 1090 285 112 622 884
"lncRNA_375" 1 0 51 0 4
"lncRNA_376" 21 34 291 63 99
"lncRNA_377" 187 96 289 90 206
"lncRNA_378" 12 3 26 0 8
"lncRNA_379" 352 529 165 126 362
"lncRNA_381" 10 16 37 8 13
"lncRNA_382" 1069 5 712 2 1305
"lncRNA_383" 20 47 98 12 59
"lncRNA_384" 169 27 101 22 43
"lncRNA_385" 0 0 25 4 3
"lncRNA_386" 32 9 40 22 2
"lncRNA_387" 0 0 38 0 0
"lncRNA_388" 7 2 28 0 7
"lncRNA_391" 8883 886 3415 2741 11100
"lncRNA_393" 8 0 92 10 14
"lncRNA_394" 19 2 57 6 349
"lncRNA_395" 0 2 88 0 0
"lncRNA_396" 0 2 28 0 0
"lncRNA_397" 0 7 50 0 1
"lncRNA_398" 2268 597 250 788 1665
"lncRNA_399" 5 5 38 5 2
"lncRNA_400" 9 0 97 2 6
"lncRNA_401" 2 0 32 2 5
"lncRNA_402" 96 2 32 0 123
"lncRNA_403" 0 0 40 4 0
"lncRNA_404" 408 436 174 53 1166
"lncRNA_405" 17 0 114 4 41
"lncRNA_413" 113 72 29 26 165
"lncRNA_414" 9 0 30 2 0
"lncRNA_415" 16 2 142 45 15
"lncRNA_416" 12 0 90 12 20
"lncRNA_417" 33 118 223 21 355
"lncRNA_418" 50 56 107 11 11
"lncRNA_419" 5 22 62 10 16
"lncRNA_420" 8 6 57 0 34
"lncRNA_421" 22 18 24 2 8
"lncRNA_422" 14 3 69 2 0
"lncRNA_423" 9 311 20 811 2283
"lncRNA_424" 52 12 87 37 4
"lncRNA_425" 6 0 60 0 2
"lncRNA_428" 3 1 30 2 7
"lncRNA_429" 202 0 0 0 146
"lncRNA_433" 778 98 384 236 1049
"lncRNA_435" 409 14 384 80 221
"lncRNA_436" 0 12 48 0 0
"lncRNA_437" 0 4 38 0 0
"lncRNA_438" 18 2 50 0 9
"lncRNA_439" 4 0 24 1 0
"lncRNA_440" 0 0 38 0 0
"lncRNA_441" 67 25 58 35 45
"lncRNA_442" 132 49 120 39 74
"lncRNA_443" 103 21 30 22 136
"lncRNA_444" 74 2 56 20 44
"lncRNA_445" 4 10 46 0 15
"lncRNA_446" 10 8 24 14 7
"lncRNA_447" 121 61 120 8 159
"lncRNA_448" 6 4 15 0 49
"lncRNA_449" 7 39 46 0 92
"lncRNA_450" 53 56 264 65 158
"lncRNA_451" 6 0 0 0 2
"lncRNA_452" 3841 983 1959 1946 6659
"lncRNA_453" 231 139 182 42 278
"lncRNA_458" 0 0 40 3 0
"lncRNA_459" 189 130 726 87 232
"lncRNA_462" 0 0 39 0 0
"lncRNA_463" 317 300 401 181 535
"lncRNA_464" 24 2 76 18 22
"lncRNA_465" 50 13 121 0 49
"lncRNA_466" 159 77 211 68 397
"lncRNA_467" 240 18 2 8 423
"lncRNA_468" 309 75 163 132 584
"lncRNA_469" 393 75 136 60 487
"lncRNA_471" 13 8 13 12 140
"lncRNA_472" 3 0 26 14 1
"lncRNA_473" 4 4 34 0 2
"lncRNA_474" 2 15 30 8 14
"lncRNA_475" 17 3 70 0 26
"lncRNA_476" 3 0 28 0 0
"lncRNA_477" 63 47 383 49 62
"lncRNA_478" 49 120 51 43 59
"lncRNA_479" 1 0 0 32 35
"lncRNA_480" 2 5 22 14 310
"lncRNA_483" 45 32 109 27 35
"lncRNA_484" 15 4 72 9 4
"lncRNA_485" 3 0 45 14 40
"lncRNA_486" 1 0 38 9 6
"lncRNA_489" 0 0 28 5 0
"lncRNA_490" 9 15 152 61 29
"lncRNA_495" 1562 379 2388 838 1788
"lncRNA_496" 9 2 39 20 12
"lncRNA_500" 483 358 709 349 578
"lncRNA_501" 2 0 42 1 0
"lncRNA_502" 63 28 48 11 42
"lncRNA_503" 42 77 0 0 0
"lncRNA_504" 2 0 24 0 8
"lncRNA_505" 10 5 60 5 7
"lncRNA_506" 16 2 163 6 84
"lncRNA_507" 20 10 108 25 124
"lncRNA_508" 10 6 24 0 15
"lncRNA_509" 0 0 36 3 0
"lncRNA_510" 0 0 36 0 0
"lncRNA_511" 4 26 30 4 81
"lncRNA_512" 159 37 222 133 52
"lncRNA_513" 0 0 57 0 9
"lncRNA_514" 97 65 354 60 139
"lncRNA_515" 0 0 24 0 0
"lncRNA_516" 28 9 68 0 22
"lncRNA_517" 10 9 28 19 33
"lncRNA_518" 6 0 32 2 4
"lncRNA_519" 2 2 26 9 4
"lncRNA_520" 0 0 34 8 2
"lncRNA_528" 0 34 208 178 189
"lncRNA_529" 0 0 53 7 12
"lncRNA_530" 1 0 38 11 24
"lncRNA_531" 0 23 120 33 69
"lncRNA_532" 0 0 38 7 2
"lncRNA_534" 10 0 36 0 9
"lncRNA_535" 0 0 26 0 0
"lncRNA_536" 253 19 27 18 303
"lncRNA_537" 86 33 143 46 103
"lncRNA_538" 0 0 25 10 0
"lncRNA_539" 163 70 0 152 151
"lncRNA_540" 64 8 12 12 74
"lncRNA_541" 2592 484 32 1231 5189
"lncRNA_542" 18 0 0 0 14
"lncRNA_543" 4 0 36 0 33
"lncRNA_544" 251 191 11 6 101
"lncRNA_545" 1064 534 2282 561 1026
"lncRNA_546" 3 0 102 35 22
"lncRNA_548" 2 0 35 7 4
"lncRNA_551" 2215 926 1221 968 3544
"lncRNA_552" 2 0 30 0 0
"lncRNA_553" 556 242 521 585 684
"lncRNA_554" 54 25 82 89 83
"lncRNA_555" 8 19 0 12 38
"lncRNA_556" 0 0 30 0 0
"lncRNA_557" 27 49 241 76 57
"lncRNA_558" 21 9 66 21 31
"lncRNA_559" 44 8 70 21 21
"lncRNA_560" 34 1 94 7 11
"lncRNA_561" 6 0 7 0 1
"lncRNA_562" 3 0 36 0 0
"lncRNA_563" 1170 344 791 97 1065
"lncRNA_564" 55 30 48 0 91
"lncRNA_565" 0 0 26 2 0
"lncRNA_566" 0 0 48 2 0
"lncRNA_567" 139 57 29 13 102
"lncRNA_568" 3 10 32 0 6
"lncRNA_569" 2 0 39 0 7
"lncRNA_570" 0 2 35 0 0
"lncRNA_571" 33 37 112 11 160
"lncRNA_572" 6 7 45 0 3
"lncRNA_573" 8 9 71 5 12
"lncRNA_574" 15 15 20 2 35
"lncRNA_575" 0 0 32 0 3
"lncRNA_576" 0 3 58 2 1
"lncRNA_577" 13 9 30 0 7
"lncRNA_578" 17 12 233 32 18
"lncRNA_581" 886 78 783 277 737
"lncRNA_582" 1766 752 479 637 1699
"lncRNA_583" 133 72 191 7 68
"lncRNA_584" 196 72 179 83 157
"lncRNA_585" 69 75 79 60 112
"lncRNA_586" 11 0 0 2 17
"lncRNA_587" 84 12 43 68 85
"lncRNA_588" 1 0 26 0 5
"lncRNA_589" 0 0 29 0 2
"lncRNA_590" 4 0 32 0 2
"lncRNA_591" 9 4 85 7 9
"lncRNA_592" 0 0 28 0 0
"lncRNA_593" 62 6 0 12 0
"lncRNA_594" 712 255 260 317 398
"lncRNA_595" 0 0 37 8 6
"lncRNA_596" 8 4 2951 15 21
"lncRNA_597" 972 192 752 411 2375
"lncRNA_598" 186 263 330 115 233
"lncRNA_599" 22 42 0 0 5
"lncRNA_600" 46 10 56 0 88
"lncRNA_607" 49 34 88 43 56
"lncRNA_608" 0 0 32 4 3
"lncRNA_609" 2 9 20 2 27
"lncRNA_610" 21 42 37 0 65
"lncRNA_611" 0 0 59 0 0
"lncRNA_612" 3 0 84 8 0
"lncRNA_613" 7 24 17 4 30
"lncRNA_614" 34 0 196 6 1
"lncRNA_615" 0 0 24 0 0
"lncRNA_616" 0 2 122 0 0
"lncRNA_617" 15 14 65 0 26
"lncRNA_618" 116 51 91 23 158
"lncRNA_619" 5 0 24 4 4
"lncRNA_620" 1441 525 30 919 1698
"lncRNA_621" 2 0 28 0 0
"lncRNA_622" 51 11 19 0 14
"lncRNA_623" 26 73 47 24 108
"lncRNA_626" 134 0 0 348 366
"lncRNA_627" 1 5 49 3 0
"lncRNA_628" 8 8 116 0 2
"lncRNA_629" 0 5 129 20 28
"lncRNA_630" 1 0 22 8 4
"lncRNA_631" 41 11 24 21 95
"lncRNA_632" 4 0 26 13 11
"lncRNA_633" 7 10 40 0 18
"lncRNA_634" 4 4 18 7 8
"lncRNA_635" 0 0 36 0 0
"lncRNA_636" 4 2 42 0 0
"lncRNA_637" 0 0 0 0 6
"lncRNA_639" 4 0 91 2 2
"lncRNA_640" 227 154 298 202 322
"lncRNA_641" 287 4993 359 145 143
"lncRNA_644" 199 149 535 420 468
"lncRNA_645" 22 2 0 3 32
"lncRNA_647" 29 0 0 1 15
"lncRNA_648" 0 0 60 0 2
"lncRNA_649" 21 16 59 18 96
"lncRNA_650" 3 3 22 2 48
"lncRNA_651" 100 24 94 45 84
"lncRNA_652" 24 106 75 64 101
"lncRNA_653" 17 4 184 2 39
"lncRNA_654" 0 0 26 0 0
"lncRNA_655" 0 0 27 0 0
"lncRNA_656" 0 0 46 0 3
"lncRNA_657" 2 0 35 0 0
"lncRNA_658" 101 16 221 83 1171
"lncRNA_661" 53 17 21 26 49
"lncRNA_662" 18 27 22 23 22
"lncRNA_663" 0 0 57 47 0
"lncRNA_664" 0 0 37 10 0
"lncRNA_665" 2 0 85 1 0
"lncRNA_666" 3 358 2 157 2
"lncRNA_673" 0 15 6 187 0
"lncRNA_674" 0 80 0 0 948
"lncRNA_675" 25 7 38 2 5
"lncRNA_676" 341 6 201 60 1
"lncRNA_677" 675 17 829 182 589
"lncRNA_679" 0 0 26 2 0
"lncRNA_680" 0 0 44 2 0
"lncRNA_681" 467 230 571 579 610
"lncRNA_683" 48 55 41 0 0
"lncRNA_684" 16 7 531 130 328
"lncRNA_685" 22 26 9 0 0
"lncRNA_686" 6 1 78 8 4
"lncRNA_687" 90 16 48 30 65
"lncRNA_688" 1236 646 688 1081 1685
"lncRNA_689" 38 71 94 33 33
"lncRNA_690" 3 0 36 0 0
"lncRNA_691" 20 2 54 0 4
"lncRNA_692" 347 115 1017 164 156
"lncRNA_693" 44 18 28 30 68
"lncRNA_694" 0 0 24 0 0
"lncRNA_695" 0 11 46 0 3
"lncRNA_696" 11 6 78 10 63
"lncRNA_697" 12 93 146 8 59
"lncRNA_698" 101 26 99 71 104
"lncRNA_699" 31 53 128 65 63
"lncRNA_701" 14 0 46 7 6
"lncRNA_702" 179 154 325 232 414
"lncRNA_703" 14 166 0 0 3
"lncRNA_704" 26 8 82 28 31
"lncRNA_705" 15 1 152 0 0
"lncRNA_706" 0 0 46 0 4
"lncRNA_707" 93 0 32 33 110
"lncRNA_708" 5 0 63 0 5
"lncRNA_710" 365 99 234 2 13
"lncRNA_711" 6 21 35 33 34
"lncRNA_712" 9 0 62 0 10
"lncRNA_713" 82 0 267 0 14
"lncRNA_714" 0 0 34 0 0
"lncRNA_716" 9 0 32 0 0
"lncRNA_717" 62 13 100 23 20
"lncRNA_718" 0 0 64 7 0
"lncRNA_719" 1 0 58 8 0
"lncRNA_720" 294 20 266 146 246
"lncRNA_721" 2 0 152 26 82
"lncRNA_722" 16 1 48 31 10
"lncRNA_723" 29 0 55 0 2
"lncRNA_724" 6 17 23 6 37
"lncRNA_725" 10 0 44 9 13
"lncRNA_726" 0 0 40 0 6
"lncRNA_727" 195 79 330 200 215
"lncRNA_728" 1119 637 373 8 610
"lncRNA_729" 18 26 117 1 31
"lncRNA_730" 282 64 19 213 686
"lncRNA_731" 24 6 109 11 47
"lncRNA_734" 115 0 11 47 63
"lncRNA_735" 0 0 31 0 0
"lncRNA_736" 14 0 42 14 18
"lncRNA_737" 3 0 48 7 8
"lncRNA_738" 117 2 270 70 246
"lncRNA_739" 65 14 0 0 129
"lncRNA_740" 206 31 18 24 228
"lncRNA_741" 52 45 16 21 46
"lncRNA_742" 1 0 88 2 0
"lncRNA_744" 6 0 32 12 134
"lncRNA_745" 28 8 0 5 17
"lncRNA_746" 6 0 32 10 11
"lncRNA_747" 86 98 13 307 231
"lncRNA_748" 1747 1874 10913 8408 7450
"lncRNA_749" 0 0 23 0 0
"lncRNA_750" 0 8 18 21 0
"lncRNA_751" 0 6 0 0 58
"lncRNA_752" 0 0 31 0 22
"lncRNA_753" 74 149 5 83 1
"lncRNA_754" 57 51 492 107 161
"lncRNA_755" 9 0 45 24 0
"lncRNA_758" 37 48 145 19 49
"lncRNA_759" 0 16 89 12 0
"lncRNA_760" 0 0 101 66 1
"lncRNA_761" 0 2 59 0 0
"lncRNA_762" 64 21 129 30 36
"lncRNA_763" 0 0 28 0 0
"lncRNA_767" 932 213 398 391 1040
"lncRNA_770" 0 0 41 12 0
"lncRNA_771" 35 47 179 34 46
"lncRNA_772" 0 15 0 1 0
"lncRNA_774" 652 1735 194 101 423
"lncRNA_775" 473 359 992 319 555
"lncRNA_776" 0 0 36 0 0
"lncRNA_777" 0 2 121 4 17
"lncRNA_778" 439 75 359 290 390
"lncRNA_782" 6 0 45 0 0
"lncRNA_783" 204 64 0 145 510
"lncRNA_784" 2027 300 221 179 1003
"lncRNA_785" 57 19 80 20 22
"lncRNA_786" 3 0 24 0 6
"lncRNA_787" 28 0 255 50 72
"lncRNA_788" 126 14 189 123 79
"lncRNA_789" 77 20 10 61 37
"lncRNA_790" 2 0 26 0 0
"lncRNA_791" 0 0 31 0 2
"lncRNA_792" 10 5 21 0 0
"lncRNA_794" 0 0 46 0 0
"lncRNA_795" 110 0 4 19 10
"lncRNA_796" 14 0 100 44 8
"lncRNA_797" 6 0 16 11 2
"lncRNA_798" 1 1 0 6 2
"lncRNA_799" 4 0 38 4 1
"lncRNA_800" 91 45 59 121 281
"lncRNA_801" 2 0 2 0 19
"lncRNA_802" 0 0 34 0 0
"lncRNA_803" 0 0 24 0 0
"lncRNA_804" 43 16 70 19 15
"lncRNA_805" 4 0 23 0 4
"lncRNA_806" 4 1 85 0 0
"lncRNA_807" 306 571 484 1182 273
"lncRNA_808" 53 18 194 10 13
"lncRNA_809" 1 2 66 3 0
"lncRNA_810" 2 0 32 0 1
"lncRNA_811" 57 12 88 18 33
"lncRNA_812" 1283 292 2726 830 1433
"lncRNA_813" 46 42 13 48 90
"lncRNA_814" 3159 1325 5308 2378 4480
"lncRNA_815" 3 7 64 2 5
"lncRNA_816" 28 2 72 22 24
"lncRNA_817" 89 17 147 15 445
"lncRNA_818" 4 0 125 2 15
"lncRNA_819" 41 22 72 29 58
"lncRNA_820" 1 6 31 6 6
"lncRNA_822" 39 0 2 4 114
"lncRNA_823" 8 0 0 2 6
"lncRNA_824" 0 0 18 1 19
"lncRNA_825" 1605 1125 4320 1594 1915
"lncRNA_826" 15 0 28 0 11
"lncRNA_827" 22 0 8 11 32
"lncRNA_828" 11 14 112 10 51
"lncRNA_829" 71 847 476 602 1271
