accession,protein_name,gene_name,std_gene_name,species
A0A913XFQ4,"mRNA-decapping enzyme C-terminal domain-containing protein",DCP1 OS=Exaiptasia diaphana OX=2652724,DCP1,"Exaiptasia diaphana"
A0A9W9YCJ7,"mRNA-decapping enzyme 1B",DCP1B_1,DCP1B,"Desmophyllum pertusum"
A0AAD9UT92,"mRNA-decapping enzyme 1B",P5673_030896,DCP1B,"Acropora cervicornis"
A0AAU9WFN7,"mRNA-decapping enzyme C-terminal domain-containing protein",PMEA_00004724,DCP1,"Pocillopora meandrina"
A0ABM4C5V2,"mRNA-decapping enzyme 1A isoform X3",LOC100205078,DCP1A,"Hydra vulgaris"
A0ABN8PDU0,"mRNA-decapping enzyme C-terminal domain-containing protein",PLOB_00041966,DCP1,"Porites lobata"
A0ABN8T0K5,"mRNA-decapping enzyme C-terminal domain-containing protein",PEVE_00033504,DCP1,"Porites evermanni"
A0A3M6UA93,"DIS3-like exonuclease 2",pdam_00009227,DIS3L2,"Pocillopora damicornis"
A0A6P8IBF1,"DIS3-like exonuclease 2",LOC116297931,DIS3L2,"Actinia tenebrosa"
A0A6S7HY99,"DIS3-like exonuclease 2",PACLA_8A015944,DIS3L2,"Paramuricea clavata"
A0A913XKY9,"DIS3-like exonuclease 2",DIS3L2 OS=Exaiptasia diaphana OX=2652724,DIS3L2,"Exaiptasia diaphana"
A0A913YMU4,"DIS3-like exonuclease 2",DIS3L2 OS=Exaiptasia diaphana OX=2652724,DIS3L2,"Exaiptasia diaphana"
A0AAD9QGC6,"DIS3-like exonuclease 2",P5673_016780,DIS3L2,"Acropora cervicornis"
T2M9C5,"DIS3-like exonuclease 2",DIS3L2,DIS3L2,"Hydra vulgaris"
A0A2B4SIN6,"DIS3-like exonuclease 2",Dis3l2,DIS3L2,"Stylophora pistillata"
A0A9W9YJY0,"DIS3-like exonuclease 2",DIS3L2_2,DIS3L2,"Desmophyllum pertusum"
A0ABM4CVR5,"DIS3-like exonuclease 2",LOC100211666,DIS3L2,"Hydra vulgaris"
A0ABN8LW62,"DIS3-like exonuclease 2",PEVE_00004333,DIS3L2,"Porites evermanni"
A0A2B4SRT0,"RNA-binding protein EWS",EWSR1,EWSR1,"Stylophora pistillata"
P55265,"Double-stranded RNA-specific adenosine deaminase",ADAR,ADAR,"Homo sapiens"
P78563,"Double-stranded RNA-specific editase 1",ADARB1,ADARB1,"Homo sapiens"
Q91ZS8,"Double-stranded RNA-specific editase 1",Adarb1,ADARB1,"Mus musculus"
F1R5H6,"Bromodomain-containing protein 4",brd4,BRD4,"Danio rerio"
O60885,"Bromodomain-containing protein 4",BRD4,BRD4,"Homo sapiens"
Q9ESU6,"Bromodomain-containing protein 4",Brd4,BRD4,"Mus musculus"
Q08D75,"Bromodomain-containing protein 4A",brd4-a,BRD4,"Xenopus laevis"
Q6DFF2,"Bromodomain-containing protein 4B",brd4-b,BRD4,"Xenopus laevis"
P49711,"Transcriptional repressor CTCF",CTCF,CTCF,"Homo sapiens"
Q61164,"Transcriptional repressor CTCF",Ctcf,CTCF,"Mus musculus"
Q9R1D1,"Transcriptional repressor CTCF",Ctcf,CTCF,"Rattus norvegicus"
Q08705,"Transcriptional repressor CTCF",CTCF,CTCF,"Gallus gallus"
O57437,"Deleted in azoospermia-like-A",dazl-a,DAZL,"Xenopus laevis"
Q64368,"Deleted in azoospermia-like",Dazl,DAZL,"Mus musculus"
Q92904,"Deleted in azoospermia-like",DAZL,DAZL,"Homo sapiens"
Q9YGW7,"Deleted in azoospermia-like",dazl,DAZL,"Danio rerio"
Q76CY5,"Deleted in azoospermia-like",dazl,DAZL,"Xenopus tropicalis"
Q95192,"Deleted in azoospermia-like",DAZL,DAZL,"Macaca fascicularis"
Q9BGN8,"Deleted in azoospermia-like",DAZL,DAZL,"Callithrix jacchus"
Q4V7Y4,"Deleted in azoospermia-like-B",dazl-b,DAZL,"Xenopus laevis"
Q804A9,"Deleted in azoospermia-like",DAZL,DAZL,"Gallus gallus"
O88508,"DNA (cytosine-5)-methyltransferase 3A",Dnmt3a,DNMT3A,"Mus musculus"
Q1LZ53,"DNA (cytosine-5)-methyltransferase 3A",Dnmt3a,DNMT3A,"Rattus norvegicus"
Q4W5Z4,"DNA (cytosine-5)-methyltransferase 3A",DNMT3A,DNMT3A,"Gallus gallus"
Q9Y6K1,"DNA (cytosine-5)-methyltransferase 3A",DNMT3A,DNMT3A,"Homo sapiens"
O88509,"DNA (cytosine-5)-methyltransferase 3B",Dnmt3b,DNMT3B,"Mus musculus"
Q9UBC3,"DNA (cytosine-5)-methyltransferase 3B",DNMT3B,DNMT3B,"Homo sapiens"
A0A2B4RAA2,"Exosome complex component RRP45",Exosc9,EXOSC9,"Stylophora pistillata"
A0A2B4RF23,"Exosome complex component RRP46",Exosc5,EXOSC5,"Stylophora pistillata"
A0A2B4S5V0,"Exosome complex component RRP4",Exosc2,EXOSC2,"Stylophora pistillata"
A0A9W9YLS2,"Exosome complex component RRP45",EXOSC9,EXOSC9,"Desmophyllum pertusum"
A0A9X0CGQ7,"Exosome complex component RRP4",EXOSC2,EXOSC2,"Desmophyllum pertusum"
T2ME73,"Exosome complex component 10 homolog",EXOSC10,EXOSC10,"Hydra vulgaris"
A0A2B4RYW7,"Exosome complex component MTR3",exosc6,EXOSC6,"Stylophora pistillata"
A0A2B4S0L2,"Putative exosome complex component RRP41",Exosc4,EXOSC4,"Stylophora pistillata"
A0A2B4S9F0,"Ribosomal RNA-processing protein 42",EXOSC7,EXOSC7,"Stylophora pistillata"
A0A2B4SR58,"Exosome complex component RRP40",exosc3,EXOSC3,"Stylophora pistillata"
A0A2B4T141,"Ribosomal RNA-processing protein 43",EXOSC8,EXOSC8,"Stylophora pistillata"
A0A9W9YAL0,"Exosome complex component RRP41",EXOSC4,EXOSC4,"Desmophyllum pertusum"
A0A9W9YM72,"Ribosomal RNA-processing protein 43",EXOSC8,EXOSC8,"Desmophyllum pertusum"
A0A9W9YRF8,"Ribosomal RNA-processing protein 42",EXOSC7,EXOSC7,"Desmophyllum pertusum"
A0A9W9ZG60,"Exosome component 5",EXOSC5_2,EXOSC5,"Desmophyllum pertusum"
A0A9X0CUG7,"Exosome complex component MTR3",EXOSC6,EXOSC6,"Desmophyllum pertusum"
T2M4E6,"Exosome complex component RRP40",EXOSC3,EXOSC3,"Hydra vulgaris"
T2M4V1,"Exosome complex component RRP46",EXOSC5,EXOSC5,"Hydra vulgaris"
T2ME10,"Exosome complex component RRP4",EXOSC2,EXOSC2,"Hydra vulgaris"
T2ME23,"Exosome complex component RRP45",EXOSC9,EXOSC9,"Hydra vulgaris"
T2M320,"Exosome complex component CSL4",EXOSC1,EXOSC1,"Hydra vulgaris"
T2M320,"Exosome complex component CSL4",EXOSC1,EXOSC1,"Hydra vulgaris"
P70351,"Histone-lysine N-methyltransferase EZH1",Ezh1,EZH1,"Mus musculus"
Q92800,"Histone-lysine N-methyltransferase EZH1",EZH1,EZH1,"Homo sapiens"
A7E2Z2,"Histone-lysine N-methyltransferase EZH1",EZH1,EZH1,"Bos taurus"
Q5RDS6,"Histone-lysine N-methyltransferase EZH1",EZH1,EZH1,"Pongo abelii"
A0A6P8H599,"RNA-binding protein FUS-like isoform X1",LOC116288841,FUS,"Actinia tenebrosa"
A0AAU9WDG7,"RNA-binding protein FUS",PMEA_00003736,FUS,"Pocillopora meandrina"
T2MGK7,"RNA-binding protein FUS",FUS,FUS,"Hydra vulgaris"
A0A6S7FTL3,"RNA-binding FUS-like isoform X1",PACLA_8A053281,FUS,"Paramuricea clavata"
A0ABN8Q272,"RNA-binding protein FUS",PEVE_00001166,FUS,"Porites evermanni"
A0A1P8KZZ1,"histone deacetylase",Hdac2,HDAC2,"Hydractinia echinata"
A0A2B4SH89,"histone deacetylase",HDAC1,HDAC1,"Stylophora pistillata"
A0A9X0CEI1,"histone deacetylase",HDAC2,HDAC2,"Desmophyllum pertusum"
T2M8M1,"histone deacetylase",HDAC2,HDAC2,"Hydra vulgaris"
P04256,"Heterogeneous nuclear ribonucleoprotein A1",Hnrnpa1,HNRNPA1,"Rattus norvegicus"
P09651,"Heterogeneous nuclear ribonucleoprotein A1",HNRNPA1,HNRNPA1,"Homo sapiens"
P09867,"Heterogeneous nuclear ribonucleoprotein A1",HNRNPA1,HNRNPA1,"Bos taurus"
P49312,"Heterogeneous nuclear ribonucleoprotein A1",Hnrnpa1,HNRNPA1,"Mus musculus"
A5A6H4,"Heterogeneous nuclear ribonucleoprotein A1",HNRNPA1,HNRNPA1,"Pan troglodytes"
Q28521,"Heterogeneous nuclear ribonucleoprotein A1",HNRNPA1,HNRNPA1,"Macaca mulatta"
P17130,"Heterogeneous nuclear ribonucleoproteins A1 homolog",hnrnpa1,HNRNPA1,"Xenopus laevis"
A7VJC2,"Heterogeneous nuclear ribonucleoproteins A2/B1",Hnrnpa2b1,HNRNPA2B1,"Rattus norvegicus"
O88569,"Heterogeneous nuclear ribonucleoproteins A2/B1",Hnrnpa2b1,HNRNPA2B1,"Mus musculus"
P22626,"Heterogeneous nuclear ribonucleoproteins A2/B1",HNRNPA2B1,HNRNPA2B1,"Homo sapiens"
Q2HJ60,"Heterogeneous nuclear ribonucleoproteins A2/B1",HNRNPA2B1,HNRNPA2B1,"Bos taurus"
Q5RBU8,"Heterogeneous nuclear ribonucleoproteins A2/B1",HNRNPA2B1,HNRNPA2B1,"Pongo abelii"
Q9TTV2,"Heterogeneous nuclear ribonucleoproteins A2/B1",HNRNPA2B1,HNRNPA2B1,"Saguinus oedipus"
Q9VFS6,"Integrator complex subunit 5",omd,INTS5,"Drosophila melanogaster"
A7SBF0,"Integrator complex subunit 9 homolog",ints9,INTS9,"Nematostella vectensis"
Q54SH0,"Integrator complex subunit 9 homolog",ints9,INTS9,"Dictyostelium discoideum"
Q6DFF4,"Integrator complex subunit 9",ints9,INTS9,"Xenopus laevis"
Q4V847,"Integrator complex subunit 8",ints8,INTS8,"Xenopus laevis"
Q8JGR7,"Integrator complex subunit 7",ints7,INTS7,"Danio rerio"
Q54PL2,"Integrator complex subunit 7 homolog",ints7,INTS7,"Dictyostelium discoideum"
Q7SYD9,"Integrator complex subunit 6",ints6l,INTS6,"Danio rerio"
Q5U4W6,"Integrator complex subunit 6-B",ints6-b,INTS6,"Xenopus laevis"
Q2TAF4,"Integrator complex subunit 6-A",ints6-a,INTS6,"Xenopus laevis"
Q54Z23,"Integrator complex subunit 6 homolog",ints6,INTS6,"Dictyostelium discoideum"
Q54LH5,"Integrator complex subunit 4 homolog",ints4,INTS4,"Dictyostelium discoideum"
Q68F70,"Integrator complex subunit 4",ints4,INTS4,"Xenopus laevis"
Q1LXC9,"Integrator complex subunit 3",ints3,INTS3,"Danio rerio"
Q55EZ4,"Integrator complex subunit 3 homolog",ints3,INTS3,"Dictyostelium discoideum"
Q55CB6,"Integrator complex subunit 2 homolog",ints2,INTS2,"Dictyostelium discoideum"
Q7ZTY6,"Integrator complex subunit 15",ints15,INTS15,"Danio rerio"
Q66KD9,"Integrator complex subunit 14",ints14,INTS14,"Xenopus tropicalis"
Q6GLY5,"Integrator complex subunit 13",ints13,INTS13,"Xenopus laevis"
Q6DIK0,"Integrator complex subunit 13",ints13,INTS13,"Xenopus tropicalis"
Q6IQU7,"Integrator complex subunit 12",ints12,INTS12,"Danio rerio"
Q0V9U1,"Integrator complex subunit 12",ints12,INTS12,"Xenopus tropicalis"
Q6DJM6,"Integrator complex subunit 12",ints12,INTS12,"Xenopus laevis"
Q54YL3,"Integrator complex subunit 11 homolog",ints11,INTS11,"Dictyostelium discoideum"
Q6TNU3,"Integrator complex subunit 10",ints10,INTS10,"Danio rerio"
Q54NC8,"Integrator complex subunit 1 homolog",ints1,INTS1,"Dictyostelium discoideum"
Q9VT41,"Integrator complex subunit 7",defl,INTS7,"Drosophila melanogaster"
Q503E1,"Integrator complex subunit 11",cpsf3l,INTS11,"Danio rerio"
Q8K114,"Integrator complex subunit 9",Ints9,INTS9,"Mus musculus"
Q80V86,"Integrator complex subunit 8",Ints8,INTS8,"Mus musculus"
Q7TQK1,"Integrator complex subunit 7",Ints7,INTS7,"Mus musculus"
Q8BND4,"Integrator complex subunit 6-like",Ints6l,INTS6L,"Mus musculus"
Q6PCM2,"Integrator complex subunit 6",Ints6,INTS6,"Mus musculus"
Q8CHT3,"Integrator complex subunit 5",Ints5,INTS5,"Mus musculus"
Q8CIM8,"Integrator complex subunit 4",Ints4,INTS4,"Mus musculus"
Q7TPD0,"Integrator complex subunit 3",Ints3,INTS3,"Mus musculus"
Q80UK8,"Integrator complex subunit 2",Ints2,INTS2,"Mus musculus"
Q8BGA7,"Integrator complex subunit 15",Ints15,INTS15,"Mus musculus"
Q66H58,"Integrator complex subunit 14",Ints14,INTS14,"Rattus norvegicus"
Q8R3P6,"Integrator complex subunit 14",Ints14,INTS14,"Mus musculus"
Q68FR3,"Integrator complex subunit 12",Ints12,INTS12,"Rattus norvegicus"
Q9D168,"Integrator complex subunit 12",Ints12,INTS12,"Mus musculus"
Q3MHC2,"Integrator complex subunit 11",Ints11,INTS11,"Rattus norvegicus"
Q9CWS4,"Integrator complex subunit 11",Ints11,INTS11,"Mus musculus"
Q8K2A7,"Integrator complex subunit 10",Ints10,INTS10,"Mus musculus"
Q6P4S8,"Integrator complex subunit 1",Ints1,INTS1,"Mus musculus"
Q95TS5,"Integrator complex subunit 9",IntS9,INTS9,"Drosophila melanogaster"
A1ZAK1,"Integrator complex subunit 8",IntS8,INTS8,"Drosophila melanogaster"
Q9W485,"Integrator complex subunit 6",IntS6,INTS6,"Drosophila melanogaster"
Q9W3E1,"Integrator complex subunit 4",IntS4,INTS4,"Drosophila melanogaster"
B4IMI7,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila sechellia"
B4NP05,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila willistoni"
B4LQY8,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila virilis"
B4KJ11,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila mojavensis"
B4JPR2,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila grimshawi"
B3N449,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila erecta"
B4ISV0,"Integrator complex subunit 3 homolog",IntS3,INTS3,"Drosophila yakuba"
Q7PLS8,"Integrator complex subunit 3",IntS3,INTS3,"Drosophila melanogaster"
Q9VX31,"Integrator complex subunit 2",IntS2,INTS2,"Drosophila melanogaster"
Q9VPF9,"Integrator complex subunit 15",IntS15,INTS15,"Drosophila melanogaster"
Q9VPY0,"Integrator complex subunit 14",IntS14,INTS14,"Drosophila melanogaster"
Q8QZV7,"Integrator complex subunit 13",IntS13,INTS13,"Mus musculus"
Q9VBB3,"Integrator complex subunit 12",IntS12,INTS12,"Drosophila melanogaster"
Q9VAH9,"Integrator complex subunit 11",IntS11,INTS11,"Drosophila melanogaster"
Q9VZM7,"Integrator complex subunit 10",IntS10,INTS10,"Drosophila melanogaster"
Q9W1C5,"Integrator complex subunit 1",IntS1,INTS1,"Drosophila melanogaster"
Q5ZKK2,"Integrator complex subunit 9",INTS9,INTS9,"Gallus gallus"
Q9NV88,"Integrator complex subunit 9",INTS9,INTS9,"Homo sapiens"
Q4R5Z4,"Integrator complex subunit 9",INTS9,INTS9,"Macaca fascicularis"
Q2KJA6,"Integrator complex subunit 9",INTS9,INTS9,"Bos taurus"
Q75QN2,"Integrator complex subunit 8",INTS8,INTS8,"Homo sapiens"
Q5ZL91,"Integrator complex subunit 7",INTS7,INTS7,"Gallus gallus"
Q9NVH2,"Integrator complex subunit 7",INTS7,INTS7,"Homo sapiens"
Q1RMS6,"Integrator complex subunit 7",INTS7,INTS7,"Bos taurus"
Q5JSJ4,"Integrator complex subunit 6-like",INTS6L,INTS6L,"Homo sapiens"
Q9UL03,"Integrator complex subunit 6",INTS6,INTS6,"Homo sapiens"
Q6P9B9,"Integrator complex subunit 5",INTS5,INTS5,"Homo sapiens"
Q96HW7,"Integrator complex subunit 4",INTS4,INTS4,"Homo sapiens"
Q68E01,"Integrator complex subunit 3",INTS3,INTS3,"Homo sapiens"
Q5RE70,"Integrator complex subunit 3",INTS3,INTS3,"Pongo abelii"
Q5ZKU4,"Integrator complex subunit 2",INTS2,INTS2,"Gallus gallus"
Q9H0H0,"Integrator complex subunit 2",INTS2,INTS2,"Homo sapiens"
Q96N11,"Integrator complex subunit 15",INTS15,INTS15,"Homo sapiens"
Q5ZK21,"Integrator complex subunit 14",INTS14,INTS14,"Gallus gallus"
Q5EA76,"Integrator complex subunit 14",INTS14,INTS14,"Bos taurus"
Q96SY0,"Integrator complex subunit 14",INTS14,INTS14,"Homo sapiens"
Q9NVM9,"Integrator complex subunit 13",INTS13,INTS13,"Homo sapiens"
Q96CB8,"Integrator complex subunit 12",INTS12,INTS12,"Homo sapiens"
Q8WNV2,"Integrator complex subunit 12",INTS12,INTS12,"Macaca fascicularis"
Q32LL5,"Integrator complex subunit 12",INTS12,INTS12,"Bos taurus"
Q5RCV7,"Integrator complex subunit 12",INTS12,INTS12,"Pongo abelii"
Q5ZIH0,"Integrator complex subunit 11",INTS11,INTS11,"Gallus gallus"
Q5TA45,"Integrator complex subunit 11",INTS11,INTS11,"Homo sapiens"
Q2YDM2,"Integrator complex subunit 11",INTS11,INTS11,"Bos taurus"
Q5NVE6,"Integrator complex subunit 11",INTS11,INTS11,"Pongo abelii"
Q5ZLS8,"Integrator complex subunit 10",INTS10,INTS10,"Gallus gallus"
Q4R7B1,"Integrator complex subunit 10",INTS10,INTS10,"Macaca fascicularis"
Q9NVR2,"Integrator complex subunit 10",INTS10,INTS10,"Homo sapiens"
Q8N201,"Integrator complex subunit 1",INTS1,INTS1,"Homo sapiens"
Q62315,"Protein Jumonji",Jarid2,JARID2,"Mus musculus"
Q92833,"Protein Jumonji",JARID2,JARID2,"Homo sapiens"
Q9VT00,"Jumonji, AT rich interactive domain protein 2",Jarid2,JARID2,"Drosophila melanogaster"
Q5F363,"Protein Jumonji",JARID2,JARID2,"Gallus gallus"
Q3U0V1,"Far upstream element-binding protein 2",Khsrp,KHSRP,"Mus musculus"
Q8UVD9,"Far upstream element-binding protein 2",KHSRP,KHSRP,"Gallus gallus"
Q92945,"Far upstream element-binding protein 2",KHSRP,KHSRP,"Homo sapiens"
Q99PF5,"Far upstream element-binding protein 2",Khsrp,KHSRP,"Rattus norvegicus"
Q9VJY9,"Protein Loquacious",loqs,LOQS,"Drosophila melanogaster"
A0A2B4S8E0,"Transcriptional repressor NF-X1",NFX1,NFX1,"Stylophora pistillata"
A0A9W9ZIJ8,"Transcriptional repressor NF-X1",NFX1,NFX1,"Desmophyllum pertusum"
A0AAD9QM30,"Transcriptional repressor NF-X1",P5673_012838,NFX1,"Acropora cervicornis"
A7RRR1,"Transcriptional repressor NF-X1",NEMVEDRAFT_v1g240231,NFX1,"Nematostella vectensis"
A0ABM4CYS0,"Transcriptional repressor NF-X1 isoform X2",LOC100203326,NFX1,"Hydra vulgaris"
A0ABN8LDI2,"Transcriptional repressor NF-X1",PEVE_00012249,NFX1,"Porites evermanni"
A0ABN8MZE6,"NF-X1-type domain-containing protein",PLOB_00042824,NFX1,"Porites lobata"
A0ABN8NSY9,"Transcriptional repressor NF-X1",PLOB_00028393,NFX1,"Porites lobata"
A0ABN8SHN6,"NF-X1-type domain-containing protein",PEVE_00020237,NFX1,"Porites evermanni"
Q15233,"Non-POU domain-containing octamer-binding protein",NONO,NONO,"Homo sapiens"
Q5FVM4,"Non-POU domain-containing octamer-binding protein",Nono,NONO,"Rattus norvegicus"
Q5RFL9,"Non-POU domain-containing octamer-binding protein",NONO,NONO,"Pongo abelii"
Q99K48,"Non-POU domain-containing octamer-binding protein",Nono,NONO,"Mus musculus"
A0A2B4S0V2,"Nucleolar protein 56",NOP56,NOP56,"Stylophora pistillata"
A0A9X0CKQ5,"Nucleolar protein 56",NOP56_1,NOP56,"Desmophyllum pertusum"
A0A2B4RV90,"Nucleolar protein 58",NOP58,NOP58,"Stylophora pistillata"
T2M3D0,"Nucleolar protein 58",NOP58,NOP58,"Hydra vulgaris"
A0A9X0DAY2,"Nucleolar protein 58",NOP58_3,NOP58,"Desmophyllum pertusum"
O43189,"PHD finger protein 1",PHF1,PHF1,"Homo sapiens"
P87233,"SWM histone demethylase complex subunit phf1",phf1,PHF1,"Schizosaccharomyces pombe (strain 972 / ATCC 24843)"
Q9Z1B8,"PHD finger protein 1",Phf1,PHF1,"Mus musculus"
Q7ZYA5,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog A",prkra-a,PRKRA,"Xenopus laevis"
Q91836,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog B",prkra-b,PRKRA,"Xenopus laevis"
Q4V8C7,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A",Prkra,PRKRA,"Rattus norvegicus"
Q9WTX2,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A",Prkra,PRKRA,"Mus musculus"
O75569,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A",PRKRA,PRKRA,"Homo sapiens"
B0V3F8,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog",prkra,PRKRA,"Danio rerio"
Q2HJ92,"Interferon-inducible double-stranded RNA-dependent protein kinase activator A",PRKRA,PRKRA,"Bos taurus"
A0A2B4S4I9,"GTP-binding nuclear protein",ran,RAN,"Stylophora pistillata"
A0A3M6T8V8,"GTP-binding nuclear protein",pdam_00006618,RAN,"Pocillopora damicornis"
A0A6P8HA70,"GTP-binding nuclear protein",LOC116289667,RAN,"Actinia tenebrosa"
A0A6S7FIA6,"GTP-binding nuclear protein",PACLA_8A046140,RAN,"Paramuricea clavata"
A0A6S7GP59,"GTP-binding nuclear protein",PACLA_8A066255,RAN,"Paramuricea clavata"
A0A7M5VCA2,"GTP-binding nuclear protein",RAN OS=Clytia hemisphaerica OX=252671,RAN,"Clytia hemisphaerica"
A0A913Y4H3,"GTP-binding nuclear protein",RAN OS=Exaiptasia diaphana OX=2652724,RAN,"Exaiptasia diaphana"
A0A9W9Z9F5,"GTP-binding nuclear protein",RAN1,RAN,"Desmophyllum pertusum"
A0AAD9VHU7,"GTP-binding nuclear protein",P5673_000489,RAN,"Acropora cervicornis"
A0AAU9XP26,"GTP-binding nuclear protein",PMEA_00025316,RAN,"Pocillopora meandrina"
A0AAU9XP45,"GTP-binding nuclear protein",PMEA_00025319,RAN,"Pocillopora meandrina"
A7SG05,"GTP-binding nuclear protein",NEMVEDRAFT_v1g170199,RAN,"Nematostella vectensis"
T2ME54,"GTP-binding nuclear protein",RAN,RAN,"Hydra vulgaris"
A0ABM4CR17,"GTP-binding nuclear protein",LOC100211661,RAN,"Hydra vulgaris"
A0ABN8NFA2,"GTP-binding nuclear protein",PLOB_00011295,RAN,"Porites lobata"
A0ABN8PTG3,"GTP-binding nuclear protein",PEVE_00044383,RAN,"Porites evermanni"
O89086,"RNA-binding protein 3",Rbm3,RBM3,"Mus musculus"
P98179,"RNA-binding protein 3",RBM3,RBM3,"Homo sapiens"
Q925G0,"RNA-binding protein 3",Rbm3,RBM3,"Rattus norvegicus"
W8E7I1,"RNA-binding protein 3",RBM3,RBM3,"Capra hircus"
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ,SFPQ,"Homo sapiens"
Q8VIJ6,"Splicing factor, proline- and glutamine-rich",Sfpq,SFPQ,"Mus musculus"
P51531,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2",SMARCA2,SMARCA2,"Homo sapiens"
Q6DIC0,"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2",Smarca2,SMARCA2,"Mus musculus"
A0A2B4SJU6,"Exportin-1",Xpo1,XPO1,"Stylophora pistillata"
A0A9W9ZZP8,"Exportin-1",XPO1,XPO1,"Desmophyllum pertusum"
