"miRNA","lncRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"Cluster_10057","lncRNA_12604",0.947422301434436,0.0143575762729408,0.747305912123813,151,-20.41,"2 21","4521 4543",20,"65.00%","75.00%"
"Cluster_10057","lncRNA_13183",0.933398994890981,0.0204252858547696,0.829872698976265,147,-20.31,"2 13","436 458",12,"83.33%","91.67%"
"Cluster_10057","lncRNA_1380",0.981580787579941,0.00299251882520641,0.572743866580232,150,-20.13,"2 11","453 474",9,"100.00%","100.00%"
"Cluster_10057","lncRNA_17237",-0.88248959178804,0.047494276735172,0.972855157123468,171,-25.18,"2 21","5759 5781",20,"80.00%","85.00%"
"Cluster_10057","lncRNA_17522",0.976135706104148,0.00440956746886226,0.575069969648979,153,-20.82,"2 14","2290 2311",12,"83.33%","91.67%"
"Cluster_10057","lncRNA_1846",0.991708950160147,0.00090512236349901,0.572743866580232,150,-20.13,"2 11","2873 2894",9,"100.00%","100.00%"
"Cluster_10057","lncRNA_29005",0.976463049484686,0.00431936487241804,0.574078020524459,166,-27.99,"2 21","3076 3100",22,"77.27%","81.82%"
"Cluster_10057","lncRNA_3885",0.893835233260415,0.0408568387005993,0.972855157123468,150,-20.21,"2 19","277 295",17,"76.47%","76.47%"
"Cluster_10057","lncRNA_6155",0.910231246669191,0.0318482552625779,0.928131552389379,155,-20.66,"2 12","11388 11409",10,"100.00%","100.00%"
"Cluster_10093","lncRNA_1537",0.942128298677721,0.0165663523543998,0.781840703605736,172,-20.37,"2 21","10318 10339",19,"73.68%","89.47%"
"Cluster_10093","lncRNA_1538",0.942128298677721,0.0165663523543998,0.781840703605736,172,-20.37,"2 21","10310 10331",19,"73.68%","89.47%"
"Cluster_10093","lncRNA_25171",0.966590457404987,0.00729375507404007,0.633479032520921,161,-20.42,"2 15","3489 3511",14,"92.86%","92.86%"
"Cluster_10093","lncRNA_26023",0.96948880499593,0.00636832212272611,0.610490990722127,159,-20.9,"2 18","1886 1906",16,"81.25%","87.50%"
"Cluster_10093","lncRNA_27443",0.906400566587868,0.0338883458849992,0.94268537146541,163,-21.4,"2 21","1978 2002",22,"68.18%","81.82%"
"Cluster_10093","lncRNA_29576",0.983551968319624,0.0025259826207864,0.572743866580232,162,-20.35,"2 20","10638 10660",19,"78.95%","78.95%"
"Cluster_10093","lncRNA_4082",0.941827866409228,0.0166947552352032,0.783813588649952,156,-20.11,"2 13","397 418",11,"90.91%","100.00%"
"Cluster_10093","lncRNA_5055",0.947634715939017,0.0142711197381091,0.745554911586231,171,-22.81,"2 21","228 250",20,"80.00%","85.00%"
"Cluster_10207","lncRNA_10909",0.884984586292997,0.0460076288952917,0.972855157123468,161,-21.39,"2 20","715 737",20,"75.00%","85.00%"
"Cluster_10207","lncRNA_4207",0.907647059014917,0.0332200592236563,0.937866065254439,157,-21,"2 19","3349 3371",19,"73.68%","78.95%"
"Cluster_10207","lncRNA_5867",0.896905555884002,0.0391159775494079,0.972855157123468,159,-23.76,"2 19","310 328",17,"76.47%","88.24%"
"Cluster_10207","lncRNA_8218",-0.979667613871922,0.0034696638284593,0.572743866580232,154,-20.28,"2 20","8804 8826",20,"70.00%","75.00%"
"Cluster_10207","lncRNA_8219",-0.979667613871922,0.0034696638284593,0.572743866580232,154,-20.28,"2 20","8804 8826",20,"70.00%","75.00%"
"Cluster_10207","lncRNA_8220",-0.982515179796738,0.00276810968107421,0.572743866580232,154,-20.28,"2 20","8731 8753",20,"70.00%","75.00%"
"Cluster_10207","lncRNA_9425",0.888180079572069,0.0441256175914986,0.972855157123468,149,-20.12,"2 16","590 613",17,"76.47%","82.35%"
"Cluster_10228","lncRNA_16146",0.893629253738141,0.0409744893121714,0.972855157123468,151,-25.64,"2 22","3217 3246",27,"62.96%","70.37%"
"Cluster_10228","lncRNA_18690",-0.899611575674348,0.0376018441256648,0.968400947318429,152,-20.77,"2 17","1888 1910",15,"66.67%","86.67%"
"Cluster_10228","lncRNA_20424",-0.90965257180876,0.0321538289651089,0.930351323726816,162,-21.81,"2 21","1925 1946",19,"73.68%","84.21%"
"Cluster_10228","lncRNA_4550",-0.884592121922554,0.0462404861540833,0.972855157123468,152,-21.01,"2 21","316 338",19,"57.89%","78.95%"
"Cluster_10228","lncRNA_5021",-0.943125252635432,0.016142579545971,0.775347622754212,178,-21.92,"2 19","1574 1596",17,"88.24%","94.12%"
"Cluster_10228","lncRNA_5022",-0.943125252635432,0.016142579545971,0.775347622754212,178,-21.92,"2 19","1570 1592",17,"88.24%","94.12%"
"Cluster_10228","lncRNA_876",-0.890742920463819,0.0426343525207341,0.972855157123468,176,-24.99,"2 21","49 71",19,"78.95%","89.47%"
"Cluster_10419","lncRNA_25423",0.910582753620001,0.0316630966366409,0.927021289131137,176,-25.25,"2 21","1008 1029",19,"78.95%","89.47%"
"Cluster_10419","lncRNA_29074",-0.985670652107745,0.00205464984231082,0.572743866580232,192,-28.39,"2 21","16960 16981",19,"94.74%","94.74%"
"Cluster_14402","lncRNA_15900",-0.886410102127548,0.0451649821877362,0.972855157123468,148,-21.15,"2 17","7901 7922",15,"60.00%","86.67%"
"Cluster_14402","lncRNA_1590",0.929774272096502,0.0221029262602403,0.849370909265639,156,-20.32,"2 21","472 493",19,"63.16%","78.95%"
"Cluster_14402","lncRNA_1648",0.902013011706605,0.0362742150799723,0.95986776588932,158,-20.48,"2 21","198 218",19,"68.42%","84.21%"
"Cluster_14402","lncRNA_17524",0.889155020345381,0.0435564022382019,0.972855157123468,142,-20.82,"2 11","5006 5027",9,"77.78%","100.00%"
"Cluster_14402","lncRNA_1870",-0.879049234318855,0.0495685742494391,0.972855157123468,148,-22.09,"2 13","4832 4853",11,"81.82%","90.91%"
"Cluster_14402","lncRNA_24254",0.893972967041339,0.0407782285058834,0.972855157123468,145,-21.71,"2 10","6670 6691",8,"100.00%","100.00%"
"Cluster_14402","lncRNA_27443",0.879451211523861,0.0493247668051189,0.972855157123468,153,-22.74,"2 20","13388 13412",21,"71.43%","76.19%"
"Cluster_14402","lncRNA_27485",0.923053581470028,0.025324410053758,0.877497989197323,158,-21.85,"2 20","21876 21898",19,"68.42%","84.21%"
"Cluster_14402","lncRNA_30504",0.909965207025706,0.0319886233594834,0.929307570469206,165,-22.59,"2 18","6024 6045",16,"75.00%","93.75%"
"Cluster_14402","lncRNA_30835",-0.946876530774113,0.0145804938576985,0.751696039346862,174,-24.33,"2 21","1530 1550",19,"84.21%","89.47%"
"Cluster_14402","lncRNA_4067",0.886501689306235,0.0451110124362087,0.972855157123468,157,-20.2,"2 19","684 706",18,"61.11%","94.44%"
"Cluster_14402","lncRNA_4068",0.885258670605106,0.0458452299922383,0.972855157123468,157,-20.2,"2 19","684 706",18,"61.11%","94.44%"
"Cluster_14402","lncRNA_6223",0.946290852918277,0.014820953293094,0.755134456886061,154,-20.61,"2 16","261 283",15,"73.33%","93.33%"
"Cluster_14768","lncRNA_21535",0.992631755225489,0.000758401781207876,0.572743866580232,148,-24.3,"2 19","16727 16749",19,"68.42%","78.95%"
"Cluster_14768","lncRNA_2454",0.897168620386847,0.0389679472374493,0.972855157123468,151,-20.84,"2 17","214 235",16,"75.00%","81.25%"
"Cluster_15316","lncRNA_16388",0.920846684925726,0.0264127017545063,0.887588367196268,171,-21.3,"2 21","2477 2499",20,"80.00%","85.00%"
"Cluster_15316","lncRNA_1726",0.932948921007402,0.0206312549445347,0.832427678514404,168,-21.19,"2 21","4074 4095",19,"73.68%","84.21%"
"Cluster_15316","lncRNA_1732",0.878962640412912,0.0496211449242105,0.972855157123468,155,-20.37,"2 21","205 227",20,"70.00%","75.00%"
"Cluster_15316","lncRNA_23595",0.939031128402779,0.0179053976208492,0.800677172740354,165,-21.93,"2 21","969 990",20,"80.00%","85.00%"
"Cluster_15316","lncRNA_23596",0.931235331390308,0.0214215473994663,0.841485918633325,165,-21.93,"2 21","926 947",20,"80.00%","85.00%"
"Cluster_15316","lncRNA_25399",0.950134349078824,0.0132666329687835,0.726655971187532,171,-21.3,"2 21","3051 3073",20,"80.00%","85.00%"
"Cluster_15316","lncRNA_25400",0.950134349078824,0.0132666329687835,0.726655971187532,171,-21.3,"2 21","3051 3073",20,"80.00%","85.00%"
"Cluster_15340","lncRNA_10435",0.902140413919702,0.0362042076574339,0.959676015328206,154,-20.41,"2 21","1591 1615",22,"68.18%","77.27%"
"Cluster_15340","lncRNA_10720",0.931912296264243,0.0211081880906786,0.837880244223901,170,-22.16,"2 19","5204 5225",17,"76.47%","94.12%"
"Cluster_15340","lncRNA_10734",0.991582100593955,0.000925955931177815,0.572743866580232,172,-21.45,"2 21","53872 53893",19,"73.68%","89.47%"
"Cluster_15340","lncRNA_11561",0.89049406578901,0.0427784411791651,0.972855157123468,156,-21.01,"2 13","3014 3035",11,"90.91%","100.00%"
"Cluster_15340","lncRNA_11644",0.96563428322554,0.00760799992299202,0.635791136967605,163,-22.21,"2 20","5706 5727",18,"72.22%","83.33%"
"Cluster_15340","lncRNA_11708",0.910071082668871,0.0319327374412237,0.928885731926768,167,-21.47,"2 21","2111 2133",20,"75.00%","85.00%"
"Cluster_15340","lncRNA_13040",0.935838414733616,0.0193206620686005,0.817096202662102,157,-20.47,"2 21","42 61",19,"73.68%","78.95%"
"Cluster_15340","lncRNA_14405",0.917374583939466,0.0281544650483133,0.899059186084126,158,-20.32,"2 21","1645 1671",24,"70.83%","75.00%"
"Cluster_15340","lncRNA_1592",0.90612265450385,0.0340379238087102,0.94364685637346,164,-23.03,"2 21","4806 4827",19,"68.42%","84.21%"
"Cluster_15340","lncRNA_16169",0.912582145520042,0.0306165194316034,0.919061372266273,171,-23.45,"2 21","2691 2713",20,"75.00%","90.00%"
"Cluster_15340","lncRNA_16170",0.909762959048902,0.0320954659601813,0.930151233559481,171,-23.45,"2 21","2489 2511",20,"75.00%","90.00%"
"Cluster_15340","lncRNA_17252",0.934155035872036,0.020080807136182,0.825850327826677,170,-25.27,"2 20","1416 1438",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_1791",0.928732234966463,0.0225930887967129,0.854194538770708,155,-20.53,"2 21","2842 2865",21,"66.67%","76.19%"
"Cluster_15340","lncRNA_18872",0.952114339823496,0.0124881407987426,0.718014359760779,154,-21.85,"2 21","3020 3040",19,"68.42%","78.95%"
"Cluster_15340","lncRNA_20390",0.964486751494081,0.00799083874100123,0.640241973265333,162,-25.65,"2 21","10844 10864",19,"73.68%","84.21%"
"Cluster_15340","lncRNA_20799",0.902780256945174,0.0358532685411351,0.957295365424242,156,-23.33,"2 18","9019 9042",18,"66.67%","88.89%"
"Cluster_15340","lncRNA_20913",-0.895014815326065,0.0401851673008358,0.972855157123468,157,-20.67,"2 20","1281 1307",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20914",-0.895014815326065,0.0401851673008358,0.972855157123468,157,-20.67,"2 20","1281 1307",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20915",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20916",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20917",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20918",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20919",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20920",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","598 624",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20921",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","591 617",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_20922",-0.886566036137411,0.045073106893476,0.972855157123468,157,-20.67,"2 20","591 617",23,"73.91%","73.91%"
"Cluster_15340","lncRNA_21012",0.956092385707441,0.0109714100476422,0.690308063689602,148,-25.48,"2 21","3395 3416",19,"63.16%","68.42%"
"Cluster_15340","lncRNA_21243",0.925579407138927,0.0240971208339605,0.868973966470668,161,-23.97,"2 20","7236 7256",18,"66.67%","94.44%"
"Cluster_15340","lncRNA_23427",0.925558565020792,0.0241071671880304,0.869136128912988,158,-21.5,"2 19","1133 1154",17,"64.71%","88.24%"
"Cluster_15340","lncRNA_25283",0.908629305699453,0.0326964557124852,0.934469585002234,147,-21.18,"2 21","8230 8252",20,"65.00%","70.00%"
"Cluster_15340","lncRNA_26019",0.969558496514475,0.00634658249549489,0.609835022967078,141,-20.9,"2 20","110 133",20,"65.00%","70.00%"
"Cluster_15340","lncRNA_26054",0.949275428415163,0.013609092381985,0.733271725759646,162,-25.65,"2 21","932 952",19,"73.68%","84.21%"
"Cluster_15340","lncRNA_27205",0.893971415766062,0.040779113612692,0.972855157123468,162,-20.98,"2 21","22374 22398",22,"77.27%","77.27%"
"Cluster_15340","lncRNA_30342",0.921123840969166,0.026275218286902,0.886775078466768,152,-21.45,"2 20","2133 2159",23,"69.57%","78.26%"
"Cluster_15340","lncRNA_31327",-0.982427455139246,0.00278893107393698,0.572743866580232,176,-24.84,"2 21","18168 18189",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_31327",-0.982427455139246,0.00278893107393698,0.572743866580232,176,-24.84,"2 21","8139 8160",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_31328",-0.983862963065322,0.0024547966141579,0.572743866580232,176,-24.84,"2 21","21575 21596",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_31329",-0.984725840059915,0.0022608530231873,0.572743866580232,176,-24.84,"2 21","9934 9955",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_31330",-0.990034342720748,0.00119245640049425,0.572743866580232,176,-24.84,"2 21","19877 19898",19,"78.95%","89.47%"
"Cluster_15340","lncRNA_3974",0.913397453909322,0.0301930003258971,0.918335172031118,153,-22.45,"2 21","6278 6297",19,"73.68%","73.68%"
"Cluster_15340","lncRNA_5961",0.916248828204184,0.0287268315656462,0.905240308165975,159,-21.09,"2 20","4073 4094",18,"66.67%","83.33%"
"Cluster_15340","lncRNA_5962",0.904324577188688,0.0350107600299629,0.95104076818047,159,-21.09,"2 20","4069 4090",18,"66.67%","83.33%"
"Cluster_15340","lncRNA_5969",0.927796258913334,0.0230363146991059,0.859285884009203,158,-23.18,"2 21","38223 38243",19,"68.42%","84.21%"
"Cluster_15340","lncRNA_5969",0.927796258913334,0.0230363146991059,0.859285884009203,166,-21.83,"2 21","37185 37208",21,"76.19%","85.71%"
"Cluster_15340","lncRNA_5970",0.914581144025557,0.0295815049169613,0.912883535558308,158,-23.18,"2 21","33158 33178",19,"68.42%","84.21%"
"Cluster_15340","lncRNA_5970",0.914581144025557,0.0295815049169613,0.912883535558308,166,-21.83,"2 21","32120 32143",21,"76.19%","85.71%"
"Cluster_15340","lncRNA_6154",0.924030470690987,0.0248474117109831,0.873030269707201,158,-23.18,"2 21","38525 38545",19,"68.42%","84.21%"
"Cluster_15340","lncRNA_6154",0.924030470690987,0.0248474117109831,0.873030269707201,166,-21.83,"2 21","37487 37510",21,"76.19%","85.71%"
"Cluster_15340","lncRNA_6155",0.971443221750567,0.00576804416936946,0.59539565568741,165,-28.11,"2 21","35949 35971",21,"80.95%","80.95%"
"Cluster_15340","lncRNA_626",0.916811978395541,0.0284400467556292,0.901933545647991,164,-23.56,"2 21","93 114",19,"68.42%","84.21%"
"Cluster_15340","lncRNA_6986",0.961355471200039,0.00906634597366765,0.658798707881199,162,-25.65,"2 21","9266 9286",19,"73.68%","84.21%"
"Cluster_15340","lncRNA_9002",0.977319015982487,0.00408642589384801,0.573159034318602,160,-23.52,"2 17","485 506",15,"73.33%","93.33%"
"Cluster_15775","lncRNA_11498",0.978967516899253,0.00365001609101573,0.572743866580232,161,-20.4,"2 22","697 719",20,"65.00%","80.00%"
"Cluster_15775","lncRNA_12924",0.886742876105694,0.0449689857466779,0.972855157123468,167,-21.35,"2 22","45 71",24,"75.00%","79.17%"
"Cluster_15775","lncRNA_16861",0.933981731836141,0.0201596026579019,0.826859563608542,174,-21.43,"2 20","288 312",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16862",0.93951732765176,0.0176929605869533,0.798328105738778,174,-21.43,"2 20","14021 14045",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16862",0.93951732765176,0.0176929605869533,0.798328105738778,174,-21.43,"2 20","270 294",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16862",0.93951732765176,0.0176929605869533,0.798328105738778,187,-26.19,"2 20","24544 24566",18,"88.89%","100.00%"
"Cluster_15775","lncRNA_16863",0.965426520895144,0.00767685480654737,0.635791136967605,174,-21.43,"2 20","6843 6867",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16864",0.945374191360104,0.0151998665542327,0.761115066212129,174,-21.43,"2 20","6843 6867",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16864",0.945374191360104,0.0151998665542327,0.761115066212129,187,-26.19,"2 20","17366 17388",18,"88.89%","100.00%"
"Cluster_15775","lncRNA_16865",0.940677077273391,0.0171895667974074,0.791581194629122,174,-21.43,"2 20","6843 6867",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16865",0.940677077273391,0.0171895667974074,0.791581194629122,187,-26.19,"2 20","17366 17388",18,"88.89%","100.00%"
"Cluster_15775","lncRNA_16866",0.940677077273391,0.0171895667974074,0.791581194629122,174,-21.43,"2 20","6843 6867",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_16866",0.940677077273391,0.0171895667974074,0.791581194629122,187,-26.19,"2 20","17366 17388",18,"88.89%","100.00%"
"Cluster_15775","lncRNA_16869",0.939944758407969,0.0175068833529906,0.795290590954306,175,-21.07,"2 21","16 40",21,"76.19%","90.48%"
"Cluster_15775","lncRNA_17244",0.948005710610851,0.0141205273106418,0.742805494285792,172,-21.1,"2 22","3801 3824",21,"76.19%","85.71%"
"Cluster_15775","lncRNA_17250",0.948294153172774,0.0140038046523594,0.740855196502504,167,-21.35,"2 22","2456 2482",24,"75.00%","79.17%"
"Cluster_15775","lncRNA_1921",0.882679843938895,0.0473803883964504,0.972855157123468,163,-21.29,"2 22","409 434",23,"73.91%","78.26%"
"Cluster_15775","lncRNA_19929",0.915220998913804,0.0292526331824502,0.909662718227151,167,-20.5,"2 21","3251 3274",20,"75.00%","85.00%"
"Cluster_15775","lncRNA_19930",0.948907141202517,0.0137568019633875,0.736086937829341,167,-20.5,"2 21","1313 1336",20,"75.00%","85.00%"
"Cluster_15775","lncRNA_20062",0.937792708132904,0.0184502107909197,0.805509550166201,167,-20.5,"2 21","1829 1852",20,"75.00%","85.00%"
"Cluster_15775","lncRNA_20909",0.939741568819037,0.0175952599590452,0.797030737203778,164,-20.05,"2 17","13129 13151",15,"80.00%","93.33%"
"Cluster_15775","lncRNA_2247",0.916778987151636,0.0284568220499876,0.902029823858576,175,-23.35,"2 22","101 122",20,"80.00%","90.00%"
"Cluster_15775","lncRNA_23423",-0.909113275232827,0.0324394493145561,0.932359875428512,175,-20.6,"2 22","7177 7201",22,"81.82%","86.36%"
"Cluster_15775","lncRNA_23423",-0.909113275232827,0.0324394493145561,0.932359875428512,175,-26.06,"2 22","22147 22171",22,"81.82%","86.36%"
"Cluster_15775","lncRNA_24802",0.887634481203912,0.0444451847159566,0.972855157123468,174,-21.04,"2 22","996 1018",21,"80.95%","90.48%"
"Cluster_15775","lncRNA_25369",0.901230374220378,0.036705219953942,0.962876958254352,162,-20.99,"2 20","342 365",19,"73.68%","84.21%"
"Cluster_15775","lncRNA_27405",0.96662678455156,0.00728190236710802,0.633478288017633,155,-23.68,"2 22","2280 2306",24,"70.83%","70.83%"
"Cluster_15775","lncRNA_29040",0.890457967617497,0.0427993551030638,0.972855157123468,174,-20.54,"2 21","2930 2951",19,"84.21%","89.47%"
"Cluster_15775","lncRNA_3909",0.915730094708822,0.0289918143535178,0.90717373268877,174,-21.74,"2 22","5616 5638",21,"85.71%","85.71%"
"Cluster_15775","lncRNA_5050",0.923797351618566,0.0249609737878797,0.873847058755481,172,-21.1,"2 22","134 157",21,"76.19%","85.71%"
"Cluster_15775","lncRNA_5050",0.923797351618566,0.0249609737878797,0.873847058755481,172,-21.1,"2 22","41 64",21,"76.19%","85.71%"
"Cluster_15851","lncRNA_2206",0.908234900506499,0.0329063799708073,0.936365428776943,159,-20.73,"2 18","14542 14567",20,"80.00%","80.00%"
"Cluster_15851","lncRNA_6754",0.931006267677597,0.0215279164125928,0.842672590729561,162,-20.39,"2 20","3604 3627",20,"75.00%","80.00%"
"Cluster_15854","lncRNA_15951",-0.945939819514622,0.0149656888502128,0.757825877975649,172,-20.08,"2 17","11812 11834",15,"86.67%","100.00%"
"Cluster_15928","lncRNA_12255",-0.931550071188278,0.0212756719755102,0.840399649732844,161,-20.42,"2 18","2955 2976",16,"75.00%","87.50%"
"Cluster_15928","lncRNA_1965",0.9138426394981,0.0299625457037645,0.916109451981611,155,-21.24,"2 21","1756 1779",21,"66.67%","76.19%"
"Cluster_15928","lncRNA_27274",0.882680944285481,0.0473797299609827,0.972855157123468,153,-20.11,"2 20","425 450",22,"68.18%","77.27%"
"Cluster_15928","lncRNA_31475",0.989158400814966,0.00135290203573979,0.572743866580232,153,-20.11,"2 20","466 491",22,"68.18%","77.27%"
"Cluster_16409","lncRNA_12472",0.962179742978758,0.00877892537887079,0.653423396790606,163,-20.32,"2 21","11619 11641",20,"75.00%","80.00%"
"Cluster_16409","lncRNA_12591",0.888090335128605,0.0441781322977176,0.972855157123468,153,-20.31,"2 15","254 278",16,"81.25%","81.25%"
"Cluster_16409","lncRNA_15872",0.973050130610435,0.00528938775465828,0.588188156046123,161,-20.85,"2 18","24123 24144",16,"75.00%","87.50%"
"Cluster_16409","lncRNA_15872",0.973050130610435,0.00528938775465828,0.588188156046123,161,-20.85,"2 18","38110 38131",16,"75.00%","87.50%"
"Cluster_16409","lncRNA_15872",0.973050130610435,0.00528938775465828,0.588188156046123,161,-20.85,"2 18","49599 49620",16,"75.00%","87.50%"
"Cluster_16409","lncRNA_16132",0.960454135455884,0.00938409495549364,0.664202605453269,161,-20.85,"2 18","1611 1632",16,"75.00%","87.50%"
"Cluster_16409","lncRNA_16304",0.913819088500172,0.0299747228936631,0.916312534759728,160,-20.95,"2 21","454 472",19,"73.68%","84.21%"
"Cluster_16409","lncRNA_23584",0.977014671282077,0.00416875998100597,0.573990530681629,170,-21.19,"2 20","13176 13199",20,"80.00%","85.00%"
"Cluster_17776","lncRNA_10483",0.910299267102727,0.0318123980387759,0.927777601322523,145,-23.11,"2 10","3111 3132",8,"100.00%","100.00%"
"Cluster_17776","lncRNA_14602",0.903546122833096,0.0354346477593142,0.954478146090174,155,-21.46,"2 18","6391 6411",16,"75.00%","87.50%"
"Cluster_17776","lncRNA_16940",0.896190968998853,0.0395189874951296,0.972855157123468,145,-22.92,"2 10","1995 2016",8,"100.00%","100.00%"
"Cluster_17776","lncRNA_16941",0.896190968998853,0.0395189874951296,0.972855157123468,145,-22.92,"2 10","1981 2002",8,"100.00%","100.00%"
"Cluster_17776","lncRNA_19507",0.954981696180756,0.0113884061990796,0.698553624596866,156,-22.83,"2 21","597 618",19,"63.16%","78.95%"
"Cluster_17776","lncRNA_20404",0.976299713440222,0.00436429674866194,0.574104164524338,146,-20.69,"2 20","2525 2542",18,"72.22%","72.22%"
"Cluster_17776","lncRNA_20405",0.974893697094946,0.0047573564084505,0.578871464082388,146,-20.69,"2 20","2525 2542",18,"72.22%","72.22%"
